Author,Text,Published At,Likes,Type,Parent ID,script,language,emoji_count,word_count,source
@ShovaKhadka-n5f,Touched with : देश छाड्ने  धेरै कारण छन तर देशमै बस्ने एक मात्र कारण माया😢,2024-03-22T02:01:43Z,522,Comment,,code_mixed,nepali_english,1,14,youtube
@Kritikaentertainment255,"aafono janamabhumi ko kaslai maya hudaina hola hjr <br>engineer, doctor ra loksewa bahek aaru option nei xaina",2024-04-01T08:03:01Z,7,Reply,UgzR9cycTQiJgm-sXVB4AaABAg,roman_nepali,nepali,0,17,youtube
@Kritikaentertainment255,maa  affele  engnr padhe ra depressed xu tesaile aafono annubhava vaneko,2024-04-01T08:03:56Z,5,Reply,UgzR9cycTQiJgm-sXVB4AaABAg,latin,english,0,11,youtube
@Kritikaentertainment255,marji le hoina forced le  matra health fit nahunale,2024-04-01T08:04:32Z,2,Reply,UgzR9cycTQiJgm-sXVB4AaABAg,roman_nepali,nepali,0,9,youtube
@BisunPhagami,Desh ko ki boyfriend ko,2024-06-01T13:36:55Z,1,Reply,UgzR9cycTQiJgm-sXVB4AaABAg,latin,english,0,5,youtube
@Manepali-t7i,"एउटा पार्टीले १० वर्षमा स्वीजरल्याण्ड बनाउँछु भनेर भाषण गरेको सुनेको थिए सानो हुँदा अहिले ठूलो भएपछि नेपाली लाई संसार को सबै देश जान बाध्य बनाएको देख्दा गर्भ लागेर आउछ । यही हो परिवर्तन भनेको , देश नघुमेको लाई विदेश घुमाउन प्रोत्साहन गर्ने सरकार को जय होस ।",2024-03-20T16:47:42Z,519,Comment,,devanagari,nepali,0,46,youtube
@anonymous-dg7lb,उहिले त बिदेश जानु पाए पो जान्थे खालि भारत भुटान र बर्मा गयो उतै हरायो ।,2024-03-20T22:38:44Z,11,Reply,UgzhAhykcYeeszDwnQ54AaABAg,devanagari,nepali,0,16,youtube
@rameshkhadka5681,a mula j pani maobadi lai dosh lara hunxa?,2024-03-20T23:08:48Z,3,Reply,UgzhAhykcYeeszDwnQ54AaABAg,roman_nepali,nepali,0,9,youtube
@anamak2000,बारम्बार सासन बेबस्था बदलिएपनि नेपाल को सासन भने ब्राह्मण बादि कै हत मा भएको कारण ले हो देश नबनेको ‌।<br>यो देश को सेना पुलिस सरलारि कर्मचारी हरूमा बाहुन बाहेक अरू जतकोले कैलेपनि प्रमोसण पउँदैन ।<br>काङ्रेस एमाले माओवादि जुनसुकै पार्टी मा हेरेपनि सभापति उप सभापति बहुन बाहेक अरू हुन पाउँदैन ।<br>यो देशको प्रधानमन्त्री राष्ट्रपति सेनापति न्यायाधीश बन्न ब्राह्मण बादि धरमा जन्मनु पर्छ ।,2024-03-21T00:25:37Z,9,Reply,UgzhAhykcYeeszDwnQ54AaABAg,devanagari,nepali,0,65,youtube
@anamak2000,​@rameshkhadka5681<br>किनकि ब्राह्मण बादि बौ हजुरबुवाको रगत शरिर मा बग्छ । <br>जनयुद्द भन्दा पहिला ब्राम्हण र राना बाहेक अरू दोस्रो दर्जाको नागरिक थिए।,2024-03-21T00:30:18Z,0,Reply,UgzhAhykcYeeszDwnQ54AaABAg,code_mixed,nepali_english,0,22,youtube
@rameshkhadka5681,@anamak2000 k kera kera jasto kura garira,2024-03-21T00:39:19Z,1,Reply,UgzhAhykcYeeszDwnQ54AaABAg,roman_nepali,nepali,0,6,youtube
@AjayJungShah67,Desh xadne hajar karan hola tara basne aauta kura xa Maya😊❤,2024-03-20T16:44:52Z,397,Comment,,roman_nepali,nepali,2,11,youtube
@LEOxPewPew,Mayalu nai bideshiye paxi k ko lagi basnu yaha!,2024-03-20T21:27:55Z,0,Reply,UgztEi_MAuX4zEbz3kp4AaABAg,roman_nepali,nepali,0,9,youtube
@Dameless2004,Sabaii nepali ko yeii Maya dheraii hunu pariyo 🥺🥺Tara xainan<br>Hope Nepal will be better someday,2024-03-20T22:17:49Z,12,Reply,UgztEi_MAuX4zEbz3kp4AaABAg,roman_nepali,nepali,2,16,youtube
@ishanneupane8962,Visa reject vaye paxi desh ko maya lagiaalxa ni 😂,2024-03-21T00:44:03Z,29,Reply,UgztEi_MAuX4zEbz3kp4AaABAg,roman_nepali,nepali,1,9,youtube
@jacobxetri5309,Maya le voko pet palidaina,2024-03-21T01:02:21Z,12,Reply,UgztEi_MAuX4zEbz3kp4AaABAg,latin,english,0,5,youtube
@surazofficial123,एक तर्फी माया ले के गर्नु हजुर भाग्य ले लात हाने पछि अनि समय ले घात गरे पनि kasaiko के ही लाग्दैन रैछ 😢,2024-03-21T02:16:28Z,6,Reply,UgztEi_MAuX4zEbz3kp4AaABAg,code_mixed,nepali_english,1,23,youtube
@akshukarki9179,A 23 year old guy giving a hope and optimism  to a 29 year old boy . This is Change and as he said desh ma opportunity  jhan badera auxa sabai  bidesh  gayesi . Change is inevitable .  Thank yo for bringing inner voice  brother.  This is  todays youth  .,2024-03-21T22:03:56Z,316,Comment,,roman_nepali,nepali,0,46,youtube
@masculinetrillionaires,oh nice,2024-03-26T10:02:41Z,1,Reply,Ugw6busKejSD0-4yLvd4AaABAg,latin,english,0,2,youtube
@SapkotaBishal,Ma ni 29 nahuda samma estai sochera baseko ho,2024-03-27T03:30:19Z,3,Reply,Ugw6busKejSD0-4yLvd4AaABAg,roman_nepali,nepali,0,9,youtube
@tenzingsherpa7074,Hahaha never Jati janxa Teti manxe ajai nepal manj bandai janxa nepal ma opportunity xaina baira janu parxa kei thulo garna baye Jani competition xa bro jana janxa ajai nepal student ko padai sitixa ani feri student ni janxa so no chance,2024-03-27T10:26:03Z,0,Reply,Ugw6busKejSD0-4yLvd4AaABAg,roman_nepali,nepali,0,42,youtube
@tenzingsherpa7074,So it never ended,2024-03-27T10:26:45Z,0,Reply,Ugw6busKejSD0-4yLvd4AaABAg,latin,english,0,4,youtube
@SubbaKatwal,Motivating 30years old thank you vai❤,2024-03-28T18:04:21Z,0,Reply,Ugw6busKejSD0-4yLvd4AaABAg,latin,english,1,6,youtube
@Arijkharel,"Yo IDS YouTube channel maa, aja samma upload vayeko video madhya best video lagyo malai xa. Malai feri pani ekpatak sochna badhya banayo. ""Nepal maii basau ki bahira jau?"".<br>.<br>Appreciated 🎉",2024-03-20T17:29:50Z,286,Comment,,roman_nepali,nepali,1,30,youtube
@babulchandthakuri1619,I'm also brother 😢,2024-03-23T07:10:36Z,1,Reply,UgzhZOyjX2RoYBOnRuB4AaABAg,latin,english,1,4,youtube
