comment,intent,primary_driver,value_orientation,affect
I am just curious if they are ready for spent that much money why don&#39;t they use legal way to reach usa and others country,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=451"">7:31</a> (the cross sign) glitch in the matrix?",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
correction.. they will not get even min wages .. that all depend on employer .. they will get more less then legal minimum wages.. Good Job,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Bro portugal ma yeti bijok cha ki 1 barsa dekhi kaam na gari basna parya cha . Manche haru homeless vako chan,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Bro Respect+ for your Quality content.. On point research and commitment for content 👍,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
This video was so disturbing to watch just had to stop the video at so many points.,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Wow just amazing eye opening video,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=498"">8:18</a> this guy knows about Bhutanese refugees scams six months ago and there is nepal police who just barely start catching criminals.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Your hardwork deserve more subscriber bro..all the best,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Best channel,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Why is  this things going on from Nepal??,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
People are saying that oh so risky don’t try to do that it will harm you stay in Nepal and do something fuck you the deep reality is that even if you work in Nepal 14 hours a day you will get only 10k salary and a lot of mental stress. the politics and the owners and other people don’t give a fuck. Your society always compare you with them who went to aboard that’s the reality and that’s the truth. If you want to know how they treat you to check the airport security if your going to aus usa uk or Europe country they will treat you differently then gulf country. If you stay in Nepal for too long boi the low income people either start to steal or they will suicide. And this is reality,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated
Gretar nepal🇳🇵🇳🇵🇳🇵,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Nepal ko situation testai cha,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
Working visa ma jada vai halyo ni..k bheda ko chal ho yo,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
America ma xiresi pugyo. You will easily get a job bina documents,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"As knowing The world is everyone&#39;s home, and it should be easy for everyone to visit any country.",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
Nice topic,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Grand salute bro u deserve huge appreciation,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
People posting thier ILLEGALLY crossing the boarder journey publicly on social media is more frightening and also pathetic. Afno jyan bhanda pyaro tiktok? 🤦🏻‍♀️ bharey tyo video haru ley afulai samsya nalyaos and yesari post garna ley aru pani jhan influence hudai cha jasto lagcha malai chai. Ramro sanga bichar garera matra yesto kadham uthaum hola.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
I am big fan of yours Nepali Comment! Sending Love and Support ❤️🙏,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Desh Hunu Paryo Nii Ramro Ghar Family palna Laghi Tw risk uthaunu Paryo Tw Tmy Jasto chair ma Basey Rw bhuknu Tw bhayana Nii Aani America Jasto Powerful Country Jana risky Tw Bhaihalxa Nii risk na Leunay Bhya Tw India Gaya Bhyo Tw.   Chair Ma Basey Rw Dherrai nabhukha Bro family lie palna Laghi Rw Aauney generation Aafno Ramro Thau ma Bitos Teni Haru ko life Bhaney Rw Hoo risk leya Rw illegally Janey Tmy Jasto chair ma Basey Rw bhuknu Bhanda Tehi risk leya Rw illegally Janey Thik Xa,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
Donkey process is foolishness......dont waste your money and life.....live in Nepal and develope Nepal ✌,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
"Sir , it was the great knwoledge  and hats off for your work research 🙌",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"Ramrari padha kta ho, ramro jaagir khau, sano tino business gara tei ho, yesto kam chai nagara ..",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
I am on the way brother,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Waiting bro,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
another amaing vid,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Brother u r great 🙏🙏🙏,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"म पनि यो कथा मध्ये को एक पात्र हु। nepal to cyprus and Cyprus to....... Portugal.<br>यो कुरा भोग्नै लाई थाह छ कि वास्तविक यात्रा कस्तो हुन्छ भनेर। विभिन्न कथा सुनेको छु यात्रा क्रममा &#39; बलात्कार, लुटपाट, अपहरण र फिरौती, बिचल्ली, मानसिक तनाव&#39; जति सुने दर्दनाक थियो। घर समाजले तिरस्कार हुने डरले मात्र यस्तो घटना बाहिर न्आएको  हो।",Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
A most needed video with proper research <br>Thank you,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
It is called dunkey process . Hamro neighbourma vayeko yekjana ddko relative + husband pani yei dunki  process bata USma pugeko xa . I ve heard that india ko certain places  ma ta  dunky process duwara US purauna budget anusarko pacakage hunxare,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
dash ramro vaideko va kina yetro dukha garteha holan,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
Another quality content❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Only channel who explains every detail abt a issue thoroughly without any biased analysis 🫡🫡🫡,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Ek janna le 15 20 lakh garna hune tara Nepal ma tai paisaa le kehi business garxu vanne aatt naaune!! Hait toit,Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
Authenticity of your data???,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Very interesting news you are great bro,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
USA ma ta guarantee nai hunxa jasto lagyo dukha pako suneko chaina kaile ni baru Portugal chai hola,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
यथार्थ यै हो जुन भिडिओ ले देखाउछ europ को सपनामा turkey देखि illigal जानेमा क्यै ले ज्यान गुमाय कयौ महिला बलात्कार भय कति अपरण मा परे अनि फिरती रकम लाखौ गुमाय पिडा सारो छ यो यात्रा कठिन छ तसर्थ जानु भाँडा पहिला प्रलोभन मा नाफस्नु होला राम्ररी सोच्नुहोला 🙏🙏,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Rather than giving 40-50 lakhs to agents to travel illegally it is easier to study engineering or nursing and migrate to australia.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Please provide cc asap. Much required! Btw Great video as always❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Very well explained,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
aafno desh jasto sorga khii xaenw aafnai desh ma kam garum gare j pani hunxa,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Respect Brother,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
No it&#39;s not worth it....,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"As a nepalese doing buisness in both portugal and Croatia, sadly its true these so called agents are non other than our nepalese brothers, if your working in croatia and have a good job you can apply for visas for countries like portugal Spain but we choose these shortcut paths, there have been countless deaths but it never comes out. thankyou brother for spreading out the news I hope this video brings for kind of awareness to people coming to europe<br>fortunately for dharamdas he&#39;s recovered well and is working in airport thanks to some good nepalese brothers out there.",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Content always OP 🔥❣️🇳🇵 Love You Brother,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
This is the 1st Nepali channel I love to watch,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Lovely info. Keep it up bro,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
I hope this video will help you to reach 100k subscription ❤️,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
यत्रो नेपाली बर्षेनी बाहिरीएर पनि जनसंख्या बढ्ने रोजगार नपाउने समस्याहरू भै राखेकै छ । कतै यसको कारण गैरकानुनि रूपमा नागरिकता वितरण त होईन?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Hoina usa illegal tetro tirera jaanu chaae kina achamma 6 yrr😡😡😡,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
Very beautiful❤❤❤❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
People who choose that way get killed by Mexican drug cartels like los Zetas &amp; Sinaloa cartels ..Women get fucked so bad &amp; trafficked in this route not even US or any Europe countries Let them now in any of rehabilitation centres for immigrants...It&#39;s better to go gulf than US this ways...,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
"i live in NYC, most of the illegal immigrant in NYC is from LATIN COUNTIRES........these people they don&#39;t care about their LEGAL STATUS.......all they care is make money and make lots of children.........and return back if they don&#39;t get GREEN CARD from their AMERICAN BORN children......",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Missing our king,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"Hamro Nepal ma yo vram cha ki, Nepal bahek aru desh(especially western countries)ma paisa khan-khani payincha! - Yo jhoot khabar, lack of good education le Nepali youth ko mind bigareerako cha: USA, UK, FRANCE, SPAIN, etc ma kasto SLUM, GARIBI, DISCRIMINATION, RACISM kasto daar lagdo cha vanne thaha chaina,.......aahile ko yug ma haat-haat ma mobile cha, Internet cha, afai research garnuhos, aru ko social media ma ramro photo daekera jealous vayera afno Swarga jasto desh chodera, afno matra navai, purai aaune naya NEPALI GENERATION KOI future lai harm nahos...JAI NEPAL! 🇳🇵",Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
"😮😮😮😮😮😮😮 <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=177"">2:57</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a>",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Hijo aaja sabai vanda dherai hamrai gau bata janxan hola😢harek ghar bata tapaiko video dekhiyako yauta dai Ahile greencard paisake yatra garo xa but pugirako xan sabaijana dhilo chado achel,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
nepal ko middle class uppeer class ko video banau nu pario data nai chaina how much they earn,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"2014 tir ma Schengen country vaner hineko thye 9 month russia ani donkey route hudai estonia samma pugeko thye , paisa ra samay barbad ani jindagi ko mahatopurna umer refugee vayer basnu parne  sabai kura ko yaad , pressure ani torture ajhai nai taja chha.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Yo sabai credit hamro leader haru lai janxa 😓😓😓😓😓 aba ramro choose garera vote halnu prxa sarai dukha lgyo yo video herda😓😓😓,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
Mero ekjana saathi ni 2month bayo illegally yesari gayeko aile mexico ma xa,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Again Thank you! for great content.  😭 Hope you reach 100k until next video comes,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Portugal pugera video herdai chhu.<br>Kahani relatable chha,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Was thinking of this some days ago and u did it like u read minds kudos,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"Awesome content as usual. Keep going, Dipesh Bro!",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Nepal ma garne taw ho ...<br>Tara garne k bato k ? Ma sanga degree taw xa Tara haat ma kunai sip xaina ....,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Katti xan xan,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
why so much risky moves people take in life teti mihinet garera paisa kharcha garera teso garnu vanda easily they can spend time in gulf countries with the same effort they applied taking risky moves,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Sunda daar lagdo, risky cha tarah afno better livelihood ko lagi yo risk easyily comepete garinxa jasto himmat aauxa ❤️",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
You explain as like swagaat gyawali 😅❤️👏👏,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Eu nepali Ho bhanne daju Kaha hola Kasto hola bhanne Janna ko lagi ecchuk chu ma?? Do anybody know??,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Build your own country,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
Now about A division league  club their  owner and  earnings 🤔❣️🎈,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
But now Croatia is also schengen,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Hajur lai pne dhanyabaad yesheri sabailai gyaan dinu vayeko ma ra Jan chetna garwnu vayeko ma.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
