comment_id,comment,intent,intent_tie,primary_driver,primary_driver_tie,value_orientation,value_orientation_tie,affect,affect_tie,is_no_persona_gold,A_intent,A_primary_driver,A_value_orientation,A_affect,B_intent,B_primary_driver,B_value_orientation,B_affect,C_intent,C_primary_driver,C_value_orientation,C_affect
d2ccc68903c0,&quot;One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.&quot; — Plato,Trapped/Regretful,TRUE,Systemic/Political Anger,FALSE,Individualist-Self,FALSE,Angry/Frustrated,TRUE,FALSE,Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,No-Persona,No-Persona,No-Persona,No-Persona
a279ab74a1c7,A very pressing problem of Nepal that must be addressed asap!,Neutral/Observation,FALSE,Patriotism/Love,TRUE,Collectivist-Nation,FALSE,Pragmatic,FALSE,FALSE,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,No-Persona,No-Persona,No-Persona,No-Persona
22736f0779ec,"maro dash maa brain drain vako xa meaning hamro dash ko skilled rw educated population dash xori gako xan this is a big problem for our economy, hamro dash maa bidashi company ko investment haru tanna sakhako xina jun ki only safe way ho aouta dash ko economy badaunu lai tara yaha ta business start garni jo garo xa, IT Sector ramro ho tara aouta pipe dream ni ho sabai youtuber banna sakdina so aba harnu hamro yaha dash xori jana culture vako xa aba kuni batdata vayana thanks to our country poor governments management, our  situation is sad but i hope for the better days, take care guys.",Anti-Migration,TRUE,Economic Necessity,FALSE,Collectivist-Nation,FALSE,Hopeful/Motivated,FALSE,FALSE,Trapped/Regretful,Economic Necessity,Individualist-Self,Hopeful/Motivated,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,Anti-Migration,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
849aa68a0db9,Malai esto lagx next 300 years ma Bangali r Indian Muslims ko dherai jansankhya hune x Nepali ko anupat ma kinabhane uniharulai jamin bhae hunx Tara Nepali American life chainx.,Neutral/Observation,FALSE,Systemic/Political Anger,TRUE,Collectivist-Nation,FALSE,Pragmatic,FALSE,FALSE,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
e0a598e37fb3,नेपाललाइ इसाई देश बनाए सबै समाधान हुन्छ,Neutral/Observation,FALSE,Patriotism/Love,TRUE,Collectivist-Nation,FALSE,Pragmatic,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
f8aff906ae0a,Mero uncle Pani gayeko 2 barsa vayo Tara Dunga paltera bepatta vayeko Khabar aayo Aru kehi information xaina,Anti-Migration,TRUE,Family Obligation,TRUE,Collectivist-Family,TRUE,Despairing/Sad,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad
11c3dbad83ae,Bottom line:...Go follow your dream!!!,Neutral/Observation,TRUE,Economic Necessity,FALSE,Individualist-Self,FALSE,Hopeful/Motivated,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
ed37733f1aad,Manxe bides gaye ra xaena.desh xodi raxa hits hard😢,Anti-Migration,TRUE,Patriotism/Love,FALSE,Collectivist-Nation,TRUE,Despairing/Sad,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
42cc0af644a4,ma pani lagvag 9 barsa bidesh basera aaye yaha kam gareko 3 mahina vayo paisai didaina jhagada kati ko ko sanga xahi garnu,Trapped/Regretful,FALSE,Systemic/Political Anger,TRUE,Individualist-Self,FALSE,Angry/Frustrated,FALSE,FALSE,Trapped/Regretful,Economic Necessity,Individualist-Self,Angry/Frustrated,Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad
003bdfbc74a4,"Nepal cannot compete with India and China in terms of being a service provider or a manufacturing hub. We need to focus on our strengths to create jobs, which are agriculture and tourism. Focus on adventure tourism, create better experiences for tourists and grow things that we can export. Look at small developed countries as case studies to see how they focus on their strengths to develop. But in the end it all comes down to political stability and leaders who are good in geopolitics.",Neutral/Observation,FALSE,Systemic/Political Anger,TRUE,Collectivist-Nation,FALSE,Pragmatic,FALSE,FALSE,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
1e90d0801125,Garo xa hou Nepal ma hami jastai lai😢😢 hope your words become reality ❤❤❤❤,Trapped/Regretful,TRUE,Economic Necessity,FALSE,Individualist-Self,FALSE,Hopeful/Motivated,FALSE,FALSE,Trapped/Regretful,Economic Necessity,Individualist-Self,Hopeful/Motivated,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
19652b247823,A 23 year old guy giving a hope and optimism  to a 29 year old boy . This is Change and as he said desh ma opportunity  jhan badera auxa sabai  bidesh  gayesi . Change is inevitable .  Thank yo for bringing inner voice  brother.  This is  todays youth  .,Anti-Migration,FALSE,Patriotism/Love,FALSE,Individualist-Self,TRUE,Hopeful/Motivated,FALSE,FALSE,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,No-Persona,No-Persona,No-Persona,No-Persona
6b29e9a98a77,Jholey haru cha ta ... kamauna... sikill bhale ta samjhane ho3 ba namarunjel,Neutral/Observation,TRUE,Systemic/Political Anger,TRUE,Individualist-Self,FALSE,Angry/Frustrated,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated
b5499723ae28,"Maybe it can be helpful for somebody, especially for students, just don't give your full time to course book. Read and learn about share market, content creating, can learn barista, driving, cooking, even go for the labour job, discuss with friends about ideas and business. For now, you may not make money but you will know lots of thing like investing ideas, communication skills, personal budgeting, how to deal with people and of course will be more confident. <br><br>And life is all about selling yourself and you need to know how to sell to get the best price.😊😊<br><br>Good luck for everyone. Cheers",Anti-Migration,TRUE,Economic Necessity,TRUE,Collectivist-Nation,TRUE,Hopeful/Motivated,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
b14b35b802fc,"Yo Nepal ko neta haru lai tik parnu parcha, aba tiyo din aaucha jaba Nepal ma Nepali haru hoina foreigner haru baschan ra yahi foreigner haru le Nepal lai rule garchan, yo neta haru lai paisa matrai cahiyeko cha, yasto neta haru lai PUNCH hanera khola ma falidenu parcha",Pro-Migration,TRUE,Systemic/Political Anger,FALSE,Collectivist-Nation,FALSE,Angry/Frustrated,FALSE,FALSE,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
496f760a28e4,sabai thok huncha tara 2085 ma hunxa naya leader auxa usle sabai thok garxa wait for the right time... hunxa,Anti-Migration,TRUE,Patriotism/Love,TRUE,Collectivist-Nation,FALSE,Hopeful/Motivated,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
f7d9eacf475a,This trend is even more popular in Dang district it’s like at least one family member hav been through this journey in many localities,Neutral/Observation,FALSE,Family Obligation,FALSE,Collectivist-Family,FALSE,Despairing/Sad,TRUE,FALSE,Neutral/Observation,Family Obligation,Collectivist-Family,Despairing/Sad,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic,No-Persona,No-Persona,No-Persona,No-Persona
