"comment","intent","primary_driver","value_orientation","affect"
"so amazingly said , well said , well truth !","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"KEEP MAKING VIDEOS !!!!!! ⚽️⚽️⚽️🎮🎮","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"Main problem vaneko naie ecomony ho mitra ....hamro paisa kamjor vayo tei vayera manxae bahera janxan <br>Jaba samma hamro paisa baliyo hudaina taba samma bidesh jana naie parxa","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"What is the use of staying in Nepal unless you are politician or their relatives?","Pro-Migration","Systemic/Political Anger","Individualist-Self","Angry/Frustrated"
"Patrakar haru lagi parnu paryo... virws lagi hoina desh ko lagi","Anti-Migration","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"Jholey haru cha ta ... kamauna... sikill bhale ta samjhane ho3 ba namarunjel","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Nepali life is much for fulfilling than life abroad!","Anti-Migration","Patriotism/Love","Individualist-Self","Hopeful/Motivated"
"A very pressing problem of Nepal that must be addressed asap!","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"A b pant right version and right report","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Is Nepal on the Verge of Losing Its Youth? के नेपाल आफ्नो युवापुस्तालाई गुमाउने संघारमा छ? <a href=""https://www.youtube.com/live/UgeYdADxqs0?si=jhjcvXNh_IuRGJwU"">https://www.youtube.com/live/UgeYdADxqs0?si=jhjcvXNh_IuRGJwU</a>","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"To all those who are drowning in self pity in the comments:<br>Yea the corruption and politicians are bullshit but the youths are no better. Opportunities xaina bhane banau natw, learn skills through internet instead of watching reels, and do something that actually matters. It is eaay to get success in a country which has no basic facilities because let&#39;s be hobest, you don&#39;t need new innovations. Youths have the power, we are active and can protest but guess what everyone is too selfish. Bahira pani sukha xaina I have seen many of my friends suffer due to high cost of living. Only go to foreign country if you can&#39;t afford basic living here. Self pity is the biggest problem.","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"So valuable content dai thanks ❤","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"Desh bigareko neta lai dosh hoina...guu khane jhole abujh  Gen Z youth haru le garda ho...ek number jhole prasad ta Gen Z hudo raixa...yo kura maile sarkari college ma padda realize vako ho...students union ko name ma neta ko jhola bokne guu khane ko paxi hidne Gen Z nai ho country ko culprit 😡😡","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"सबै देश को सिस्टम दुरुपयोग को कारण हो हाम्रो देशमा ठुलो रोग छ त्यो हो २/४ जना बुढा  काम नलाग्ने नालायक उल्टो बुद्धि बोकेका नेताहरू<br>मलाई अति धेरै गुनासो छ बुढा नेताहरु प्रति केहि छैन मैले पनि अमेरिका जाने सपना बुन्दै छु😢","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"bhai DV varis ??? time chhaina hai garihal video ta US basera ni banaauna sakincha","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"Amazing content brother 🔥🔥🔥🔥","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"Nepali people&#39;s young and children are future citizens of forigen country like United kingdom, USA, Japan,India, Australia, exc,","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"Nepal is just a waste of money… as an entrepreneur. <br>1st business : Restaurants ( loss)<br>2nd business: online jewellery shop (loss)<br>3rd business ( groceries) a huge loss <br>4th business: clothing ( loss) <br>Well the reason I figured out is Nepal is very expensive to do anything for middle class business men. The profit margin is very low . Now I invested 20 lakh and now I am earning 2-3 lakh a month’s. And it’s (EUROPE) worth investment.. loan panii clear profit nai profit 😂😂","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"Sad reality.","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"sabai thok huncha tara 2085 ma hunxa naya leader auxa usle sabai thok garxa wait for the right time... hunxa","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Haami sunne matrai ho hjr kehi garna sakdainau 😂 hai haami harulai haami aafnai Nepali Janata aafnai daju bahini bare kehi matlab xaina bhane IE  lutera haruko k matlab😔 huna ta ho iniharukai karan ho Tara 🙏🙏🙏🙏🙏🙏🙏","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Best thing to do in Nepal is LEAVE THE COUNTRY !!!!!!!!!","Pro-Migration","Economic Necessity","Individualist-Self","Angry/Frustrated"
"I know there is a lack of job opportunities and less salary but before blaming politicians just think what you guys are doing. Leaving your country and showing your nationalism in social media is never an option. Its you who build your country","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Come to europe","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"Right लौरो टेकेर देश चलाउने नेता हरु लाई नहटाई नेपाल बन्दिन मर्ने बेला के नेता बन्न परेको होला","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Nepal land will be bought by many industrialists in future at cheap price","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"Corruption will never stop in Nepal. Which is the root cause of all this problem","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"यो भिडियो ले त अब म पनि यतै सेटल हुनु जस्तो लाग्यो।","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"Mero naam Ganesh bahadur Rajak ho mero October mahinako antim last date samma USA ko immigrant visa ma USA settlement hunxu with all my family","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"I am in Malaysia now, you have mentioned exactly the things which I had thought, Thanks ❤ for this wonderful contents,  I love you.<br><br><br>Living away from family sucks every second , bro 😢,<br>Most of the time we have to face exploitation 😢,  the thef leaders would never understand our pain, because they and their children never face it.<br><br><br>I have been doing research for many years,  And Try to understand our economic better,  along with all the other countries economic. Please Let me know if you need any information , I may add an unique aspects to them.","Anti-Migration","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"sir d47 visa ko barema research garerw haldinu parney vyoo hjur leaa ..ailea 3 vanda mathii ko gpa vako lea matraa d2 visa ma jana paine bhanya xa but official notice kataii pani xaina ani 2.84 xa sir mero gpa aba d47 visa ma janu vanxa mailea gardaii gareko consaldency lea ..ani aba hjur ko yo video herikana euta matra consaldency ko kuraa sunnu hunna bhanerw 3 4 wota ma bujeko harek consaldency ko kura farak xaa ..ielts pani gareko thiyee 5.5 aako xaa kina bhane xitoo bhanda xito garnu parcha bhanerw 21 days matra class gayeko thiyee 28 september samma testo keii kura thiyenw october  5 dekhii 3 gpa bhanda thoraii lea mildaina bhanerw vannu vyo consaldency ko sir lea aru consaldency laii bujda panii yaii vanxan ..ma lagayat dheraii student haru laii ekdamaiii garoo parya xa sir ..kasko biswas garne k garne keii thaxaina hjur tw content create garnu hunxa ani information haru hami students haru laii dinu hunna yo topik ma euta videoo banaii dinu paryo sir ..ma matraa hoina southkorea jane dheraiii sathyy haru laii yeslee garoo paryaa xa ..","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"<a href=""https://www.youtube.com/watch?v=YRwlDwWEBew&amp;t=182"">3:02</a> “pailaa nepali haru saudi qatar jaaney garthey bhaney aaile padhelekheko nepali australia japan jaaney garekoxan” re? fix your statement bro khaadi bhandaima anpadh manxe matra aauney haina yaha bujheu kei bolnu aghi sochera bola. ani k khaadi jaaney haru chai anpadh bhannu khojeko ho timile? <br>im extremely offended by your words. <br>i’m not an PHD scholar but im well educated and still decided to come to qatar to chase my dreams and i can proudly say that im earning way more than my friends who’s in japan australia etc etc!","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"ma pani jadai xu 😢","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"33 crore vagwan vako desh ma 33/3 =11 each  one is looked by 11 god no worries","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"It&#39;s a time to show such  authentic case study in the meeting time of opmcm ..","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Today&#39;s burning issue in which Nepal government is deaf and silent.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"maila private ma pada ko ho ani school lai maila paisa pay gara ko how government invest on me","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Yo desh ma gari khane khaita batabaran banai deko yo varatiye dalali haru le kasko chai future xa yo desh ma nata teacher nata doctor scientists nata businessman nata students khai ta gari khane bato banai deko vako jati sabai desh xodi rahexa","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"As long as not let the Chinese government change Nepal, Nepal will rise again!","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
