comment,intent,primary_driver,value_orientation,affect
पंछी फर्केर आउ....,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
i like this contain,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"Nepal ma sarkarle ramro kam garna sakira xna haina ki, kamai garna sakeko xna",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"The only thing Nepali will do is buy land, build house and inflate real estate prices.",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
I don&#39;t think this is the brain drain rather it is the brain train,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Jewish diaspora haina zionism vanu,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Nepal doesn’t need a youth leader or an old leader it only needs a great leader whatever he or she is old or young the leader should be great to the people from heart. 🇳🇵🇳🇵🇳🇵🇳🇵,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Informative video for all nepalese 😊❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
For short term good life we are giving our lives to others hands yo aboard is a honey trap for us ahile sunda sochda testo nalagla tara kahile samma aboard ko border khulla hunxa? Gulf gayera 4-5 ota bhai bahine bhau aama ko karcha bihe afno chora chori paleka hamra buwa uncle haru nai xan ahile yuwa lai teti paisa le napugera Europe south africa even war zone country jana laisake PR hune yutai baslan ani nahune k garne ekdin desh farkinai parcha jawani sab bidesh ma sakera 40-50 katesi nepal farkera aauda haat ship hunna ani garne k ? Harek desh euta boundry hunxa resources ko You can see qatar as example worldcup huda kati nepali lai ghar pathaideko thiyo yestai yedi ekdin bidesh ko dhoka banda vo vaneh thau thau desh darap hunxa ekdin mai,Anti-Migration,Economic Necessity,Collectivist-Family,Angry/Frustrated
Hope our country will developed sooner Jay Nepal 🇳🇵,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Ya babu timi napa aafno kamaiki,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"I not an scholar on this. However, के डायस्पोराका साथमा आउने युवा जनशक्तिको कमी निम्ताउँदैन ? देश भित्रमा रहेहा विभिन्न विकासका क्षेत्रहरू ल्याउने असरलाई कम्पेन्साटे गर्छ त? अनि अरू पहाडमा बुवाले चिता अग्नि दिन न पाउनु पनि प्रगति भो? आमाले सन्तान बाकसमा आएको हेर्नु पनि +ve हो त? What about    oir social identity, families dissconnected, mental health of those who grind, anjha rame ko budhi lai shhayame ley bajaudai xa , blah ! blah! Not an expert though Nepal sayed biswow ma kehi yehi Nepali Maulikta ley pani chinhinxa. Two faces!!",Neutral/Observation,Patriotism/Love,Collectivist-Family,Pragmatic
जसरि हुन्छ लाइक भिउज बटाउने हुटहुटिमा लाइक भिउज लाई  मत्लप नगरि जुन कुराहरु उठाइराख्नु भको छ  मनै देखि उच्च सम्मान छ❤❤❤🙏🏿🙏🏿🙏🏿,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Great topic ❤❤ in nepal now,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Nepali need to address the most important issue of their nation. Pollution..Air pollution..It does not matter how much money anyone makes if the very air Nepali breathe kills the children and elderly....It is a national.emergency now....,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
TNC best research after a long time 😅❤,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Private company ni ko loot chaliraxa ra jhan sarkarle Pani teti nai sahayog gari raxan   chor ra fataharuko desh vayo ABA ta,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
"Beautifully well balanced argument on Yevgeny Kuznetsov&#39;s theory.<br><br>I would like to add one more criticism to it - the replacement that occurs in the absence of the working population. <br><br>For example: Indian population replacing and taking over jobs, businesses, properties and positions in the absence of working population in Nepal.<br><br>The country does not stand still in vacuum while the diaspora establishes abroad. More likely, it will change into something completely different, leading to more disconnect.",Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
"The young generation constantly faces significant challenges. Although they have many innovative ideas to contribute to the country, the lack of proper policies makes it difficult to kickstart these ideas. As they grow older, societal expectations to support their families arise, making it challenging to continue pursuing these ideas. Consequently, many are compelled to go abroad for better income, education, or training. The allure of a better world often blinds Nepalese individuals, and the high rates of corruption further discourage them from investing in Nepal.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
Muji Patrukar. 12 Bhai Muji. Murra Muji🐃🐃,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
Ramro video ❤😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Binod Kunwar is one of Example who is investing in Nepal in sports sector after fullfilling his own and Household Needs👏👏,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Hello Namaste YouTuber. What is going happening in our Nepal. Shut up 🤫 I&#39;m not happy to listen your words. Desh Ritti Raachaa.. YouTuber hasiraa. Bidesh jani k rahar hoo lamo ko Dias Moda 😮‍💨. Desh ko leader jhai bolni 😮‍💨🙏,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Nepal is a country where we exports young people and imports the money...,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
Agriculture ma 30-50lakh low interest loan deko sab farm haru dubi sakyo cause they all were in that sector just for that loan money. In my point of view government should provide low interest loan  with easy paper work for the business plan to the people who have studied in abroad and want to come back and start their own business cause they really know what hard work means.They know the real value of money and how to use it wisely..,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
content already covered by indepth story,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
I don’t understand why don’t you make videos of dharan ? Don’t you think they are doing really great job? Don’t be bios,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
Bro explained my all plans in this video ...,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"if your country betrays you , you don&#39;t turn back.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
malae ta pugi sakyo ja gayo tei kure kurai garnu parxa na system ramro xa,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
To my every brother and sister i only want to say after getting experience or 32 35 come in home land and share knowledge to nepali people too,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
"I think every Nepalese going abroad now should at least ensure that they carry their culture and national pride with them too. Because it&#39;s so easy to be influenced in foreign territory where every culture is different and new. It might be a total shocker and hard to adapt but eventually, it becomes a part of our life. However, if we could also share a bits of our culture, then that would be a great cultural exchange. Our history is so rich that we were never colonized yet most of the foreigners don&#39;t even know that Nepal exists. That&#39;s fine but what would be even sadder is if our own future generations don&#39;t know about our country. It&#39;s crucial for us to build a great diaspora for our identity. 🇳🇵",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
This earth belong to whole humanity,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Optimistic video, but the reality of our country is same as Haiti. **Until and unless we get rid of corruption nothing will change**. It is not about the changing &quot;system&quot;. Don&#39;t get mistaken, it doesn&#39;t matter which person or group or clan is ruling the country, it is about if those persons, groups or clans are serving the Nepalese people or not.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
"I won&#39;t stay in Nepal, earn and pay tax here so that the kids of the Politicians and Corrupt leaders will enjoy their life abroad!!",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
Brother make video on why gen Z are being so drug addict and dumb generation.i fell worst and think that why i born in this generation Z due to shit habits done by gen Z kiddo,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
अझै ओलि प्रचण्ड शेरेलाइ भोट हालौ मासु चिउरा खाउ 😂😂😅,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
"हामी सर्वसाधारण जनतालाई जहाँ गएपनि आफ्नै देशको माया लाग्छ,याद भइरहेको हुन्छ तर यो निती नियम सरकारले बनाउछ,चलाउछ उनीहरू ले यस्तो कुरा को video हेर्दैनन , बुझ्न चाहादैनन 🇳🇵",Neutral/Observation,Patriotism/Love,Collectivist-Nation,Despairing/Sad
"Dude could have used any other country, yet he chose is*ael which is a SETTLER COLONIAL country. The fact that their lobby has an influence is due to to US geopolitical interest in that region. Kinda weird how you support or use them as an example when they are involved in a g cide with support of said lobby. To use that example is disgusting considering you might know what the heck is going on there. Also, this video and the solution presented sound so liberal to me. Not taking into account various factors. And, wtf is it with Haiti? It is literally destabilise by US, had to pay reparations for freeing itself from french. Yes, corruption is to blame but so is geopolitical factors. Without a detailed analysis to our countries system, both internal and external, &quot;solutions&quot; like these are wishy-washy",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
This video is a loss for Nepali comment when it comes and talks so positively of the genocidal jewish ethno state like Israel,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Vet well researched video,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
