comment,intent,primary_driver,value_orientation,affect
kasaile banaideyoss jasto lagthyoo yoo video 🙏,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"If there was a functional  Nepali government  and intelligentsia, this documentary  would win the 1st prize in a competition!",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Authenticity of your data???,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Very beautiful❤❤❤❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Yo sab garaune vanya nepal ka chor neta haru ho,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
"My uncle is on the way to US, the same way you mentioned. It&#39;s been 2 months already",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Nepal to USA<br>Detained and deported full story😢<br><br><a href=""https://www.youtube.com/watch?v=KBa87QNJ8VI"">https://youtu.be/KBa87QNJ8VI?si=LlEU0ywPEWwuwpqY</a>",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
finally found nepali reporter as indian dhruv rathe❤❤ love it,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
that&#39;s why teacher says read properly madarchod,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Thukka mg nepal ko halt,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Shree Ram was born in Nepal🇳🇵,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Eti dherai paisa ani risk liyera arko desh ma jaanu bhanda aafnai desh maa kei garne risk linuna business garnus . Ani tyasmaa xai safal hune chance ek damai high xa arka ko desh ma marna jaanu wa deport huna jaanu bhanda .<br><br>Pls yasari illegally arko deshmaa jaanu bhanda afnai desh ma basnus baru noon snga roti khayera bhaye pani aafno family snga ta basnu sanknu hunexa,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Ser aba k usa iligal  aru des ko manxe aaunu paudaenn r vedeo banaunn,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Heart wrenching 😢,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
"Hamro Nepal ma yo vram cha ki, Nepal bahek aru desh(especially western countries)ma paisa khan-khani payincha! - Yo jhoot khabar, lack of good education le Nepali youth ko mind bigareerako cha: USA, UK, FRANCE, SPAIN, etc ma kasto SLUM, GARIBI, DISCRIMINATION, RACISM kasto daar lagdo cha vanne thaha chaina,.......aahile ko yug ma haat-haat ma mobile cha, Internet cha, afai research garnuhos, aru ko social media ma ramro photo daekera jealous vayera afno Swarga jasto desh chodera, afno matra navai, purai aaune naya NEPALI GENERATION KOI future lai harm nahos...JAI NEPAL! 🇳🇵",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Wow thanks of hidden info now we friends will try ....this hidden journey...n inform u when we will reach🙏🙏,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
I am on the way brother,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Sabai yo desh ko politician le garda ho..etro dukha garera, aafno jyan ko baaji rakhera tyo garnu vhanda baru Nepal ma aafno desh ma aandolan garnu ra yo buda bhrasta neta lai hataau..kasari huncha voting ko bela farka..ya thulo aandolan aba garna jaruri cha.",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
Adios guys I&#39;m off to us now 😔😔,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"i was the 12,000th like! keep up the good work dipesh!❤",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"Hamro desh ko halat ramro vako vaya yesto hudaina thiyo, desh bechi sako neta haru la",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
But now Croatia is also schengen,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Kehi dikkat huna,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Rahar le gako ho bro tya <br>Bhadyata t khadi ho,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
You are the best😊,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Thank god there are some channels who raise the issues that no body talks about <br>Jay Nepal,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"Wow how beautifully you presented this issue 💖<br>You didn&#39;t even ask for Like,  comment,  share blahh blahh, <br>Truly appreciable 🍀🍀",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Rather than giving 40-50 lakhs to agents to travel illegally it is easier to study engineering or nursing and migrate to australia.,Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
what if there&#39;s a movie on this journey? 🙂,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Illegal stuffs lai promo grnu hunna hai,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Truth is hard 😢 please don’t travel illegally ❤,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Dai every 7 day ma vedio dinuna kamse kam vadi ma day by bay,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Ek janna le 15 20 lakh garna hune tara Nepal ma tai paisaa le kehi business garxu vanne aatt naaune!! Hait toit,Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
"Sir , it was the great knwoledge  and hats off for your work research 🙌",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
If want go america when i got visa not just some ****alien way,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
This video was so disturbing to watch just had to stop the video at so many points.,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
Thanks दिपेश सर लाइ यति धेरै मेहनत गरेर यो भिडियो बनाउनु भएकोमा 🙏🙏😍,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Mangsir 4 ma afno chhora chhori lai yesari bidesh jana naparne gari vote garnus.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Indian haru cycle ma tarkari bechera Afno Nepal ma baseko kharcha samma katera 20000+ Indian rupees saving garera Nepal bata India pathauxan... Ani hami Nepali lai jahelay maya bidesh KO ra Nepal ma kei hunna bhanni Soch... Garo cha🙏🙌,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Dang bata nai holaan sabai vanda badhi USA jaani haru … harek ghar bata ek jana hunxan,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
And the government is still worried about how to win the Election 😵‍💫😵‍💫,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
"यस्तो जटिल यात्राको बारेमा अध्ययन अलिकति पनि पुगेन। अलि धेरै मेहनत गरेर अलि राम्रो vdo बनाउनु पर्यो भाई। यो एकदमै सतही VDO भयो। पोर्चुगल मा कुनै तथ्य बिना 50 हजार नेपाली छन् सम्म भनेको सुनियो, यो अलि बढी नै भयेन र🙈🙈 सायद अहिले सम्म कै कमजोर प्रस्तुति भयो यो।",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
hat&#39;s off to you sir for your quality content.,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"Dherai Dherai Dhanyabaad mitra... timro present garne tarika nai kati vabuk lagyo. Nepali le Nepal banaunai parcha... sahi vote garne bela aayeko cha aba. sahi lai nachunne ho vane vaaaard mei jawos sabai. murkha ko pani had huncha... paisa ka tattu haru, hami sabai.",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Mo US gako ho illegally jati vaninxa teti khatra pani xaina… panama jungle 2/3 matra hoo hidne … hajur le vanne ko batoo ahile ko ho pahile tiyoo batoo hudai jadina the South America samma…,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Paisako Lagi kina janu paryoo katha morey hunxa ..,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Mero dai ko sathi pani 45 lakh ma illegal gako xa usa<br>Daaku haru ley sabai lutdinxan kattu samet,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Yesari janey pagal haru hun,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
America ra Europe jana lai pahila consultancy bujhera jana parcha😍😍❤️,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
That&#39;s why knowledge is important.,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"2014 tir ma Schengen country vaner hineko thye 9 month russia ani donkey route hudai estonia samma pugeko thye , paisa ra samay barbad ani jindagi ko mahatopurna umer refugee vayer basnu parne  sabai kura ko yaad , pressure ani torture ajhai nai taja chha.",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Thank you soo much dai for this documentry😊,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Again we need details information about Nepal to USA illegally…<br><br>Only channel to give real content,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Such a great content.,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
I am just curious if they are ready for spent that much money why don&#39;t they use legal way to reach usa and others country,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
US jana kati samma kharcha huncha😅😅😅😅😅😅,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Dv vareko ta मतलबै भएन नी,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Very well said,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Well Done bro as always you are a star. Thank you 🙏🙂👍,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"Congratulations Dipesh, I admire your videos. Thank you for making meaningful vlogs. At least you are doing something good for Nepali <a href=""http://people.you/"">people.You</a> are potential to become Nepali&#39;s Dhruv Rathee, and leave behind all the mainstream Nepali TV Chanels. Most of them are compromised and corrupted.  Please keep working.",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"Yes, You are right we receive more than 100 Nepalese coming from different parts of Europe i.e Romania 🇷🇴, Croatia 🇭🇷, Bulgaria 🇧🇬 etc..",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Qualtiy content,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"Great content, keep it up ❤️",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Such a informative video thank you so much sir.. ❣️❣️,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"Awesome content as usual. Keep going, Dipesh Bro!",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
another amaing vid,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
You are contain are marvelous keep up the work. :),Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Good content,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Bro Respect+ for your Quality content.. On point research and commitment for content 👍,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Best youtube channel in nepal..bestest contents..keep growing..we all love you,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Shit  man .<br>mah nii Portugal jana lagya theya yesari naie 😅,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"Ramrari padha kta ho, ramro jaagir khau, sano tino business gara tei ho, yesto kam chai nagara ..",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Informative video keep going,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
love your content  . Hope see more videos ❤️,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Bro Sky SIM ko rise ra downfall ko Barey ma new video paum na plz ❤️,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Nepal ma garne taw ho ...<br>Tara garne k bato k ? Ma sanga degree taw xa Tara haat ma kunai sip xaina ....,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Love your content. Hope to see more,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Yeah man some of my villagers paid 40 lakh to go USA through illegal way and they made it but I always think it is a risky way <br>Your life&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;usa,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
