comment,intent,primary_driver,value_orientation,affect
Sorry guys next month mah ne janxu abo . I won&#39;t return ✌🏻,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Ma ta bidesh jan chau , ma kinna yo desh ko chinta garu 🤡",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
Yeha ramro sarkar nai xaina neti neyam ta banxa tara prabhavakari tarikali lagu hudaina ramro garne lai khutta tanne prabirti le garda pani desh kei garam vanda dherai aru society herene nagajar pani farak hunxa nata sthir rajniti xa nata ramro kam garne manxelai support nai,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"Yeti lamo video banaunai pardaina. Simple kura cha. We have two kinds of Nepalese today.<br><br>1. Ambitious, needs good lifestyle and quality healthcare. These Nepalese are wise and forward thinking. They have no problem leaving Nepal and settle abroad.<br><br>2. Self-contained, very difficultly influenced by outside world and people, happy with an ok life with no effort (or will) to seek for a better one and above all, emotional fools who want to stick to family values and wont let go off their parents in their old days. They stay back. Pollution hos, corruption hos, garibi hos, they will stay back. And it&#39;s not that they cant go abroad. They just dont want to. <br><br>Choose one. We should respect both kinds of Nepalese.",Neutral/Observation,Economic Necessity,Collectivist-Family,Pragmatic
Youth in Nepal will waste their time and energy. Skill is not valued but power is valued. Government work don&#39;t want to work but want salary hike. The level of corruption and selfiness that exist in the goverment offices only god can clear the mess. 4-5 generation manxele sapana dekhna pako xaina khana basnalae sochnu parxa. Obviously brain drain hunu is not a big deal in this case. But i wish my country gets a leader who work for people not for self fulfillment.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
Nepal Sarkar le kai ramro garla vanera aas garera basni manche yo duniyakai sabvanda thulo murkha ho,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
I don&#39;t know nepal language but still I can understand it very well.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Mai ni varkhar 1 mahina aaghi aako xu rojgaar ko lagi. K garnu 10 barsha dekhi kosis gariyo Nepal ma tara ghus diyera sarkari kaam ma laagne lagi haley ra aafule last ma private job gariyo tara Nepal ko mahangai ma kamako bhanda badhi kharcha le garda hidna badhya vaye. Yad kati aauxa aafno thau ko ra pariwar ko tara k garnu testai awastha aai paryo.,Trapped/Regretful,Economic Necessity,Collectivist-Family,Despairing/Sad
😮 very good 👍 👌,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Jewish diaspora haina zionism vanu,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
