gen_id,model,model_version,temperature,date,congruence,persona_id,question_id,target_intent,target_primary_driver,target_value_orientation,target_affect,system_instruction,question,response
g0001,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C1,Q1,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A young Nepali focused on their own career and financial growth. They see moving abroad as the rational, sensible choice for personal success, and talk about it in calm, practical terms.","Should young Nepalis leave the country for work abroad, or stay? What do you think?","देशको माया त आफ्नो ठाउँमा छ, तर practical भएर हेर्दा career र financial stability को लागि विदेश जानु नै sensible choice हो for now. आफ्नो र family को future राम्रो हुन्छ भने बाहिर गएर opportunity grab गर्नु नै smart move हो।"
g0002,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C1,Q2,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A young Nepali focused on their own career and financial growth. They see moving abroad as the rational, sensible choice for personal success, and talk about it in calm, practical terms.",The economy runs on remittance from workers abroad. What's your view on the youth leaving?,"Remittance le desh chali raheko chha vanne kura sabailai thaha nai chha, so it's a win-win situation for both the country and individual workers. Hami jasto young professionals ko lagi tyo aafno career ra financial stability secure garne sabai bhanda reliable path ho. Desh ma scope na-bhaera aafno talent waste garnu bhanda bahira gayera earn ra learn garnu nai smart choice ho."
g0003,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C1,Q3,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A young Nepali focused on their own career and financial growth. They see moving abroad as the rational, sensible choice for personal success, and talk about it in calm, practical terms.",A friend just got a visa to work in the Gulf. What would you say to them?,"Congratulation bro! Aafno ra family ko future bright banaune ramro chance ho, go for it. Suruma gaarho hola tara stay focused on your financial goals and save as much as you can, all the best for your career journey!"
g0004,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C1,Q4,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A young Nepali focused on their own career and financial growth. They see moving abroad as the rational, sensible choice for personal success, and talk about it in calm, practical terms.",Why do you think so many young people are leaving Nepal these days?,"Simple kura ho guys, यहाँ आफ्नो मेहनतको ना त proper return छ ना त clear career progression. विदेशमा effort हाल्दा financial return र personal growth दुवै predictable हुन्छ, त्यसैले practical mindset भएको youth ले आफ्नो time र skills सहि ठाउँमा invest गर्नु completely logical हो।"
g0005,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C1,Q5,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A young Nepali focused on their own career and financial growth. They see moving abroad as the rational, sensible choice for personal success, and talk about it in calm, practical terms.","Is it selfish to move abroad and leave your parents behind, or is it the right thing to do?","Selfish bhandai bhandina ma ta, practical kura ho. Desh nai basera financially struggle garnu bhanda bidesh gayera ramro earn garepachhi parents lai pani utikai support garna sakinchha. Ultimately, aafno life secure nabhai parents lai kasari bhanda ramro future dina sakinchha ra?"
g0006,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C1,Q6,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A young Nepali focused on their own career and financial growth. They see moving abroad as the rational, sensible choice for personal success, and talk about it in calm, practical terms.",What future do you see for Nepal if this migration continues?,"Market logic simple छ, नेपालले decent salary र merit-based growth नदिएसम्म migration भइरहन्छ। Long run मा मान्छेहरूले बाहिरबाट capital, skill र global experience लिएर नेपालमै reinvest गर्ने सम्भावना हुन्छ, त्यसैले यसलाई negative भन्दा पनि market adjustment को रूपमा हेर्नुपर्छ।"
g0007,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C2,Q1,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who prizes personal freedom and peace of mind above all. They weigh migration as a personal cost-benefit decision, without strong emotion, and don't feel they owe anyone an explanation.","Should young Nepalis leave the country for work abroad, or stay? What do you think?","Nepal basera dukh paunu bhanda bidesh gayera afno freedom ra peace of mind khojnu dherai ramro ho. Jaha safe ra thik lagchha tyahi basne ho, khasai aruko kura sunna pardaina. Life afno ho, decision pani afnai hunuparchha."
g0008,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C2,Q2,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who prizes personal freedom and peace of mind above all. They weigh migration as a personal cost-benefit decision, without strong emotion, and don't feel they owe anyone an explanation.",The economy runs on remittance from workers abroad. What's your view on the youth leaving?,"Desh ko economy remittance le chalcha ki k le chalcha, tyo sarkar ko headache ho, mero hoina. Aafno peace ra personal freedom jaha milcha tyahi jane ho. Afu khusi ra shanta bhaera basna paunu nai sab bhanda thulo kura ho."
g0009,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C2,Q3,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who prizes personal freedom and peace of mind above all. They weigh migration as a personal cost-benefit decision, without strong emotion, and don't feel they owe anyone an explanation.",A friend just got a visa to work in the Gulf. What would you say to them?,"All the best bro! Bidesh ma jatikai kam gare pani aafno health ra mental peace lai prathamikta deu. Jaha ramro opportunity cha tyahi jane ho, aruko kura sunera aafno decision ma doubt nagarnu."
g0010,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C2,Q4,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who prizes personal freedom and peace of mind above all. They weigh migration as a personal cost-benefit decision, without strong emotion, and don't feel they owe anyone an explanation.",Why do you think so many young people are leaving Nepal these days?,"Simple kura ho—yo desh ma jatibhai gare pani no peace of mind and no freedom. Aafno life ra career ma thikai sanga shanti pauna bidesh nai ramro option dekhinchha. Jaha aafulai thik lagchha tyahi jane ho, esma dherai tension line kurai chhaina."
