comment,intent,primary_driver,value_orientation,affect
3million haina 30million,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
there is one harsh solution. <br>ban foreign visa <br>force people to live inside<br>people will figure out the solution if they&#39;re forced to stay instead of running,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
What is the solution? What is remady? What should do? For this situation and this problem?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Aba india le laijancha desh. Yo muji neta harule kei par layenan. Jhole harule bitaye desh. Laijos Modi le baru,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Dhost hunxa yo dess bistarai <br>Frustration is one of the main reason why students choose foreign countries,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad
"Any data how many nepalese living here in Delhi NCR ? Nepalese are everywhere here in hotel line, in govt job, police / army,  and even in big companies like MNCs.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Please speak full English or full nepali😢😊 like ur videos🎉,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
They are going bhaira...,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Aujha puranai neta haru Lai choose garau dherai ramro hunexa 😢😢😢😢<br><br><a href=""http://www.youtube.com/results?search_query=%23aamale"">#Aamale</a> <a href=""http://www.youtube.com/results?search_query=%23kongrees"">#kongrees</a> <a href=""http://www.youtube.com/results?search_query=%23mawobadi"">#mawobadi</a> sabai <a href=""http://www.youtube.com/results?search_query=%23bhastachari"">#Bhastachari</a> party Hun Sabailai <a href=""http://www.youtube.com/results?search_query=%23bahiskar"">#bahiskar</a> garau 🙏🙏🙏🙏",Neutral/Observation,Systemic/Political Anger,Collectivist-Family,Pragmatic
"I hope this comment finds you well. I&#39;ve been an avid viewer of your YouTube channel&#39;s in-depth story, and I&#39;m continually impressed by the informative and engaging content you produce. Your ability to shed light on complex topics in an easy-to-understand manner is remarkable.<br><br>I&#39;ve been doing extensive research lately on network marketing scams, and it&#39;s alarming to see how many people fall victim to these fraudulent schemes. Given your expertise in creating informative and eye-opening content, I thought it might be a fantastic idea to collaborate on a video that exposes the inner workings of these scams and provides viewers with the knowledge they need to protect themselves<br> <br>Hope your team will go through it.",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
And I&#39;m proud of being Nepali 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
We are going abroad cuz aru desh ko falako allu nikalna matra ho…lakh lakh halaraw padyo last ma bahira gayaraw allu khanni arabi haru basni ghar banauni…thau ma tyo padni paisa halako vaya aila sauu vayaraw basthya,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
