comment,intent,primary_driver,value_orientation,affect,verdict
3million haina 30million,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
there is one harsh solution. <br>ban foreign visa <br>force people to live inside<br>people will figure out the solution if they&#39;re forced to stay instead of running,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
What is the solution? What is remady? What should do? For this situation and this problem?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Aba india le laijancha desh. Yo muji neta harule kei par layenan. Jhole harule bitaye desh. Laijos Modi le baru,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
Dhost hunxa yo dess bistarai <br>Frustration is one of the main reason why students choose foreign countries,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad,correct
"Any data how many nepalese living here in Delhi NCR ? Nepalese are everywhere here in hotel line, in govt job, police / army,  and even in big companies like MNCs.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Please speak full English or full nepali😢😊 like ur videos🎉,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
They are going bhaira...,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
"Aujha puranai neta haru Lai choose garau dherai ramro hunexa 😢😢😢😢<br><br><a href=""http://www.youtube.com/results?search_query=%23aamale"">#Aamale</a> <a href=""http://www.youtube.com/results?search_query=%23kongrees"">#kongrees</a> <a href=""http://www.youtube.com/results?search_query=%23mawobadi"">#mawobadi</a> sabai <a href=""http://www.youtube.com/results?search_query=%23bhastachari"">#Bhastachari</a> party Hun Sabailai <a href=""http://www.youtube.com/results?search_query=%23bahiskar"">#bahiskar</a> garau 🙏🙏🙏🙏",Neutral/Observation,Systemic/Political Anger,Collectivist-Family,Pragmatic,correct
"I hope this comment finds you well. I&#39;ve been an avid viewer of your YouTube channel&#39;s in-depth story, and I&#39;m continually impressed by the informative and engaging content you produce. Your ability to shed light on complex topics in an easy-to-understand manner is remarkable.
<br>
<br>I&#39;ve been doing extensive research lately on network marketing scams, and it&#39;s alarming to see how many people fall victim to these fraudulent schemes. Given your expertise in creating informative and eye-opening content, I thought it might be a fantastic idea to collaborate on a video that exposes the inner workings of these scams and provides viewers with the knowledge they need to protect themselves
<br> 
<br>Hope your team will go through it.",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,correct
And I&#39;m proud of being Nepali 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
We are going abroad cuz aru desh ko falako allu nikalna matra ho…lakh lakh halaraw padyo last ma bahira gayaraw allu khanni arabi haru basni ghar banauni…thau ma tyo padni paisa halako vaya aila sauu vayaraw basthya,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
"Ma +2 sakiye sakda mero dherai sathi haru Australia lai try gare, maile ni gare. Property ko jhamela le process hault vayo. Tespachhi halka jagar lagayera soch banaye ki Nepal mai padhchu baschhu and kei business kholchhu. Ma 20 years ko thiye. Reality ma vanda imagination ma jiudai rahechhu jun kura aafulai nai thaha thiyena. Hillside tira hotel kholchhu ki euta motorcycle showeoom kholchhu, dhukka le paisa kamaihalchhu vanne aasha ra jagar thiyo. Bachelor gardai garda dherai sathi harule bich bich mai Australia gaye. Koi koi chai Japan ni gaye. Antya ma Bachelor ni sakiyo ra aafu sanga 14k ko job bahek kehi thiyena haat ma. Tesle jiwan chalne thiyena. Jiwan ko kura chhodum tyo samaye ko eklo huda ko kharcha ni tarnu garo vayo. Tespachhi aayo corona. Tyaha samma aauda situation yeti garo vaisakeko thiyo ki Nepal basera napugne Australia jana nasakne vayo. So tyo bela ali popularity gain gardai aairaheko desh Croatia ko barema sunna thale. Interesting lagyo. Kei major cvs nachahine ani dherai lagani pani nachahine vayera aafno luck yetai try gare. Ra sabai process pura garera yaha aaye. Aile 2 barsha vayo. Suru ma aauda eklai thiyo company ma. Nyasro lagthyo. Ek barsha jasto vayepachhi company le ajhai Nepali haru lyaune vane pachhi maile aafno aafanta ra chineko sathiharulai kaam offer gare. Aile 4 jana plus 2 jana feri aaudai chhan. Kamai dherai chhaina tara company le sabai subidha diyera 1 lakh jati kamai hunchha. Aafno sathi bhai ra kei aafanta haru ni sangai chhan. So aba yo sabai huda ma Nepal kina farkine? Tei andhakar ra kalpana ma matra dubna? Malai Nepal ko maya chha tara tyo maya le mero jiwan ramro sanga chalchha ra? Hola Nepal ma ni opportunity haru tara ma jasto middle class family ko ghar herne euta matra income source le aafu ani pariwar sukha sanga rakhna sakla ra? Dherai high profile nahola tara Croatia ko salary le mero ghar ko pariwar haru aananda le khusi sanga basna pako chha. Malai future ko chinta chhaina. So ma kina Nepal farkine? Now I understand what do you mean by manchhe haru bidesh gairako chhaina, desh chhodidako chhan. Ma pani tei madhye euta hu. Jay Nepal, mero Nepal jindabaad tara sayed maile Europe lai nai aafno future sumpiye.",Trapped/Regretful,Patriotism/Love,Collectivist-Family,Despairing/Sad,correct
class 1 ranker is leaving the country?<br><br>what the fuck I&#39;m doing here?<br><br>it&#39;s suck,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated,correct
raja la janata marako thya neta haru la desh na khaideya worst bhayo Nepal Maobadi Congress Yamale ko raaj bata,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
"This is true, thanks for this voice",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Abo India ma pani estai cha halat,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Thanku for your hard work and kind of information <br><br>aru kai help garna naskeyni hajur ko channel ma ayako Ad full time watch gardinxu ❤️<br>thanks again,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,correct
We are youths have to speak out of podcast as well same kind of advocate,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Manxe bides gaye ra xaena.desh xodi raxa hits hard😢,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad,correct
Nepal will get merged with india after 20 years <br>So better settle yourself in abroad for your better and secure life aaile dekhi nai <br> <br>Madwari ra bihari le varinxa yo desh <br>Janmat sangraha and then rest will be history,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic,correct
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=85"">1:25</a> what was that",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
They are going bahira 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
3 crore bhanya 3 million hoina ni,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Big problem is that government is not stable!,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Desh ko halat harera yo desh ko boj feel vo yll ma ni hindinxu bidesh,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,correct
Podcast wala video arko channel ma ani paila ko jasto video yo channel ma halnu na<br>Duitai merge garda ali thik laagena,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
tribhuwan airport nachunera thulo galti garexu,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
It is the dark Truth of Nepal &amp; bad thing is nobody want to change it 😢,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad,correct
"Yo Nepal ko neta haru lai tik parnu parcha, aba tiyo din aaucha jaba Nepal ma Nepali haru hoina foreigner haru baschan ra yahi foreigner haru le Nepal lai rule garchan, yo neta haru lai paisa matrai cahiyeko cha, yasto neta haru lai PUNCH hanera khola ma falidenu parcha",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
"3 crore = 30 million<br>Please unsubscribe this channel, neta vanda besi stunt hanca yar",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,wrong
"Afno desh ma basna nachahane kasko ichya hunxa ra, badhyatale ho hajur. At this point, maele kam ma gareko dukha sayad bahira gayera gare vane Mero ra Mero family ko future ramro hunexa. I too am planning for future in abroad for better education, better income and quality of life. Dukha lagxa but yahi satya ho",Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic,correct
Gari khana dinnan yll 😢😢😢😢nepalma😢😢😢,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad,correct
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=1"">0:01</a> 3M vaneko 3 crore ho? 🤔🤔😂😂",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Face revealed wow!,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
They are going bahira ):,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad,correct
I also feel that I should have choosen Tribhuvan Airport instead of Tribhuvan University😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,correct
3million or 30 million 😒😒,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
main reason           gayako realtives raw social media influncers haru lay proudly nepal ma scope xaina janai parxaw bahiraw vanara ho      social media raw abroad ma huni haru lay youth ko brain wash gari rako xan       teenage ma hamlai kasai lay thulo vayara k garni vanda doctor pilot engineer vanythim     aahile ko teenage lai k padhni tha xaina   k garni vanda   abroad jani 😊,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
"And now many skilled people are leaving the country. Not because of unemployment, but they are looking for a better life style and salary. For instance, Nepal ma Engineering sakera you just get paid around 10k - 18k. Even after a year or two years of experience you don’t get paid more than 30k - 45k. But tei kaam for instance Australia ma garda you get paid really well. So it’s a no brainer to leave the country. And this is a serious issue for Nepal.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,correct
Bidesbata herdai chu ma fry 😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Chaldai jane ani haiti banne aru upaya chaina. Thats the last report card of nepal.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
"Dukha payam mangaley, afnai dhangaley!! Jai Gadatantra",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
"International funding helped maoist overthrow the king, so they made Nepal a puppet and now fill the gap of their decreasing youth population through different country in the name of free trade and democracy and they keep growing and we  lack behind.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,correct
Thank you for sharing this 😊🙏,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Such a good content  but bro either go with nepali or English language while ur talking   really. It sucks  ur making topic of nepal n here ur keep using   broken English.  I love n respect ur work but that English was like salt with Tea.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,wrong
