comment,intent,primary_driver,value_orientation,affect,verdict
kasaile banaideyoss jasto lagthyoo yoo video 🙏,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
"If there was a functional  Nepali government  and intelligentsia, this documentary  would win the 1st prize in a competition!",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,correct
Authenticity of your data???,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Very beautiful❤❤❤❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
Yo sab garaune vanya nepal ka chor neta haru ho,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
"My uncle is on the way to US, the same way you mentioned. It&#39;s been 2 months already",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
"Nepal to USA<br>Detained and deported full story😢<br><br><a href=""https://www.youtube.com/watch?v=KBa87QNJ8VI"">https://youtu.be/KBa87QNJ8VI?si=LlEU0ywPEWwuwpqY</a>",Trapped/Regretful,Patriotism/Love,Individualist-Self,Despairing/Sad,correct
finally found nepali reporter as indian dhruv rathe❤❤ love it,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
that&#39;s why teacher says read properly madarchod,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Thukka mg nepal ko halt,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
Shree Ram was born in Nepal🇳🇵,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,wrong
Eti dherai paisa ani risk liyera arko desh ma jaanu bhanda aafnai desh maa kei garne risk linuna business garnus . Ani tyasmaa xai safal hune chance ek damai high xa arka ko desh ma marna jaanu wa deport huna jaanu bhanda .<br><br>Pls yasari illegally arko deshmaa jaanu bhanda afnai desh ma basnus baru noon snga roti khayera bhaye pani aafno family snga ta basnu sanknu hunexa,Anti-Migration,Family Obligation,Collectivist-Nation,Pragmatic,correct
Ser aba k usa iligal  aru des ko manxe aaunu paudaenn r vedeo banaunn,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Heart wrenching 😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,wrong
"Hamro Nepal ma yo vram cha ki, Nepal bahek aru desh(especially western countries)ma paisa khan-khani payincha! - Yo jhoot khabar, lack of good education le Nepali youth ko mind bigareerako cha: USA, UK, FRANCE, SPAIN, etc ma kasto SLUM, GARIBI, DISCRIMINATION, RACISM kasto daar lagdo cha vanne thaha chaina,.......aahile ko yug ma haat-haat ma mobile cha, Internet cha, afai research garnuhos, aru ko social media ma ramro photo daekera jealous vayera afno Swarga jasto desh chodera, afno matra navai, purai aaune naya NEPALI GENERATION KOI future lai harm nahos...JAI NEPAL! 🇳🇵",Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,correct
Wow thanks of hidden info now we friends will try ....this hidden journey...n inform u when we will reach🙏🙏,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,correct
I am on the way brother,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,correct
"Sabai yo desh ko politician le garda ho..etro dukha garera, aafno jyan ko baaji rakhera tyo garnu vhanda baru Nepal ma aafno desh ma aandolan garnu ra yo buda bhrasta neta lai hataau..kasari huncha voting ko bela farka..ya thulo aandolan aba garna jaruri cha.",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Adios guys I&#39;m off to us now 😔😔,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,wrong
"i was the 12,000th like! keep up the good work dipesh!❤",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
"Hamro desh ko halat ramro vako vaya yesto hudaina thiyo, desh bechi sako neta haru la",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
But now Croatia is also schengen,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Kehi dikkat huna,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Rahar le gako ho bro tya <br>Bhadyata t khadi ho,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
You are the best😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Thank god there are some channels who raise the issues that no body talks about <br>Jay Nepal,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
"Wow how beautifully you presented this issue 💖<br>You didn&#39;t even ask for Like,  comment,  share blahh blahh, <br>Truly appreciable 🍀🍀",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,correct
Rather than giving 40-50 lakhs to agents to travel illegally it is easier to study engineering or nursing and migrate to australia.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
what if there&#39;s a movie on this journey? 🙂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Illegal stuffs lai promo grnu hunna hai,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Truth is hard 😢 please don’t travel illegally ❤,Anti-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad,correct
Dai every 7 day ma vedio dinuna kamse kam vadi ma day by bay,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Ek janna le 15 20 lakh garna hune tara Nepal ma tai paisaa le kehi business garxu vanne aatt naaune!! Hait toit,Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic,correct
"Sir , it was the great knwoledge  and hats off for your work research 🙌",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
If want go america when i got visa not just some ****alien way,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
This video was so disturbing to watch just had to stop the video at so many points.,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,correct
Thanks दिपेश सर लाइ यति धेरै मेहनत गरेर यो भिडियो बनाउनु भएकोमा 🙏🙏😍,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Mangsir 4 ma afno chhora chhori lai yesari bidesh jana naparne gari vote garnus.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,correct
Indian haru cycle ma tarkari bechera Afno Nepal ma baseko kharcha samma katera 20000+ Indian rupees saving garera Nepal bata India pathauxan... Ani hami Nepali lai jahelay maya bidesh KO ra Nepal ma kei hunna bhanni Soch... Garo cha🙏🙌,Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic,correct
Dang bata nai holaan sabai vanda badhi USA jaani haru … harek ghar bata ek jana hunxan,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
And the government is still worried about how to win the Election 😵‍💫😵‍💫,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,correct
