comment,intent,primary_driver,value_orientation,affect
@anamak2000 k kera kera jasto kura garira,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
oh nice,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Hahaha never Jati janxa Teti manxe ajai nepal manj bandai janxa nepal ma opportunity xaina baira janu parxa kei thulo garna baye Jani competition xa bro jana janxa ajai nepal student ko padai sitixa ani feri student ni janxa so no chance,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
Motivating 30years old thank you vai❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"halo jotna ta aba jamin pani pahila jasto ka xara sabai concrete le khaisakyo ra pahilako manxe jasto mato ko maya, dukha garna sakne himmat ka xara ajkal@burneyes744",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Same here,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
अब नेपालमा परिवर्तन को खाँचो छ<br>हामीलाई यी पुराना नेता मन्त्री हैन देश को लागि केही गर्ने एउटा leader चायको छ,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
One and only Balen can change the situation if we all citizens think and care about our country.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
Sad to know 😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Kera cha vawaisa des ma,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Politicians Haru lai hereko cha , Tini Haru le Garda desh kasto banayeko cha.",Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
"Apply गरेको छ महिना भइसक्यो यो बीचमा धेरै पैसा खर्च भइसक्यो। पहिले आफूलाई नचिन्नाले बिदेस मात्र भविष्य हो भनी apply gariyo अब देश छोड्ने कुरा सोच्दा आँखा बाट आँसु बग्छ । सायद यस्तै दोधारे स्थितीमा बाँच्नु लाई नै जीवन भनिँदो रैछ। तर अब विदेश मा पढाइ सकेर देश फर्की देशलाई बनाउने आफै सँग कसम खाएको छू। मेरो देश लाई सुन्दर ,समृद्ध र शान्तिपूर्ण बनाउन अवस्य देश फर्किने छु। 🇳🇵💓",Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
"I am from a middle-class family. my father earns 25k to 30k per month, and my mom is a housewife. For my better future, my dad is sending me to college, whose monthly fee is 10k per month. My 12th grade is going to finish in 1.5 months. What should I do now? Stay in this country for the next 4 years? What after 4 years? If I were successful in the field I am in, I would earn a maximum of 50k to 2 lakh per month, which has very little chance. Is that sufficient? Okay, my dream is to get a car and buy a house. A house costs around 2.5 cr to 3 cr, which may take around 20 to 25 years for me to buy the house I want, and a car costs 20 to 30 lakhs, which may take 2 to 3 years for me. To complete my dream, it may take 25+ years. I am 18 years old, and at that age, I may be 40 to 45+ years. Will I be happy? Will my parents still be there to see the success they have been waiting for? I am scared of my life in this country.<br>My neighbor's son went to Dubai to work as a staff for 13 years and now has been promoted to manager and earns more than 10 lakhs. He built a beautiful home and owns a car. His parents have gold necklaces, bracelets, and rings. He is 31 years old, I guess, and has a good life. <br>Seeing all this, will I still like to live in this country? Of course not! Yes, I love my country, but can't forget the sacrifices my parents have done for me so far.",Anti-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated
Maile ni 18 barsa dekhi kaam garey Nepal ma 8 barsa ani bidesh aaye vai...k garnu 8 barsa ma nakamako paisa 1 barsa nahudae kamainxa...,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
Go to India<br>Lots of opportunities,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
It's completely your choice brother and we respect that. Tara Nepal Mai tyo 10 lakhs vanda badi kamaune ra tyo Vanda ramro lifestyle vayeko manxe haruko example Pani xa. Beauty lies in the eye of the beholder. Timle opportunity dekhdainau vandaima Yaha opportunity navayeko chai pakkai haina. All the best for your future.🎉,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Inspiring video to them who are here, we will do here no matter what",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
same here sir👏,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Bahera bata paisa kamayara aaune ane nepal aayara thulo kura garne,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
​@chandratamang2487 Same malae pani,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Bro I am also an MBA graduate but there's lack of good opportunities for us here.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
3 main things for me :<br>1. Health <br>2. Wealth<br>3. Relationship❤,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"well for me, its been already 10 years living with my wife in australia and finally we reach in conclusion of returning back to our motherland as we are already prepared before and make a initial mindset to return back in nepal anyhow....<br>It doesnt matter what other says but rather follow your guts that doesnt make you regret<br>its us making our life challenging for 3 basic thing: food, shelter and clothing<br>yo short life ko lagi yeti saharai struggle kina jaba ki after 2nd generation pa6i tmi ko ho and tmro identity nai yo sansar ma pani thiyeu bhane tmro nati natini le pani birsisakeko hun6a so i would say enjoy your life<br>Be serious but dont make life too complicated<br>Because gora haru ko hamro jati love attachment hudaina and last ma kamayera basna jane old orphanage (age care) plus mortgage debt trap ma fasne ta ho jindagi bhari nai<br>Note<br>aba marera lanu nai k 6a ra jindagi ma<br>ek6in dukha garnu target plan banaunu 10 yrs 15 yrs tespa6i afu pani 35 40 plus hun6a baki 15 yrs old age tesai katihal6a<br>Plus you will interact with your neighbourhood, your relatives and your loved ones in your own country<br>At least you are fulfiling your respects towards your own country <br>And another thing, you dont have to be soldier to protect country so returning back and serving as retire would be also count as u are doing your responsibility and serving your country<br>Thats my opinion<br>And everyone has their own perception <br>Thank u and sorry if u dont accept my views",Trapped/Regretful,Family Obligation,Collectivist-Nation,Despairing/Sad
well said brother.. even my brother has same thought like you who is currently at Australia,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Dai tapai po aus bata paisa kamayara kai business garne soch hola hame jasto nepal mai baserako hora,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
This should be watched by every individual❤ ... Jay Nepal❤,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
21 years old guy Watching from KHADI at 2 AM 🙂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"देशमा त कसरी बस्ने , दिनभरी काम गरेर  दुई छाक टार्न नै गारो छ! Truth kelaunu vayeko man paro.<br>Support me Guys❤.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Overall video nikai ramro lagyo😊<br>Remote job ko concept ahile dherai nai chali rako xa maile yesko growth 2014 dekhi nai dekheko hu. Govt le yesma support garne ho ra enough skilled manpower hune ho bhane Nepal ma outsource company ko thulo future xa🙏🏻🙏🏻,Anti-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
