comment,intent,primary_driver,value_orientation,affect
"People posting thier ILLEGALLY crossing the boarder journey publicly on social media is more frightening and also pathetic. Afno jyan bhanda pyaro tiktok? 🤦🏻‍♀️ bharey tyo video haru ley afulai samsya nalyaos and yesari post garna ley aru pani jhan influence hudai cha jasto lagcha malai chai. Ramro sanga bichar garera matra yesto kadham uthaum hola.","Trapped/Regretful","Economic Necessity","Individualist-Self","Despairing/Sad"
"Stay in your own country and Build.","Anti-Migration","Economic Necessity","Collectivist-Nation","Pragmatic"
"Janta haru afai jagnu parxa rw aware hunu parxa ani matra problem solve hunxa navaya noksaan hamro nai ho🙏😊🙏🫡😊","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"Eu nepali Ho bhanne daju Kaha hola Kasto hola bhanne Janna ko lagi ecchuk chu ma?? Do anybody know??","Pro-Migration","Patriotism/Love","Individualist-Self","Pragmatic"
"यो सबैभन्दा खराबसोच?","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Portugal pugera video herdai chhu.<br>Kahani relatable chha","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"I want to suggest to everyone work hard and live life simple in our country.","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"usa be like need more publicity 😅 come to nepal jai pashupatinath 🙏","Pro-Migration","Patriotism/Love","Individualist-Self","Pragmatic"
"Its from nepal to USA right","Pro-Migration","Patriotism/Love","Individualist-Self","Pragmatic"
"It is called dunkey process . Hamro neighbourma vayeko yekjana ddko relative + husband pani yei dunki  process bata USma pugeko xa . I ve heard that india ko certain places  ma ta  dunky process duwara US purauna budget anusarko pacakage hunxare","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"We have a WhatsApp group for immigrants and refugees in Americas<a href=""https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz"">https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz</a>","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Shah Rukh khan made a movie based on this issue called <a href=""http://www.youtube.com/results?search_query=%23dunki"">#Dunki</a> which will release on 21st Dec 2023 (11 days more to release)","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"kasaile banaideyoss jasto lagthyoo yoo video 🙏","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"You are right bro","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"This is a serious topic which should be noticed by Nepal government and implement strict rules against those agents","Neutral/Observation","Systemic/Political Anger","Individualist-Self","Hopeful/Motivated"
"As knowing The world is everyone&#39;s home, and it should be easy for everyone to visit any country.","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"Sir ko kura thik ho tarw kina j jasto vayeni ki pariwar kai lai yo risk ni sano lagcha ra bhabisay sabreyre la vanney huncha","Neutral/Observation","Family Obligation","Collectivist-Family","Pragmatic"
"Good job  awarēness failaunu ramro ho","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Build your own country","Anti-Migration","Economic Necessity","Collectivist-Nation","Pragmatic"
"If there was a functional  Nepali government  and intelligentsia, this documentary  would win the 1st prize in a competition!","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"Panama jungle dengerious","Neutral/Observation","Family Obligation","Individualist-Self","Pragmatic"
"Ke jaanu paryyo ho , aaffeii garr , aaffnu thaawma garr","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Hoina usa illegal tetro tirera jaanu chaae kina achamma 6 yrr😡😡😡","Trapped/Regretful","Economic Necessity","Individualist-Self","Pragmatic"
"Its in nepali 😢 i cnt understand it , i am indian . Ps Jai shree ram","Neutral/Observation","Patriotism/Love","Individualist-Self","Despairing/Sad"
"amazing video. subscribed.","Neutral/Observation","Family Obligation","Individualist-Self","Pragmatic"
"Authenticity of your data???","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Portugal ko alik research  pugena","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Sab pagal huun yetro paisa kharcha garera jada t . Jindagi nai gumauna parne 🙏 .","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"K garnu mache ko jiwan ta ho dukha ra vok ley k k garauca","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"i am living  in portugal since 2015 ,i know how people came .i met a guy who came from Qatar walking here ,bro thats crazy.","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"😮😮😮😮😮😮😮 <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=177"">2:57</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a>","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Very beautiful❤❤❤❤","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Bhai agent biswasilo paryo vane asari Hindera janu pardaina kunai kunai agent le scam gareko hunale alpatra pardiyeka hunxan ra asari januparxa mero najiko ko nadedar asari gayeko thiyo tara jungle jungle container ma janu parena by bus nai boarder par gareko gayeka thiye Aile us ma xan lagvak 5 years vayo ma vanxu batho manche hattakaatta manche le matra asari yo route gaye ramro","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=498"">8:18</a> this guy knows about Bhutanese refugees scams six months ago and there is nepal police who just barely start catching criminals.","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"Yo sab garaune vanya nepal ka chor neta haru ho","Neutral/Observation","Systemic/Political Anger","Individualist-Self","Angry/Frustrated"
"My uncle is on the way to US, the same way you mentioned. It&#39;s been 2 months already","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Thank you so much dada for this information.","Neutral/Observation","Family Obligation","Individualist-Self","Pragmatic"
"Copy right awudaina dai aqru ko clip use grda","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"information vedio","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Respect Brother","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Thanks the Nepali comment 💕❤","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"Sahi kura garnu bhayo brother","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Bro portugal ma yeti bijok cha ki 1 barsa dekhi kaam na gari basna parya cha . Manche haru homeless vako chan","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Nepal to USA<br>Detained and deported full story😢<br><br><a href=""https://www.youtube.com/watch?v=KBa87QNJ8VI"">https://youtu.be/KBa87QNJ8VI?si=LlEU0ywPEWwuwpqY</a>","Trapped/Regretful","Patriotism/Love","Individualist-Self","Despairing/Sad"
"Such a great content","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Was thinking of this some days ago and u did it like u read minds kudos","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=451"">7:31</a> (the cross sign) glitch in the matrix?","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Croatia 🇭🇷 is good","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"finally found nepali reporter as indian dhruv rathe❤❤ love it","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"यत्राे मेहेनत youtube मा गर्ने हो भने famous YouTuber भएर पछि घुम्न संसार भर भिसा लाग्छ अरु युद्ध भएको देश र भोकमरी लागेको देशको मान्छेकाे लागी त ठिकै हो यसरी जान तर हाम्रो देशमा त अहिले ज्यानको बाजी लगाएर जानु पर्ने गरी खानै नपाउने अवस्था त आएको छैन त हो।","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"ees<br>This is too much. When i heard about this and watched related documentries i was literally shocked.","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"that&#39;s why teacher says read properly madarchod","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Thukka mg nepal ko halt","Pro-Migration","Patriotism/Love","Individualist-Self","Angry/Frustrated"
"True brother i reached malta leagl but when i tried to go portugal from malta i got cought by malta immigration and depoted to Nepal😢😢😢😢","Neutral/Observation","Systemic/Political Anger","Individualist-Self","Despairing/Sad"
"What are the reasons for this kind of situation??","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Only channel who explains every detail abt a issue thoroughly without any biased analysis 🫡🫡🫡","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"यत्रो नेपाली बर्षेनी बाहिरीएर पनि जनसंख्या बढ्ने रोजगार नपाउने समस्याहरू भै राखेकै छ । कतै यसको कारण गैरकानुनि रूपमा नागरिकता वितरण त होईन?","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Nepal ko situation testai cha","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"Nice research topic","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"कठै मेरो देश। Bhakkhar Aafno jiwan k ho bhanne bujhne umer huda dekhi nai Bidesh nai ho euta last option bhanera hamlai sikaincha... Hamro desh ko haalat yesto ghinlaagdo banaunu maa sarkar ra Nepali janta ko nai haat cha🫤 People would risk their life to leave this country rather than working their life out for the country... it&#39;s all because working for this country isn&#39;t worth it. Kaam garne manchey ko khutta taannna ta sarkar ni pachi na hatne desh maa gari khanchu bhanera kei kaam chaina","Pro-Migration","Patriotism/Love","Collectivist-Nation","Pragmatic"
"Shree Ram was born in Nepal🇳🇵","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"great job bro <br>keep it up","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Eti dherai paisa ani risk liyera arko desh ma jaanu bhanda aafnai desh maa kei garne risk linuna business garnus . Ani tyasmaa xai safal hune chance ek damai high xa arka ko desh ma marna jaanu wa deport huna jaanu bhanda .<br><br>Pls yasari illegally arko deshmaa jaanu bhanda afnai desh ma basnus baru noon snga roti khayera bhaye pani aafno family snga ta basnu sanknu hunexa","Trapped/Regretful","Family Obligation","Collectivist-Nation","Pragmatic"
"Muji haru Lai janu parya xata Europe ani america, estai hunu prxa ramro vayo.","Pro-Migration","Economic Necessity","Individualist-Self","Angry/Frustrated"
"Ser aba k usa iligal  aru des ko manxe aaunu paudaenn r vedeo banaunn","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"good job...keep it up","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"You re doin nice job keep doing","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"A year ago I watched the documentary of Adam Yamaguchi . It just shook me. It is so terrifying","Neutral/Observation","Family Obligation","Individualist-Self","Pragmatic"
"@thenepalicomment please make a vedio about worst place in USA (Most developed country of world) compare to nepal. How their own country is negaleting their own people and working/ helping other countries as USAID and other INGOs etc. Why they are doing so ? please make it clear all about this !<a href=""https://www.youtube.com/watch?v=lf_IaLAXQCA"">https://youtu.be/lf_IaLAXQCA</a>","Pro-Migration","Patriotism/Love","Collectivist-Nation","Pragmatic"
"Bhutanese refugee are all almost US citizen now.","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Heart wrenching 😢","Neutral/Observation","Economic Necessity","Individualist-Self","Despairing/Sad"
"Well done!!","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Hamro Nepal ma yo vram cha ki, Nepal bahek aru desh(especially western countries)ma paisa khan-khani payincha! - Yo jhoot khabar, lack of good education le Nepali youth ko mind bigareerako cha: USA, UK, FRANCE, SPAIN, etc ma kasto SLUM, GARIBI, DISCRIMINATION, RACISM kasto daar lagdo cha vanne thaha chaina,.......aahile ko yug ma haat-haat ma mobile cha, Internet cha, afai research garnuhos, aru ko social media ma ramro photo daekera jealous vayera afno Swarga jasto desh chodera, afno matra navai, purai aaune naya NEPALI GENERATION KOI future lai harm nahos...JAI NEPAL! 🇳🇵","Anti-Migration","Patriotism/Love","Collectivist-Nation","Pragmatic"
"Donkey process is foolishness......dont waste your money and life.....live in Nepal and develope Nepal ✌","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Wow thanks of hidden info now we friends will try ....this hidden journey...n inform u when we will reach🙏🙏","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"I wouldn&#39;t suggest anyone to travel illegally. Nepal might be economically poor but testo asylum seek garnu parne chai situation chaina la! Think about your own life, think about your families but tbh  most importantly, Nepal KO bejat chai nagara. I don&#39;t want to see Nepal in blacklist of other countries.😤♥️","Trapped/Regretful","Patriotism/Love","Individualist-Self","Pragmatic"
"Brother u r great 🙏🙏🙏","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"I am on the way brother","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Sunda daar lagdo, risky cha tarah afno better livelihood ko lagi yo risk easyily comepete garinxa jasto himmat aauxa ❤️","Neutral/Observation","Economic Necessity","Collectivist-Family","Pragmatic"
"मन छोयो भाई तपाईको भिडीयोले","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"NRNA ko former president Kumar Panta ko story pani interesting cha… one of his relatives told me😅😂","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"I don’t want to be bias but must say that some Nepalese are like a flock of sheep. If they see one person succeeding doing something then they follow same path without acknowledging the hurdles. So, similarly if they see or know one person that crossed border and reached to USA or some other country they follow the same route without a a second thought. I’m in New York and I know maybe 50-60 people who followed the same path and have entered USA and earning ok . But it doesn’t mean that it will be the same for everyone. I feel really terrified hearing people getting sick on the way, getting rapped and what not. I don’t know what else to say 😢😢","Pro-Migration","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"USA ma ta guarantee nai hunxa jasto lagyo dukha pako suneko chaina kaile ni baru Portugal chai hola","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"Sabai yo desh ko politician le garda ho..etro dukha garera, aafno jyan ko baaji rakhera tyo garnu vhanda baru Nepal ma aafno desh ma aandolan garnu ra yo buda bhrasta neta lai hataau..kasari huncha voting ko bela farka..ya thulo aandolan aba garna jaruri cha.","Anti-Migration","Patriotism/Love","Collectivist-Nation","Despairing/Sad"
"Grand salute bro u deserve huge appreciation","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Yeti dukha kasta garnu vanda tw nepal mai dukha struggle garnuhos ra thorai dherai paisa kamaunu hos. J jati x afu snga tehimai khusi huna siknuhos jati sapana safalta hasil garey ni jhan jhan rahar ra chahana baddai janx lop ley lap lap ley bilap vaney jhai ..marera jada k nai lana payinx ra..😭","Anti-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"Man i like your videos.","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Dhruv Rathee ko yad aayo<br>yestai new topic ma ajhai sunna paiyos daju","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Des bigraue vany ra yesari jadai Garda zhan des ko bary ma soch nay bedesi ko soch ra nepali passport valueless hudai ga xa 😢","Neutral/Observation","Patriotism/Love","Individualist-Self","Despairing/Sad"
"Des ko rajniti ramro xyna k garnu badhyata xa sun ko","Trapped/Regretful","Economic Necessity","Individualist-Self","Pragmatic"
"Very well explained","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Thank you so much❤️🙏","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Bro I like your content man. Can we collaborate?","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Now about A division league  club their  owner and  earnings 🤔❣️🎈","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Missing our king","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"संसार सबैको साझा घर रे तर त्यै अमेरिका जान पनि पासपोर्ट, भिसा चाइने रे कस्तो नियम के!!! 😐😐","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"big fan✋","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Ramro jaankaari","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Adios guys I&#39;m off to us now 😔😔","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"If you come into the US illegally you are a criminal and an enemy to the state. You are like a member of an enemy army infiltrating a country. You will be making the world a WORSE place.","Trapped/Regretful","Economic Necessity","Collectivist-Nation","Pragmatic"
"It is really sad to see this scenario of our people","Neutral/Observation","Economic Necessity","Individualist-Self","Despairing/Sad"
"How the hell its illegal to go from one place to another? Our earth is not the personal property. Its the common home of every living creatures. So its right of every living creatures to go from one place to another.","Trapped/Regretful","Economic Necessity","Individualist-Self","Pragmatic"
"i was the 12,000th like! keep up the good work dipesh!❤","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"What&#39;s the main reason for Going abroad in that way?I have been to UK  I didn&#39;t see any extra ordinary things over there.Please do not waste your life in that way.","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"Gretar nepal🇳🇵🇳🇵🇳🇵","Neutral/Observation","Patriotism/Love","Individualist-Self","Pragmatic"
"Desh gatilo vako vaye... Kina janma thailo chodnu parthyo ra!!","Neutral/Observation","Patriotism/Love","Collectivist-Nation","Pragmatic"
"Hamro desh ko halat ramro vako vaya yesto hudaina thiyo, desh bechi sako neta haru la","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Good information","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"But now Croatia is also schengen","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Came to chat man! In insta","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"You explain as like swagaat gyawali 😅❤️👏👏","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Kehi dikkat huna","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"I felt the title used in this video really a poor choice of words. &quot;How to reach, illegally and risking your life &quot; are you trying to give a tutorial?","Trapped/Regretful","Economic Necessity","Individualist-Self","Pragmatic"
"People who choose that way get killed by Mexican drug cartels like los Zetas &amp; Sinaloa cartels ..Women get fucked so bad &amp; trafficked in this route not even US or any Europe countries Let them now in any of rehabilitation centres for immigrants...It&#39;s better to go gulf than US this ways...","Pro-Migration","Economic Necessity","Individualist-Self","Angry/Frustrated"
"America ma xiresi pugyo. You will easily get a job bina documents","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Go to portugal or malta. Get a TR. then visitmexico and jump the trump wall","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"Your hardwork deserve more subscriber bro..all the best","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
