comment,intent,primary_driver,value_orientation,affect,verdict
KEEP MAKING VIDEOS !!!!!! ⚽️⚽️⚽️🎮🎮,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
What is the use of staying in Nepal unless you are politician or their relatives?,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
A b pant right version and right report,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,wrong
"Is Nepal on the Verge of Losing Its Youth? के नेपाल आफ्नो युवापुस्तालाई गुमाउने संघारमा छ? <a href=""https://www.youtube.com/live/UgeYdADxqs0?si=jhjcvXNh_IuRGJwU"">https://www.youtube.com/live/UgeYdADxqs0?si=jhjcvXNh_IuRGJwU</a>",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
"I am in Malaysia now, you have mentioned exactly the things which I had thought, Thanks ❤ for this wonderful contents,  I love you.<br><br><br>Living away from family sucks every second , bro 😢,<br>Most of the time we have to face exploitation 😢,  the thef leaders would never understand our pain, because they and their children never face it.<br><br><br>I have been doing research for many years,  And Try to understand our economic better,  along with all the other countries economic. Please Let me know if you need any information , I may add an unique aspects to them.",Trapped/Regretful,Economic Necessity,Collectivist-Family,Despairing/Sad,correct
ma pani jadai xu 😢,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,correct
It&#39;s a time to show such  authentic case study in the meeting time of opmcm ..,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
"Sochdai bas randiko xori haru, prgati hudena TYO desh ko… kharba lagani garxa arba gojima hule paxi ghanta ko development hunxa..",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
Aru malai thaha xaina marriage huna Lai sablai garo hunxa,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
"Unfortunately, Nepal is a failing country.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,correct
"Sala corruption garney muji haru le desh nai khattam banayo yrr 😭<br>Yo kura ekdum seriously bhujne ho vane suru ma bidesh jau<br>Tya ko rules, system hernu bhujnu ani tha pauxa sala kasto samma chor haru le dhubako xa hamro Desh <br>Koi individual lai farkina nai man hudaina <br>Everything we invest in Nepal goes directly or indirectly to this corrupted Government.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
Excellent explanation,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
Gahiro bislesan vai ko keep it up. Aru kai ma progress navaye ni news ra awareness ma progress vayeko chaa yo pani desh ko lagi ramro ho,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,correct
म पनि हाल मलेसियामा कार्यरत् छु,Trapped/Regretful,Economic Necessity,Collectivist-Family,Pragmatic,correct
भाइले सारै राम्रोसङ नेपालको समस्याहरु बताउनु भयो तर समस्याहरुको कारण पनि भन्नुपर्यो जनताहरुलाइ। जस्तो जनता उस्तै नेता भयपछि यस्तै हुन्छ्😡😡,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
सहि हो,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic,wrong
Dai hjur ley jastai video banauna kaha sikney?,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,wrong
Dai world economics crisis xutyo,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
"<a href=""https://www.youtube.com/watch?v=YRwlDwWEBew&amp;t=1098"">18:18</a> Kathmandu ma basne dheari lai testo tha xaina kina ki thya population ni dheari xa tei vaye ra aajai feel vaxaina outside of kathmandu hernu ta ta yo aaile present vairaxa market aaile chale xaina kinw market ma youth nai xaina tei vako vane uncle hru ho youth pani market rarely dekhixan <br><br>Aaile garment hru le youth hru ko lagi clothes production nai gardina<br>Garne vane ko kids ra old manxe lai ho <br>Bajar ma youth nai xaina",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,correct
"I am proud as I have left Australia for good and its been 2 years. I see innumerable opportunities to earn name, fame and wealth in this country.",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,correct
Education ko reason le chai i really wanna leave this country  mero baini le 2 choti back paper deko xa 12 ko how can neb be so careless reetotaling garda copy check xaina yesto para le kun chai student Lai nepal ma padnu manlagxa ra I&#39;m suggesting her to do pcl nursing then try for aboard aba ko 10 years ma ta ma aafno family lai nai aboard shift garauni sochiraxu kina ki yeta kaile kei change huni wala xaina,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,correct
❤❤❤❤ weldone brother,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
Raksi ra masu ma bikni hami sabaii veda hou.😂 ..,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
Very rare content dai loved it,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
Nepal ma ta euta kam paunu pani neta ko jhole hunu parxa😢 ya ta 12 padeko pani kei valu nai hudaina bachlor ma pani 4 years barbad matai hunxa skilled manxey lai vanda pani neta ko aafanta lai nai thau hunxa teso vaye pachi last option bidesh nai ho,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,correct
Good Choice.. No hope here,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,correct
Because youth want to chin tapak dam dam with kuireni,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,wrong
Yo information ligerw ahile ka neta chor hari 60 age pani nadine tech use garla vanni dar 🙂,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Nepalese outgoing : Indians incoming !,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Main root problem is democracy .. Nepal was not ready for democracy.. we need one supreme leader ..,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Next video should be on resources to invest on  in nepal,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
"Today fri, sep, 27 - 2024 <br>This my Last Comment from Nepal... <br>I&#39;m Labour worker... 🙏",Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,correct
