comment_id,comment,source_channel,script,intent,primary_driver,value_orientation,affect,is_no_persona,notes
0e52d730bd2c,"Yo Americako cha ho, deshko takat bhanekonai yu harulai bidesh lakhetne tiniharu chahi Hamro Desh  lai mjor Banayera  hamro desh kabja garne...",Thaha Research,roman_nepali,Anti-Migration,Patriotism/Love,Collectivist-Nation,Angry/Frustrated,0,
9b7980fced76,"Idk much about USA  but While i was working in Australia Detention centre hv meet 3 nepalis  middle age bro who reached to Australian land via similar way. They used  to say spent about 15/20 lakhs.  Hearing their story was frightening. They came nepal to delhi , Delhi  to Bangkok,  Bangkok to Jakarta,  Jakarta to Christmas island in Australia.  Boat ride from  Indonesia to Australia is absolutely death cheat. Its not safe , its dangerous, even tho if u ever reach to Australia or any other nation u will not grant a asylum. Be sure my nepali bro/sis plz dont try this way. It doesnt worth at all. Its risk of ur life 9/10. Especially for nepali  peeps close to impossible to get asylum coz we dont hv civil war in Nepal.  We nepali are safe in our countries.   Any of you will find impossible to proof ur refuge.  Any country will not grant you refugees just because  you get there.  U will be turn back after many years of court battle thats for sure . Those  went druing Maoists war in nepal yes  that time we had chances of getting  refugee statue coz its was unsafe to deport you back but now things has changed, nepal is safe there is nothing to run away from nepali getting into western countries illegally except its economical immigrants. I worked closely with Border force in Australia so i can share more more informative  info to those who want to get illegally in any countries but i will always say plz dont do. Every countires main Goal is how to kick illegal immigrants out of country. So plz dont every try to this journey.",The Nepali Comment,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,0,
9fe678dd36b3,Bhai South Sudan ma UN Peacekeeping Mission ma army gako hola.yr..,IDS,roman_nepali,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
d2ccc68903c0,&quot;One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.&quot; — Plato,IDS,latin,Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
30e1c608f5dd,Gretar nepal🇳🇵🇳🇵🇳🇵,The Nepali Comment,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,Sounds Patriotic - Persona based on that
da4a0d59a59f,Yo sab garaune vanya nepal ka chor neta haru ho,The Nepali Comment,roman_nepali,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
36795cbc5003,"मारवाडीले चुसेको देशमा को बस्न सक्छ?? अदालत न्यायाधीश पुलिस कानुन बैंक सहकारी इन्सुरेन्स सबै मारवाडी तस्करको हातमा छ , यो सबै तस्करहरुको नाईके केपी र आरजु हो।",Thaha Research,devanagari,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
2f74b620b476,Wow great video dear brother Thankyou for your great effort m motivated.,IDS,latin,,,,,1,
65daeb350bb8,"Something about brain drain I found <a href=""https://www.youtube.com/watch?v=YAUG-cNP-nM"">https://youtu.be/YAUG-cNP-nM?si=dq1nkDgmU2z3fxVy</a>",IDS,latin,,,,,1,
97998a254917,Timi ley taw 100% copy paste gardo raixau taw bro aru ko video 😂,IDS,roman_nepali,,,,,1,
6c302a7bfcb6,The person who are willing to pay upto the north of 50 lakh despite knowing danger ahead and if gets return or death don&#39;t gets my sympathy...  For That much amount you can start a business with careful planning and can settle for life in their own country,The Nepali Comment,latin,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
bf042d15f1d4,3 main things for me :<br>1. Health <br>2. Wealth<br>3. Relationship❤,IDS,latin,,,,,1,
cb7dc805877e,Main reason vanako yeta nepal maa politicians haru vanda ni comedians haru xan,Thaha Research,latin,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
c292e24186f2,@anamak2000 k kera kera jasto kura garira,IDS,roman_nepali,,,,,1,
a279ab74a1c7,A very pressing problem of Nepal that must be addressed asap!,Thaha Research,latin,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic,0,
17f76f1d73bc,"We have a WhatsApp group for immigrants and refugees in Americas<a href=""https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz"">https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz</a>",The Nepali Comment,latin,,,,,1,
bd6046ee5d9d,I am open for investment in Nepal. But hard to trust people these days.from New York.,The Nepali Comment,latin,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic,0,
47edbf53fd47,Dam bro man ma nai lagyo,Thaha Research,roman_nepali,,,,,1,
