comment_id,comment,intent,primary_driver,value_orientation,affect
4be83b2045a7,China usa can buy nepal jusr  put on sale,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
eaee434da75e,Sale nepal why nepal country nonsense  student visa.  They r not there for study big jocks,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
ccfdbff1d449,Everyone is not leaving Nepal. Many are still staying back. So in current scenario their are basically two kind of Nepalese-<br> One who does not want to leave their parents no matter what financial situation or life priorities. They are content and happy with mediocre life. They stay back in Nepal.<br><br> Second who has greater ambitions and wants a better life. They leave their parents and settle abroad.<br><br> Ma kasailai pani sahi galat bhandina. Both are right in their own respective minds.,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
0d1e088b7f06,Really like this types of communication 😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
fac98faec42b,"Learn trading , after no need to go anywhere , just learn trading all you need is internet and a computer or mobile",Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
dac3097bb265,What was that 😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
bdcb019e39a7,Maile 12 paxi Padna xode Malai paila dakhi nai business garnu Theo MA sanga dherai ramro ramro idea haru Thea maile 4/5 year hard try gare sambandid nikaye samma kura ta pugyo ra Uha haru le help garnu miltheo Uha haru ko sano help matra melako vaye aaja Ma as a entrepreneur dherai Mathi pugi sakthea Tara aaja Ma totally birojgar xu mind ma idea xa action ligna lai Aafu eklai sakidaina katai bata help mildaina aaile Ma US  Ko lagi try gardai xu ra main point ma 12 paxi kina abroad gaina vanni kura le dherai regret hunxa so Jati ni 11/12 paddhai gareko bhai baine le mero comment paddhai hunuhunuhunxa Uha haru lai mero experience le k vanna chanxu vani tapai haru jati nai talent vaye ni tapai haru ma Kati nai potiental vaye ni tapai le Nepal ma chance paunu hunna yaha Sano kam garna ni hami youth lai dherai garo hunxa so time Mai aboard janu Uha opputunity xa Uha kai garna Sakinxa baki desh hamrai Ho paxi Aafu kei banera Aayaera desh ko lagi garna Sakinxa first aafno Banna ko lagi desh xodnai parxa .,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
b1a8073ad63e,Alaxini khatey haru mujiko baan kukur bhusiya corrupt neta haru ley garda esto ramro desh guu jastai parey<br>Iniharuko narka ma pani baas naa hoss😢,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
62a9622e429b,What his name,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
d65d9e5a458f,"3 crore doesn&#39;t mean 3 million, dear sir. Please correct it.",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
be15fb7f46fa,"The reason why people are leaving Nepal is because of their high expectations. The people who are complaining there aren&#39;t enough jobs are the ones who seek highly skilled jobs where labour is not required. These types of jobs are not much in demand because the country is under developed and needs labour workers. I went to visit Nepal last year and saw many workers in construction sites and fixing roads, etc. So there are plenty of jobs in Nepal, you just chose to not to do them because you think you should be paid more. A country doesn&#39;t build itself magically without labour.",Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
26e457d95b1b,3 crore is 30 million not 3 million.,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
84b9140174f6,there is one harsh solution. <br>ban foreign visa <br>force people to live inside<br>people will figure out the solution if they&#39;re forced to stay instead of running,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
23e58d78db47,"राजधानी सहर जन्ता बेच्ने बजार, जनताको व्यापार गर्ने नेपाल सरकार, देशभक्ति मरिसके देश बेच्न तयार, मुर्ख जन्ता, कस्ले रोक्ने भ्रष्टाचार ?<br><br>Bodhi",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
0a9004ed636b,What is the solution? What is remady? What should do? For this situation and this problem?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
1c6d6f3b072e,Aba india le laijancha desh. Yo muji neta harule kei par layenan. Jhole harule bitaye desh. Laijos Modi le baru,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
6e27a5b0502e,Dhost hunxa yo dess bistarai <br>Frustration is one of the main reason why students choose foreign countries,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad
8746f40ff3f2,Mo Dubai ma xu daju ahiley 2 40 bajey Rati duty janxu Ani belka 8 9 bajey room aipugxu lastoi garo 🙃,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
fe7e487b3a73,"Any data how many nepalese living here in Delhi NCR ? Nepalese are everywhere here in hotel line, in govt job, police / army,  and even in big companies like MNCs.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
012f6d1a4b06,"E dai ki tah purai english bolnu , ki natra nepali mai bolnu. Yesari what i seed garera nabolni",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
f3a52de70ea4,Nepal won&#39;t remain for more than 50 years in existance,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
4c2d89a35039,One of the few educational and entertaining nepali channal🙌❤️‍🔥❤️‍🔥,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
f24226e363eb,who was the speaker? not mentioned anywhere,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
c84a62016ebf,"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=162"">2:42</a> hits different 😢",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
abfd9003b912,This is such a sad reality and I can&#39;t do anything :( .,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
e667e1d3939b,You cannot contain youths but you can certainly take advantages of brain drain by coming up with new policies that can utilize the youths and their skills/knowledge,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
09b8c64b3be5,I proud I left nepal early age and got abroad citizenship….. don’t waste your Time in nepal if you belong from mid class family,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
6bb66145c32a,Dubai is not a country..,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
d9fbb0d4d463,आफ्नो देश  नेताले   बिगारे भनेर अझै उनीहरुलाई  मोज गर्न दिएर  आफू  विदेश   तिर गएर दुःख गर्न बुद्धिमानी कि ? युवा भएर  देश बिगार्ने ती नेता लाई  श्रीलङ्का  मा ती भ्रष्ट नेतालाई  खेदे जसरी खेदेर आफ्नै देशमा सुख सुविधा खोज्नु कुन बुद्धिमानी ?  चेतना भया 👍👍👍👍👍👍👍👍👍👍👍👍👍,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
6aa8143a0367,Mero gau ma pani 4 ota pipal ko bot cha,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
b5d9bc870c72,"When I was a kid, I had a vigorous desire to bring change into the country. The first time I heard about brain drain, I was mad furious. Gradually, I&#39;ve come to understand the situation more and more, which certainly is fading my determination of changing Nepal. It&#39;s sorrowful what reality does to people.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
49331253038a,This podcast is good but it can be better if you included the overcoming points of brain drain . How can we overcome this major problem ? Which plans to be taken to overcome this.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
8976e4121e2b,If youth don&#39;t make change then who would make. America developed xa kina ki tyaha ko citizens le america lai develop gareka hunx .. desh ma kei xain i agree but desh ma kei xain vanne yo sabai ko responsibility ho ki desh ma kei garnu paryo xodera janu is not a solution. If hami le garena vanne kasle garx ..garne vaye hunz natra hudaina .afno astitwa jogaunu xa vanne desh ma kei gara .. ma tw yahi kei na kei garxu. 🙂🇳🇵,Anti-Migration,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
259d3728d6b4,"Nepal sarkhar ko pragattii vanekoo nai , nepalii lae bedesh pathau neh hoo .... 😢 ...  111 <a href=""http://www.youtube.com/results?search_query=%23nepalrevolution"">#nepalrevolution</a>",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
0d652a9cf176,"Aujha puranai neta haru Lai choose garau dherai ramro hunexa 😢😢😢😢<br><br><a href=""http://www.youtube.com/results?search_query=%23aamale"">#Aamale</a> <a href=""http://www.youtube.com/results?search_query=%23kongrees"">#kongrees</a> <a href=""http://www.youtube.com/results?search_query=%23mawobadi"">#mawobadi</a> sabai <a href=""http://www.youtube.com/results?search_query=%23bhastachari"">#Bhastachari</a> party Hun Sabailai <a href=""http://www.youtube.com/results?search_query=%23bahiskar"">#bahiskar</a> garau 🙏🙏🙏🙏",Neutral/Observation,Family Obligation,Collectivist-Family,Despairing/Sad
44ec31881ca4,staying in nepal means no progress and cant but a car due to high  prices even with 10 years of saving what is benefit of studying in collages where teachers dont like to teach and whole collage is drowing in politics so 1st choice fly away and never return,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
84dbaf6d8659,And I&#39;m proud of being Nepali 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
6884ed77204e,"The main motivation of people going out of country is the political instability, if we get a right person on power like Balen, this trend will change on no time. <br>We need to vote to right people.<br>So as a youtuber, what we can do is give a brief about every candidate in next election so everyone knows who is good, who can make better change on the current situation.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
44572f75b20e,Neta haru ley bujhna parni kuro ho yo,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
4bd81e52ae66,"Nowday&#39;s teacher&#39;s also recommend us to go out of the country nd not to stay in Nepal, if you&#39;re getting opportunity of good jobs nd higher studies go out of country nd tells us they&#39;re regretting to stay in Nepal. Nd two teachers already left with the their whole family ...",Pro-Migration,Family Obligation,Collectivist-Family,Pragmatic
86083c42c325,"How can 3 million be 3 crore ?? When 1 million is equivalent to 10 lakh ??? Stop giving false information, if you mean we have 3 crore population it should be 30 million not 3 million !!! With such kinda videos you  are making a joke or yourself all over the world and bringing shame to all the Nepalese,shame on you 🤬",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
a9a150f46aa2,We are going abroad cuz aru desh ko falako allu nikalna matra ho…lakh lakh halaraw padyo last ma bahira gayaraw allu khanni arabi haru basni ghar banauni…thau ma tyo padni paisa halako vaya aila sauu vayaraw basthya,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
d6fb51beeb5b,And I’m too listening from Maldives 🇲🇻,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
1d87bda9ea4d,"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=74"">1:14</a> 😢",Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
89ff8af07557,As a +2 students who wants to study in my own country and contribute for the nation this makes me feel sad and worried about my own future as well as the nations future 😢,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Despairing/Sad
c59f52382653,"Ma +2 sakiye sakda mero dherai sathi haru Australia lai try gare, maile ni gare. Property ko jhamela le process hault vayo. Tespachhi halka jagar lagayera soch banaye ki Nepal mai padhchu baschhu and kei business kholchhu. Ma 20 years ko thiye. Reality ma vanda imagination ma jiudai rahechhu jun kura aafulai nai thaha thiyena. Hillside tira hotel kholchhu ki euta motorcycle showeoom kholchhu, dhukka le paisa kamaihalchhu vanne aasha ra jagar thiyo. Bachelor gardai garda dherai sathi harule bich bich mai Australia gaye. Koi koi chai Japan ni gaye. Antya ma Bachelor ni sakiyo ra aafu sanga 14k ko job bahek kehi thiyena haat ma. Tesle jiwan chalne thiyena. Jiwan ko kura chhodum tyo samaye ko eklo huda ko kharcha ni tarnu garo vayo. Tespachhi aayo corona. Tyaha samma aauda situation yeti garo vaisakeko thiyo ki Nepal basera napugne Australia jana nasakne vayo. So tyo bela ali popularity gain gardai aairaheko desh Croatia ko barema sunna thale. Interesting lagyo. Kei major cvs nachahine ani dherai lagani pani nachahine vayera aafno luck yetai try gare. Ra sabai process pura garera yaha aaye. Aile 2 barsha vayo. Suru ma aauda eklai thiyo company ma. Nyasro lagthyo. Ek barsha jasto vayepachhi company le ajhai Nepali haru lyaune vane pachhi maile aafno aafanta ra chineko sathiharulai kaam offer gare. Aile 4 jana plus 2 jana feri aaudai chhan. Kamai dherai chhaina tara company le sabai subidha diyera 1 lakh jati kamai hunchha. Aafno sathi bhai ra kei aafanta haru ni sangai chhan. So aba yo sabai huda ma Nepal kina farkine? Tei andhakar ra kalpana ma matra dubna? Malai Nepal ko maya chha tara tyo maya le mero jiwan ramro sanga chalchha ra? Hola Nepal ma ni opportunity haru tara ma jasto middle class family ko ghar herne euta matra income source le aafu ani pariwar sukha sanga rakhna sakla ra? Dherai high profile nahola tara Croatia ko salary le mero ghar ko pariwar haru aananda le khusi sanga basna pako chha. Malai future ko chinta chhaina. So ma kina Nepal farkine? Now I understand what do you mean by manchhe haru bidesh gairako chhaina, desh chhodidako chhan. Ma pani tei madhye euta hu. Jay Nepal, mero Nepal jindabaad tara sayed maile Europe lai nai aafno future sumpiye.",Trapped/Regretful,Patriotism/Love,Collectivist-Family,Despairing/Sad
3b80320a9d77,&quot;Bolna sakne Lai baira pathaide nasakne Lai yehi rakh.&quot; Well said .,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
0cbd53461744,Whats more depressing is <br>Even hamro ekdam close one I cannot convince them,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
e75b127701df,"I feel sad and helpless. I don’t believe in god but god please save my country 😢, ma parye pani mero desh bachi rahosh  🫡",Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
983c0d3b7559,Most effective plan is to leave country and settle down there. 😢,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
0fa6d303f7c4,"Nepal ma bauko sampati cha vane matra basne ho ,, natra kta ho, bidesh gaihaal.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
