"comment","intent","primary_driver","value_orientation","affect"
"China usa can buy nepal jusr  put on sale","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Sale nepal why nepal country nonsense  student visa.  They r not there for study big jocks","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Everyone is not leaving Nepal. Many are still staying back. So in current scenario their are basically two kind of Nepalese-<br> One who does not want to leave their parents no matter what financial situation or life priorities. They are content and happy with mediocre life. They stay back in Nepal.<br><br> Second who has greater ambitions and wants a better life. They leave their parents and settle abroad.<br><br> Ma kasailai pani sahi galat bhandina. Both are right in their own respective minds.","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"What a nonsense never forget that foreign country will always treat you as a second citizen also if we as a nationalist can protest to stop getting indians our citizenship and jobs then they can do the same its completely justified this shitty consultancies (educational and tours)<br>Should be completely closed and embrace the nationalism,if so then why dont these two people go abroad","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Really like this types of communication 😊","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"Learn trading , after no need to go anywhere , just learn trading all you need is internet and a computer or mobile","Anti-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"What was that 😢","Neutral/Observation","Economic Necessity","Individualist-Self","Despairing/Sad"
"10 Reasons SOONER or LATER Everyone will Left 🇳🇵Nepal 😢 😪 <br><a href=""https://www.youtube.com/watch?v=AlcahONiYOc"">https://youtu.be/AlcahONiYOc</a><br>Either It&#39;s For Further Studies or Work","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"I regret studying at TU. i lost all the time on earning money and life","Trapped/Regretful","Economic Necessity","Individualist-Self","Despairing/Sad"
"Maile 12 paxi Padna xode Malai paila dakhi nai business garnu Theo MA sanga dherai ramro ramro idea haru Thea maile 4/5 year hard try gare sambandid nikaye samma kura ta pugyo ra Uha haru le help garnu miltheo Uha haru ko sano help matra melako vaye aaja Ma as a entrepreneur dherai Mathi pugi sakthea Tara aaja Ma totally birojgar xu mind ma idea xa action ligna lai Aafu eklai sakidaina katai bata help mildaina aaile Ma US  Ko lagi try gardai xu ra main point ma 12 paxi kina abroad gaina vanni kura le dherai regret hunxa so Jati ni 11/12 paddhai gareko bhai baine le mero comment paddhai hunuhunuhunxa Uha haru lai mero experience le k vanna chanxu vani tapai haru jati nai talent vaye ni tapai haru ma Kati nai potiental vaye ni tapai le Nepal ma chance paunu hunna yaha Sano kam garna ni hami youth lai dherai garo hunxa so time Mai aboard janu Uha opputunity xa Uha kai garna Sakinxa baki desh hamrai Ho paxi Aafu kei banera Aayaera desh ko lagi garna Sakinxa first aafno Banna ko lagi desh xodnai parxa .","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
