comment,intent,primary_driver,value_orientation,affect
"Sorry guys next month mah ne janxu abo . I won't return ✌🏻",Personal Sharing,Migration Decision,Neutral,Neutral
"Ma ta bidesh jan chau , ma kinna yo desh ko chinta garu 🤡",Resignation,Disillusionment,Negative,Negative
"Yeha ramro sarkar nai xaina neti neyam ta banxa tara prabhavakari tarikali lagu hudaina ramro garne lai khutta tanne prabirti le garda pani desh kei garam vanda dherai aru society herene nagajar pani farak hunxa",Analysis,Systemic Failure,Negative,Negative
"Yeti lamo video banaunai pardaina. Simple kura cha. We have two kinds of Nepalese today. 1. Ambitious, needs good lifestyle and quality healthcare. These Nepalese are wise and forward thinking.",Analysis,Migration Typology,Neutral,Neutral
"Youth in Nepal will waste their time and energy. Skill is not valued but power is valued. Government work don't want to work but want salary hike.",Criticism,Governance Failure,Negative,Negative
Nepal Sarkar le kai ramro garla vanera aas garera basni manche yo duniyakai sabvanda thulo murkha ho,Cynicism,Political Pessimism,Negative,Negative
I don't know nepal language but still I can understand it very well.,Engagement,Cross-Cultural,Positive,Neutral
"Mai ni varkhar 1 mahina aaghi aako xu rojgaar ko lagi. K garnu 10 barsha dekhi kosis gariyo Nepal ma tara ghus diyera sarkari kaam ma laagne lagi haley ra aafule last ma private job gariyo",Personal Sharing,Corruption/Unemployment,Negative,Negative
😮 very good 👍 👌,Appreciation,Content Quality,Positive,Positive
Jewish diaspora haina zionism vanu,Correction,Terminology,Neutral,Neutral
"Even if u live pay cheque to pay cheque and don't have any saving in USA , you still can live better than rich 1% of Nepali people.",Comparison,Economic Reality,Negative,Negative
"I appreciate your concepts and contents that you use to provide through these kinds of videos to generate awareness among our public .. keep it up bro 🇳🇵👍",Appreciation,Content Quality,Positive,Positive
"Bidesh jau Tara bideshi chahi na banau. Sabai Lai chahi rajneeti ma jaanu parne abasakta ta Chhaena Tara rajneeti k ho ra present ma hamro desh mai k kasto yojna chalira chha",Advice,Diaspora Civic Duty,Positive,Neutral
"One of the country's main source of Foreign reserve is remittance. We don't have any thing to export. So we export manpower.",Analysis,Economic Dependency,Negative,Neutral
Ma 21 barsa KO ho dai 12 fail xu aaba bidesh jadai xu Tara skill xaina k garam k garam baxa future ma k hunxa dar lagxa 😢,Personal Sharing,Youth Uncertainty,Negative,Negative
i like this contain,Appreciation,Content Quality,Positive,Positive
Bro explained my all plans in this video ...,Agreement,Content Resonance,Positive,Positive
"Nepal is a hell hole, maile jagir gareko talab diyenan sau le, vyapar gareko compitition ma margin hudaina tyes paxi sarkhari karmachari le guskhayera vyapar agadi lagna diyenan.",Personal Sharing,Business Failure,Negative,Negative
For short term good life we are giving our lives to others hands yo aboard is a honey trap for us,Warning,Migration Risk,Negative,Negative
"भारत को खर्बपति त भारत छोड्दैछ।",Observation,Elite Migration,Neutral,Neutral
"This video has given me inspiration to do something for my country in the future as I am abroad for five years. Without Knowing about what I am doing here is worthy or not, it has provided me with some insights",Inspiration,Diaspora Motivation,Positive,Positive
How many times you use to change thumbnail for video Oh my god from the date of post you changed thumbnail almost 3 times,Trivial Feedback,Content Production,Neutral,Neutral
We have lots of benefit if they go out like country ko resources ni sab ma pugxa aani remote area haru ni develop hunxa so sab Jana USA jau,Sarcasm/Cynicism,Population Reduction Logic,Neutral,Neutral
Yo video herera tw Malai bidesh Jana mannn lagyo 😅😊,Humor,Migration Interest,Neutral,Positive
great video!,Appreciation,Content Quality,Positive,Positive
content already covered by indepth story,Criticism,Content Originality,Negative,Neutral
Sounds problem jasto layo ?,Feedback,Content Quality,Neutral,Neutral
Kati ramailo sunna lai India le auna didaina ho nepal ma yesto investment,Sarcasm,Foreign Investment,Neutral,Neutral
Make video on kumbh mela..,Request,Topic Request,Neutral,Neutral
Good shout to a very pressing problem of Nepal!,Appreciation,Content Quality,Positive,Positive
"I not an scholar on this. However, के डायस्पोराका साथमा आउने युवा जनशक्तिको कमी निम्ताउँदैन ?",Critique/Analysis,Diaspora Theory,Neutral,Mixed
"भोकै बस्ने तर विदेश नजाने,वैदेशिक रोजगार नीति खारेज गरोै ।",Sarcasm,Migration Policy,Negative,Neutral
First need to change Citizenship rights to dual one.,Policy Suggestion,Diaspora Rights,Positive,Neutral
Here after podcast with Sanjay silwal gupta ❤,Reference,Content Discovery,Neutral,Positive
"I am doing Bachelor's Degree In Electricial and Electronics Engineering at Kathmandu University, School of Engineering and I regret my decision now My friends who left for abroad are earning money and sending home",Personal Sharing,Regret,Negative,Negative
Optimistic thoughts.,Appreciation,Content Tone,Positive,Positive
"Ma bides ako 5 year bayo Koi pani.afnu.des na.manparaune veteko xaina. Tara tya.ko airport Dekhi. Are sab system samjinda Himat harera awxa",Personal Sharing,System Comparison,Neutral,Mixed
"Hunata ho ki video ma vaneko kura sablai thaxa yaha samha ki yo niyam wa vanau mathika garna sakne chor hru Lai pani thaxa but gardaina",Political Frustration,Rule of Law,Negative,Negative
Such a detailed and well-explained video! Absolutely amazing dai.,Appreciation,Content Quality,Positive,Positive
philipino ko example linu jaruri thiyo ra muji?,Criticism,Video Content,Negative,Neutral
Worth of Time ❤,Appreciation,Content Quality,Positive,Positive
Such a beautiful video.,Appreciation,Content Quality,Positive,Positive
"Excellent podcast. Nepalese going abroad is definitely not a doom and gloom story as much of Nepal's media points out. It will take time, but things were change and turnaround.",Optimism,Migration Perspective,Positive,Positive
Sound aayena,Technical Feedback,Content Quality,Neutral,Neutral
"bro video quality, method of delivery and story line  are missing . btw Great research",Mixed Feedback,Content Quality,Neutral,Neutral
"Dude could have used any other country, yet he chose is*ael which is a SETTLER COLONIAL country.",Criticism,Content Ethics,Negative,Negative
Binod Kunwar Sir ❤🇳🇵,Appreciation,Diaspora Example,Positive,Positive
Yamale Nepali Congress ko jhole haru lae yo kura le farak pardeina jhole haruko lagi desh vanda thulo party ho,Political Criticism,Party Loyalism,Negative,Negative
"धन्यबाद सर भोलिको दिनमा यो हुनेछ भन्ने आशा गरौ । Good Morning & जय नेपाल",Hope,Optimism,Positive,Positive
Bro is paid actor. Period.,Cynicism,Content Credibility,Negative,Negative
"rahar le janey doesnt seems appropriate not everyone goes abroad because of rahar if there was stable goverment stable economy stable investment then who would leave the country Everyone would support and build the nation.",Analysis,Migration Framing,Negative,Neutral
"While Kuznetsov's theory offers an optimistic framework, its application to Nepal is fraught with challenges. The country's weak and corrupt institutions, fragmented diaspora, and dependency on remittances",Analysis,Diaspora Theory Critique,Negative,Neutral
Why would any Nepali with conscious invest in Nepal. Everyone is corrupt to the core.,Cynicism,Investment Climate,Negative,Negative
This video is a loss for Nepali comment when it comes and talks so positively of the genocidal jewish ethno state like Israel,Criticism,Content Ethics,Negative,Negative
"Maile Padheko Anusar , Remittance can not be considered as a part of GDP Refers to Income generated by Internal Matters of the Country",Economic Analysis,Remittance Economics,Neutral,Neutral
"Same topic ma bhako unfiltered conversation ko lagi yo video hernu hola.",Content Reference,Alternative Source,Neutral,Neutral
Finally best video,Appreciation,Content Quality,Positive,Positive
I am open for investment in Nepal. But hard to trust people these days.from New York.,Personal Sharing,Investment Interest,Positive,Mixed
