Author,Comment,Likes,Replies,Date
"@The_bugmaster","Sorry guys next month mah ne janxu abo . I won&#39;t return ✌🏻",0,0,3/16/2026
"@MENBABUYADAV-u7k","😢😢😢😢😢😢😢😢😢😢😢",0,0,3/10/2026
"@007qwerty-m4e","Ma ta bidesh jan chau , ma kinna yo desh ko chinta garu 🤡",0,0,8/30/2025
"@manbahadurbudhamagar4357","Yeha ramro sarkar nai xaina neti neyam ta banxa tara prabhavakari tarikali lagu hudaina ramro garne lai khutta tanne prabirti le garda pani desh kei garam vanda dherai aru society herene nagajar pani farak hunxa nata sthir rajniti xa nata ramro kam garne manxelai support nai",0,0,8/14/2025
"@ZWARBHATTAA","Yeti lamo video banaunai pardaina. Simple kura cha. We have two kinds of Nepalese today.<br><br>1. Ambitious, needs good lifestyle and quality healthcare. These Nepalese are wise and forward thinking. They have no problem leaving Nepal and settle abroad.<br><br>2. Self-contained, very difficultly influenced by outside world and people, happy with an ok life with no effort (or will) to seek for a better one and above all, emotional fools who want to stick to family values and wont let go off their parents in their old days. They stay back. Pollution hos, corruption hos, garibi hos, they will stay back. And it&#39;s not that they cant go abroad. They just dont want to. <br><br>Choose one. We should respect both kinds of Nepalese.",2,0,5/12/2025
"@thapamgr217","Youth in Nepal will waste their time and energy. Skill is not valued but power is valued. Government work don&#39;t want to work but want salary hike. The level of corruption and selfiness that exist in the goverment offices only god can clear the mess. 4-5 generation manxele sapana dekhna pako xaina khana basnalae sochnu parxa. Obviously brain drain hunu is not a big deal in this case. But i wish my country gets a leader who work for people not for self fulfillment.",0,0,4/20/2025
"@p.d7375","Nepal Sarkar le kai ramro garla vanera aas garera basni manche yo duniyakai sabvanda thulo murkha ho",0,0,3/9/2025
"@Ramu9119","I don&#39;t know nepal language but still I can understand it very well.",0,0,2/19/2025
"@deepeshbasnet1974","Mai ni varkhar 1 mahina aaghi aako xu rojgaar ko lagi. K garnu 10 barsha dekhi kosis gariyo Nepal ma tara ghus diyera sarkari kaam ma laagne lagi haley ra aafule last ma private job gariyo tara Nepal ko mahangai ma kamako bhanda badhi kharcha le garda hidna badhya vaye. Yad kati aauxa aafno thau ko ra pariwar ko tara k garnu testai awastha aai paryo.",0,0,2/10/2025
"@yogregmi4117","😮 very good 👍 👌",0,0,1/30/2025
"@Amrun-music","Jewish diaspora haina zionism vanu",0,0,1/28/2025
"@ArkRush-y2i","Even if u live pay cheque to pay cheque and don’t have any saving in USA , you still can live better than rich  1% of Nepali people .  <br>  That’s why NO ONE wants to live in NEPAL . If next COVID like pandemic happens , then 3rd world ppl dies first , that include NEPAL .  Make no mistake , NEPAL is not equipped to handle / counter any thing pandemic / war / blocked etc etc .",0,0,1/28/2025
