comment,intent,primary_driver,value_orientation,affect
"Honestly, if I was not abroad, I would have loved to see this video. Best video of IDS.",Appreciation,Content Quality,Positive,Positive
"Ma Nepal mai basne soch ma xu. Sabailai lagxa bidesh jane ra paisa kamaune. Nepal pani ek din ramro hunxa.",Hope,Patriotism,Positive,Positive
"Thank you for giving hope dai. Yo vidio herda man vharibhar vayo ❤",Appreciation/Emotion,Emotional Impact,Positive,Positive
"heart touching video bro, Jo jaha gayeni bro ma ta Nepal mai basne xu, ra Nepal mai k garne xu.",Patriotism,Homeland Commitment,Positive,Positive
Damn man this was emotional,Emotion,Emotional Impact,Positive,Positive
Thanks for this video❤,Appreciation,Content Quality,Positive,Positive
Such a heart touching video,Appreciation,Content Quality,Positive,Positive
yatti majjale research garera video banayekoma  thank you,Appreciation,Content Quality,Positive,Positive
yestai soch bhayeko yuvaharu ko khancho cha desh lai ❤,Hope,Youth Promise,Positive,Positive
Best video i had ever seeen farr❤❤,Appreciation,Content Quality,Positive,Positive
एकदम समय सान्दर्भिक बिषय  😔😊,Appreciation,Relevance,Neutral,Mixed
14;00 minute ko line bro. 💯,Appreciation,Content Quality,Positive,Positive
Love you Nepal ❤❤❤,Patriotism,Homeland Pride,Positive,Positive
I usually don't subscribe... But for u bro❤ keep creating.,Appreciation,Content Quality,Positive,Positive
Appreciate your effort bro😊,Appreciation,Content Quality,Positive,Positive
Wow best content ❤,Appreciation,Content Quality,Positive,Positive
Video ekdam ramro xa Bhai 🎉,Appreciation,Content Quality,Positive,Positive
Very intelligent man💗,Appreciation,Content Quality,Positive,Positive
Why I am so emotional yar 😢😢😢 ? Too much reality in this video,Emotion,Content Reality,Neutral,Negative
"Ooo 23 barsethito ,yo timro sabai bhanda ramro khoj ho yar , thank you ma ta ruye yar❤❤❤❤❤",Appreciation/Emotion,Content Quality,Positive,Positive
अब छिट्टै म पनि देशको ठूलै youtuber बन्ने कुरामा आशाबादी छु!❤🎉,Personal Aspiration,Inspiration,Positive,Positive
Thank you for this video,Appreciation,Content Quality,Positive,Positive
Loved it❤,Appreciation,Content Quality,Positive,Positive
"Yo sabai nepali youths harule bujhnu parx 10,15 barsama des bandaina khi time lagla keep passions hamile noi des banaune ho",Call to Action,Youth Agency,Positive,Positive
Skill is more important than education 💯,Opinion,Education vs Skills,Neutral,Neutral
"Dai, you are a gem ❣️",Appreciation,Content Quality,Positive,Positive
loved this,Appreciation,Content Quality,Positive,Positive
Great content 🔥❤️,Appreciation,Content Quality,Positive,Positive
Hope so 😇,Hope,Positive Change,Positive,Positive
You are damn true This video is like my opnions about leave country or not,Agreement,Content Resonance,Positive,Positive
Last ko part atii nai babal lagyo daii❤️,Appreciation,Content Quality,Positive,Positive
"Well, we will see you soon💙😢 brother",Emotion,Separation,Neutral,Negative
very very thankyou hjr aauta 16 barsa ko manxa lai bato dekhauna ko lagi,Gratitude,Youth Guidance,Positive,Positive
made me emotional man .,Emotion,Emotional Impact,Neutral,Negative
Sahi analyze,Appreciation,Analysis Quality,Positive,Positive
Beautiful video❤❤,Appreciation,Content Quality,Positive,Positive
Amazing content 👏👏👏👏,Appreciation,Content Quality,Positive,Positive
"Thankyou dai for giving me hope to stay here in Nepal with my family doing stg.Not much bigger dream just a simple life,making parents happy and self proud.hope to get myself there in coming years!!",Personal Sharing/Hope,Staying in Nepal,Positive,Positive
Yo video chai man paryo hai IDS ko,Appreciation,Content Quality,Positive,Positive
Good brother 🎉,Appreciation,Content Quality,Positive,Positive
True and right 😢,Agreement,Content Reality,Neutral,Negative
great dai tapai jstai le desh change garne xaa.,Appreciation,Inspirational,Positive,Positive
Great video ❤,Appreciation,Content Quality,Positive,Positive
"I really like the video and appreciate kany things you said. Kudos to team behind this. But here is my suggestion about the video, Your channel is growing so so fast",Feedback/Appreciation,Content Quality,Positive,Positive
thankyou for this video,Appreciation,Content Quality,Positive,Positive
"I really like the video and appreciate many things you said. Kudos to team behind this.",Appreciation,Content Quality,Positive,Positive
Dada tapai ko video Malai ramro lagxa dherai interesting xa euta IT  ko barema video chaiyo .. please,Request/Appreciation,Topic Request,Positive,Positive
Amazing bro.,Appreciation,Content Quality,Positive,Positive
so heart touching dai,Appreciation/Emotion,Emotional Impact,Positive,Positive
Wow सकारात्मक भिडियो ।,Appreciation,Positivity,Positive,Positive
I will respect this video😔😔😔,Appreciation,Emotional Impact,Positive,Negative
always optimistic,Appreciation,Content Tone,Positive,Positive
"To all youths thinking to bring change in Nepal, let's connect and make a group and do sth.",Call to Action,Youth Agency,Positive,Positive
And we are proud nepali,Patriotism,National Pride,Positive,Positive
🥹❤️thank you for the motivation🙏,Appreciation,Motivation,Positive,Positive
Great video ❤ . Please make video in problem of open boarder of Nepal with India.,Request/Appreciation,Topic Request,Positive,Neutral
"point to be noted , When there is lot's of problems , there might be opportunities as well , just we have to observe our surrounding ...",Analysis,Problem-Opportunity,Positive,Neutral
"Very good analysis. Tapailai j lagxa malai ni tehi lagxa,,,",Agreement,Analysis Quality,Positive,Positive
Vai ko kura thik ho ramro lagyo video,Agreement,Content Quality,Positive,Positive
best ever❤,Appreciation,Content Quality,Positive,Positive
THANK YOU DAI❤,Appreciation,Content Quality,Positive,Positive
U r amazing bro.,Appreciation,Content Quality,Positive,Positive
Very informative bro,Appreciation,Content Quality,Positive,Positive
First part of the video was quite good but it diverts from its content from there and fades little bit. Good try. God luck,Feedback,Content Quality,Neutral,Neutral
So touching and reality now im goin to dump my plan for abroad will go to do smtg here in my country 🇳🇵🇳🇵🇳🇵,Inspiration,Staying in Nepal,Positive,Positive
Thank you dai ❤,Appreciation,Content Quality,Positive,Positive
Thank you Aafno Thinking ma believe garaye ko ma,Appreciation/Self-reflection,Inspiration,Positive,Positive
wonderful video... really impressed and motivated.... ma ta bidesh mai permanently basne kura ta sochna pani sakdina.,Inspiration,Staying in Nepal,Positive,Positive
"What a wonderful video! Nepali lai Nepal ko maya navayekk haina tara desh ko awastha le nai bidesh puryayeko chha",Nuanced Analysis,Migration Reality,Neutral,Mixed
Dheraii ramro video,Appreciation,Content Quality,Positive,Positive
Maile sochay ko haru vanyo😊❤,Agreement,Content Resonance,Positive,Positive
"Your videos need to reach more audiences of every age everywhere, and keep up with these help.",Recommendation,Content Reach,Positive,Positive
Mann xoyo.. Dhannai aasu aayo. Hami ek din awasya thokinexau.,Emotion/Hope,Patriotism,Positive,Positive
Ma Nepal mai baschu ❤ जय मातृभुमि,Patriotism,Homeland Commitment,Positive,Positive
Content ta ramro lagyo jaba samma nepal ma bhrastachaar.  Lai.   Jaba samam control garna sakidainani.,Conditional Agreement,Corruption,Negative,Neutral
Your guse 🤔 10 years good change I also agree ..,Agreement,Future Hope,Positive,Positive
I feel emotional at the end 😞❤️🫂,Emotion,Emotional Impact,Neutral,Negative
"That why I am commited not to leave this country, primary reason is family and secondary is scope. Hat's off for this motivated fabulous relevant content.",Personal Sharing,Staying in Nepal,Positive,Positive
Thank you.,Appreciation,Content Quality,Positive,Positive
"Yes, we will be the ones to change the system (paddhati) of this country so we can accommodate our friends back in the country. ❤❤❤",Hope/Motivation,Youth Agency,Positive,Positive
Touched by the video but hope I'll be back to my own home country 😢,Emotion/Hope,Diaspora Return,Positive,Negative
Truth is always bitter 😔,Observation,Reality Acknowledgment,Neutral,Negative
reality video,Observation,Content Quality,Neutral,Neutral
You got new subscriber.,Appreciation,Content Quality,Positive,Positive
Big fan hai sir😊,Appreciation,Content Quality,Positive,Positive
Well explained,Appreciation,Content Quality,Positive,Positive
U are and your content😢❤ i am currently doing part time digital marketing but i am not leaving this country ☝️💪,Personal Sharing,Staying in Nepal,Positive,Positive
"मलाइ त यो video मा देखाउन खोजेको सबै चिज मन पर्यो | तपाई राम्रो content choose गर्नु हुने रहेछ | विदेश जाउ की नेपाल मै बसु भनेर दोधारे भएका युवा लाइ राम्रो संदेश दिनुभएको छ",Appreciation,Content Quality,Positive,Positive
i think i would be happy to stay in Nepal ❤,Personal Sharing,Staying in Nepal,Positive,Positive
Thank you,Appreciation,Content Quality,Positive,Positive
"ma chai Kei Expertise layera farkina parcha vanne Soch ma chu, Taba sama man ko kura man mai !! But really appreciate your efforts",Personal Sharing,Diaspora Return Plan,Positive,Positive
you are brilliant,Appreciation,Content Quality,Positive,Positive
changing the traditional education system into practical educational  system nepal can somehow change the situations.,Analysis,Education Reform,Positive,Neutral
Well said,Agreement,Content Quality,Positive,Positive
Good content,Appreciation,Content Quality,Positive,Positive
"Music ra movie haru le dherai inspire garna sakinxa saabailai desh premi banna ra desh ma basna lai",Analysis,Cultural Influence,Neutral,Neutral
Yo video aaile samma kai best video ho mero lagi,Appreciation,Content Quality,Positive,Positive
"Though I am also studying outside of Nepal. With the help of my passion, educational background and opportunity I have had. I will promise to contribute for the betterment of my country no matter what.",Personal Commitment,Diaspora Contribution,Positive,Positive
This is the greatest opportunity. As everyone is moving out there's a vaccum in country. I see people with exceptional skills and entrepreneurship will excel in Nepal within a couple decades.,Analysis/Optimism,Economic Opportunity,Positive,Positive
I am a Student Currently Studying In Bachelors This video has 100% nailed it in this one,Appreciation,Content Quality,Positive,Positive
Literally crying while watching this video 😭😭,Emotion,Emotional Impact,Neutral,Negative
I am currently studying in class 11. This content is way more effective for me.,Appreciation/Personal,Content Impact,Positive,Positive
nice video 👍️,Appreciation,Content Quality,Positive,Positive
"For some reason, I'm crying so hard while watching this video",Emotion,Emotional Impact,Neutral,Negative
Ni ce research,Appreciation,Content Quality,Positive,Positive
Good job,Appreciation,Content Quality,Positive,Positive
Last part just make me sad 😭,Emotion,Emotional Impact,Neutral,Negative
"Huna ta ho yo desh mai baseyra khe garxu vanee haru lai bachnai garo xa🤞💗 Tyhe vayara sabai ko sapana nai jasare vaya pane bidesh janu nai ho😥",Observation/Lament,Economic Hardship,Negative,Negative
Tq ganatantra,Appreciation,Content Quality,Positive,Neutral
😢😢😢no words.,Emotion,Emotional Impact,Neutral,Negative
Love it,Appreciation,Content Quality,Positive,Positive
Hjur ko yo video herera alikati  chai asabadi vaye ma 😢,Inspiration,Emotional Impact,Positive,Negative
"that the last things which you says kosis gareko ho dherai  j garda ni nepal ko job ko income ley ghar ma afu lai palina garo huney",Personal Sharing,Low Wages,Negative,Negative
"2081-01-01 ma m yo video herdai chhu, after 10 years I'll be back here I hope the goal I've decided to achieve will definitely be there in 2091",Personal Aspiration,Return Migration,Positive,Positive
Video on bureaucracy in nepal👍,Request,Topic Request,Neutral,Neutral
"hajur le yo video tw banaunu bhayo sabbai hernu pani heryo tara power ma bhako manxe haru le yo sabai ignore garxan",Political Frustration,Systemic Failure,Negative,Negative
Nepal ma ta abaw janawor pani baachna gaaro vaisakyo maanxe ko ta kurai  xaadau sakiyo Nepal sab vrastchaar ra garibile khaisakyo,Frustration,Corruption,Negative,Negative
Very good,Appreciation,Content Quality,Positive,Positive
"competition kaam hune wala kura; jaba population nai ghati rako xa vani services,business chaine ni ghatni nai ho",Analysis,Population Economics,Neutral,Neutral
"Daju,""hajur kw video la saraii naii mann laii choioo",Appreciation/Emotion,Emotional Impact,Positive,Positive
You are best content creator.i am very interested with your video. How you make this type of videos as a content creator.can you tell me for motivated for me.....,Appreciation/Question,Content Quality,Positive,Positive
"I used to have the same potential of doing and staying in my own country. Although i was working in the government sector. I left the government job, and  I went Australia for higher study and better future.",Personal Sharing,Migration Narrative,Neutral,Neutral
Yo video kp ba parchanda and sher bahadur lai puryanusta ❤ balen is top ❤😢😢😢,Political Opinion,Political Reform,Neutral,Neutral
Nepal ma basne le like garnu hola ✅,Call to Action,Staying in Nepal,Positive,Positive
"Yes ! IT sector ma skills gain garyo vane. ramro hunxa. No college degree, no tension !",Optimism,IT Sector Hope,Positive,Positive
