comment,intent,primary_driver,value_orientation,affect
kasaile banaideyoss jasto lagthyoo yoo video 🙏,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
"If there was a functional  Nepali government  and intelligentsia, this documentary  would win the 1st prize in a competition!",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Authenticity of your data???,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Very beautiful❤❤❤❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Yo sab garaune vanya nepal ka chor neta haru ho,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
"My uncle is on the way to US, the same way you mentioned. It&#39;s been 2 months already",Neutral/Observation,Economic Necessity,Collectivist-Family,Pragmatic
"Nepal to USA<br>Detained and deported full story😢<br><br><a href=""https://www.youtube.com/watch?v=KBa87QNJ8VI"">https://youtu.be/KBa87QNJ8VI?si=LlEU0ywPEWwuwpqY</a>",Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
finally found nepali reporter as indian dhruv rathe❤❤ love it,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
that&#39;s why teacher says read properly madarchod,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
Thukka mg nepal ko halt,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Shree Ram was born in Nepal🇳🇵,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
Eti dherai paisa ani risk liyera arko desh ma jaanu bhanda aafnai desh maa kei garne risk linuna business garnus . Ani tyasmaa xai safal hune chance ek damai high xa arka ko desh ma marna jaanu wa deport huna jaanu bhanda .<br><br>Pls yasari illegally arko deshmaa jaanu bhanda afnai desh ma basnus baru noon snga roti khayera bhaye pani aafno family snga ta basnu sanknu hunexa,Anti-Migration,Economic Necessity,Collectivist-Family,Pragmatic
Ser aba k usa iligal  aru des ko manxe aaunu paudaenn r vedeo banaunn,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Heart wrenching 😢,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
"Hamro Nepal ma yo vram cha ki, Nepal bahek aru desh(especially western countries)ma paisa khan-khani payincha! - Yo jhoot khabar, lack of good education le Nepali youth ko mind bigareerako cha: USA, UK, FRANCE, SPAIN, etc ma kasto SLUM, GARIBI, DISCRIMINATION, RACISM kasto daar lagdo cha vanne thaha chaina,.......aahile ko yug ma haat-haat ma mobile cha, Internet cha, afai research garnuhos, aru ko social media ma ramro photo daekera jealous vayera afno Swarga jasto desh chodera, afno matra navai, purai aaune naya NEPALI GENERATION KOI future lai harm nahos...JAI NEPAL! 🇳🇵",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Wow thanks of hidden info now we friends will try ....this hidden journey...n inform u when we will reach🙏🙏,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
I am on the way brother,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Sabai yo desh ko politician le garda ho..etro dukha garera, aafno jyan ko baaji rakhera tyo garnu vhanda baru Nepal ma aafno desh ma aandolan garnu ra yo buda bhrasta neta lai hataau..kasari huncha voting ko bela farka..ya thulo aandolan aba garna jaruri cha.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Adios guys I&#39;m off to us now 😔😔,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
"i was the 12,000th like! keep up the good work dipesh!❤",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
