comment,intent,primary_driver,value_orientation,affect
Purana neta haru le bhrastachaar garera  14 pusta  pugne akut sampati jamma garera aba tyei bhrastachar mudda haru bata bachna lai sarkar dhaldai pali palo sarkar chalayera baseka chan. 2084 ma vote garda bichaar puraunu hola sabai Nepal ma bhayeka janata le. Yi puraana bhrasta haru lai jail ko hawa khuwaunu nai parcha.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Amazing content brother 🔥🔥🔥🔥,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
sir d47 visa ko barema research garerw haldinu parney vyoo hjur leaa ..ailea 3 vanda mathii ko gpa vako lea matraa d2 visa ma jana paine bhanya xa but official notice kataii pani xaina ani 2.84 xa sir mero gpa aba d47 visa ma janu vanxa mailea gardaii gareko consaldency lea ..ani aba hjur ko yo video herikana euta matra consaldency ko kuraa sunnu hunna bhanerw 3 4 wota ma bujeko harek consaldency ko kura farak xaa ..ielts pani gareko thiyee 5.5 aako xaa kina bhane xitoo bhanda xito garnu parcha bhanerw 21 days matra class gayeko thiyee 28 september samma testo keii kura thiyenw october  5 dekhii 3 gpa bhanda thoraii lea mildaina bhanerw vannu vyo consaldency ko sir lea aru consaldency laii bujda panii yaii vanxan ..ma lagayat dheraii student haru laii ekdamaiii garoo parya xa sir ..kasko biswas garne k garne keii thaxaina hjur tw content create garnu hunxa ani information haru hami students haru laii dinu hunna yo topik ma euta videoo banaii dinu paryo sir ..ma matraa hoina southkorea jane dheraiii sathyy haru laii yeslee garoo paryaa xa ..,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
The way he say his channel name THAHA in every sentence capitally😂😂,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Januii parxa yo desh ma basnu hudaena  kina ki nepal ma basyo vaneh kangal vainxa,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Nepal be next Bangladesh team then something may changes,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Gahiro bislesan vai ko keep it up. Aru kai ma progress navaye ni news ra awareness ma progress vayeko chaa yo pani desh ko lagi ramro ho,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
आफ्नो गाउँ  घुमेपछि मनमा उब्जिएको प्रश्न ...??<br>अब कति समयमा देशलाइ <br>&#39;युवामुक्त देश&#39;<br>घोषणा गर्न सकिएला????🥺,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Despairing/Sad
ma pani lagvag 9 barsa bidesh basera aaye yaha kam gareko 3 mahina vayo paisai didaina jhagada kati ko ko sanga xahi garnu,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
"देश विकास न भाको मुख्य कारण नेपालमा बस्ने नेपाली हरु को अनुसासन न भएर हो ,आरु को खुटा तान्ने हरु धेरै छन्, अरु  हरु लाई  हिन्सा गर्छन्",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
