comment_id,comment,source_channel,source_file,script,language,word_count,emoji_count,route_reason,substantive_hit
4be83b2045a7,China usa can buy nepal jusr  put on sale,IDS,IDS_migration_old_podcast_Filtered,latin,english,9,0,substantive_keyword,usa
eaee434da75e,Sale nepal why nepal country nonsense  student visa.  They r not there for study big jocks,IDS,IDS_migration_old_podcast_Filtered,latin,english,16,0,substantive_keyword,visa
ccfdbff1d449,Everyone is not leaving Nepal. Many are still staying back. So in current scenario their are basically two kind of Nepalese-<br> One who does not want to leave their parents no matter what financial situation or life priorities. They are content and happy with mediocre life. They stay back in Nepal.<br><br> Second who has greater ambitions and wants a better life. They leave their parents and settle abroad.<br><br> Ma kasailai pani sahi galat bhandina. Both are right in their own respective minds.,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,82,0,substantive_keyword,abroad
f24157beda7e,"What a nonsense never forget that foreign country will always treat you as a second citizen also if we as a nationalist can protest to stop getting indians our citizenship and jobs then they can do the same its completely justified this shitty consultancies (educational and tours)<br>Should be completely closed and embrace the nationalism,if so then why dont these two people go abroad",IDS,IDS_migration_old_podcast_Filtered,latin,english,65,0,substantive_keyword,abroad
0d1e088b7f06,Really like this types of communication 😊,IDS,IDS_migration_old_podcast_Filtered,latin,english,6,1,kept_default,
fac98faec42b,"Learn trading , after no need to go anywhere , just learn trading all you need is internet and a computer or mobile",IDS,IDS_migration_old_podcast_Filtered,latin,english,21,0,kept_default,
dac3097bb265,What was that 😢,IDS,IDS_migration_old_podcast_Filtered,latin,english,3,1,kept_default,
29e950d3d566,"10 Reasons SOONER or LATER Everyone will Left 🇳🇵Nepal 😢 😪 <br><a href=""https://www.youtube.com/watch?v=AlcahONiYOc"">https://youtu.be/AlcahONiYOc</a><br>Either It&#39;s For Further Studies or Work",IDS,IDS_migration_old_podcast_Filtered,latin,english,17,4,substantive_keyword,work
c14758b5308a,I regret studying at TU. i lost all the time on earning money and life,IDS,IDS_migration_old_podcast_Filtered,latin,english,15,0,substantive_keyword,study
bdcb019e39a7,Maile 12 paxi Padna xode Malai paila dakhi nai business garnu Theo MA sanga dherai ramro ramro idea haru Thea maile 4/5 year hard try gare sambandid nikaye samma kura ta pugyo ra Uha haru le help garnu miltheo Uha haru ko sano help matra melako vaye aaja Ma as a entrepreneur dherai Mathi pugi sakthea Tara aaja Ma totally birojgar xu mind ma idea xa action ligna lai Aafu eklai sakidaina katai bata help mildaina aaile Ma US  Ko lagi try gardai xu ra main point ma 12 paxi kina abroad gaina vanni kura le dherai regret hunxa so Jati ni 11/12 paddhai gareko bhai baine le mero comment paddhai hunuhunuhunxa Uha haru lai mero experience le k vanna chanxu vani tapai haru jati nai talent vaye ni tapai haru ma Kati nai potiental vaye ni tapai le Nepal ma chance paunu hunna yaha Sano kam garna ni hami youth lai dherai garo hunxa so time Mai aboard janu Uha opputunity xa Uha kai garna Sakinxa baki desh hamrai Ho paxi Aafu kei banera Aayaera desh ko lagi garna Sakinxa first aafno Banna ko lagi desh xodnai parxa .,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,191,0,substantive_keyword,abroad
b1a8073ad63e,Alaxini khatey haru mujiko baan kukur bhusiya corrupt neta haru ley garda esto ramro desh guu jastai parey<br>Iniharuko narka ma pani baas naa hoss😢,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,25,1,substantive_keyword,uk
62a9622e429b,What his name,IDS,IDS_migration_old_podcast_Filtered,latin,english,3,0,kept_default,
fb37c37b994e,3million haina 30million,IDS,IDS_migration_old_podcast_Filtered,latin,english,3,0,kept_default,
d65d9e5a458f,"3 crore doesn&#39;t mean 3 million, dear sir. Please correct it.",IDS,IDS_migration_old_podcast_Filtered,latin,english,12,0,kept_default,
be15fb7f46fa,"The reason why people are leaving Nepal is because of their high expectations. The people who are complaining there aren&#39;t enough jobs are the ones who seek highly skilled jobs where labour is not required. These types of jobs are not much in demand because the country is under developed and needs labour workers. I went to visit Nepal last year and saw many workers in construction sites and fixing roads, etc. So there are plenty of jobs in Nepal, you just chose to not to do them because you think you should be paid more. A country doesn&#39;t build itself magically without labour.",IDS,IDS_migration_old_podcast_Filtered,latin,english,106,0,substantive_keyword,job
1e37ddbdde0c,3 crore=30 million,IDS,IDS_migration_old_podcast_Filtered,latin,english,4,0,kept_default,
26e457d95b1b,3 crore is 30 million not 3 million.,IDS,IDS_migration_old_podcast_Filtered,latin,english,8,0,kept_default,
84b9140174f6,there is one harsh solution. <br>ban foreign visa <br>force people to live inside<br>people will figure out the solution if they&#39;re forced to stay instead of running,IDS,IDS_migration_old_podcast_Filtered,latin,english,28,0,substantive_keyword,visa
23e58d78db47,"राजधानी सहर जन्ता बेच्ने बजार, जनताको व्यापार गर्ने नेपाल सरकार, देशभक्ति मरिसके देश बेच्न तयार, मुर्ख जन्ता, कस्ले रोक्ने भ्रष्टाचार ?<br><br>Bodhi",IDS,IDS_migration_old_podcast_Filtered,code_mixed,nepali_english,21,0,substantive_keyword,सरकार
0a9004ed636b,What is the solution? What is remady? What should do? For this situation and this problem?,IDS,IDS_migration_old_podcast_Filtered,latin,english,16,0,substantive_keyword,pr
1c6d6f3b072e,Aba india le laijancha desh. Yo muji neta harule kei par layenan. Jhole harule bitaye desh. Laijos Modi le baru,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,20,0,substantive_keyword,india
6e27a5b0502e,Dhost hunxa yo dess bistarai <br>Frustration is one of the main reason why students choose foreign countries,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,17,0,substantive_keyword,foreign
8746f40ff3f2,Mo Dubai ma xu daju ahiley 2 40 bajey Rati duty janxu Ani belka 8 9 bajey room aipugxu lastoi garo 🙃,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,21,1,substantive_keyword,dubai
fe7e487b3a73,"Any data how many nepalese living here in Delhi NCR ? Nepalese are everywhere here in hotel line, in govt job, police / army,  and even in big companies like MNCs.",IDS,IDS_migration_old_podcast_Filtered,latin,english,29,0,substantive_keyword,job
72f7890be4b0,Please speak full English or full nepali😢😊 like ur videos🎉,IDS,IDS_migration_old_podcast_Filtered,latin,english,10,3,kept_default,
012f6d1a4b06,"E dai ki tah purai english bolnu , ki natra nepali mai bolnu. Yesari what i seed garera nabolni",IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,18,0,kept_default,
f3a52de70ea4,Nepal won&#39;t remain for more than 50 years in existance,IDS,IDS_migration_old_podcast_Filtered,latin,english,11,0,kept_default,
