comment_id,comment,source_channel,source_file,script,language,word_count,emoji_count,route_reason,substantive_hit
86870dc55931,They are going bhaira...,IDS,IDS_migration_old_podcast_Filtered,latin,english,4,0,praise_short(hits=1),
14f68936332e,All are going baera,IDS,IDS_migration_old_podcast_Filtered,latin,english,4,0,praise_short(hits=1),
2547eaace72b,Very nice 🎉,IDS,IDS_migration_old_podcast_Filtered,latin,english,2,1,praise_short(hits=1),
b965146c4739,तपाईं इलामको हो? Nice 👍 to hear your words😊,IDS,IDS_migration_old_podcast_Filtered,code_mixed,nepali_english,8,2,praise_short(hits=1),
f4564f85e125,A great personality,IDS,IDS_migration_old_podcast_Filtered,latin,english,3,0,praise_short(hits=1),
743643d8d11b,"This is true, thanks for this voice",IDS,IDS_migration_old_podcast_Filtered,latin,english,7,0,praise_short(hits=1),
7146b37d4d77,They are going bahira 😂😂,IDS,IDS_migration_old_podcast_Filtered,latin,english,4,2,praise_short(hits=1),
73fa89616bd1,Wow what a logical talk,IDS,IDS_migration_old_podcast_Filtered,latin,english,5,0,praise_short(hits=1),
f92d3b9e1cf1,Love your video,IDS,IDS_migration_old_podcast_Filtered,latin,english,3,0,praise_short(hits=2),
60cfc525a562,Face revealed wow!,IDS,IDS_migration_old_podcast_Filtered,latin,english,3,0,praise_short(hits=1),
5520be7d7ce6,They are going bahira ):,IDS,IDS_migration_old_podcast_Filtered,latin,english,4,0,praise_short(hits=1),
1d4d6c9948e4,Thank you for sharing this 😊🙏,IDS,IDS_migration_old_podcast_Filtered,latin,english,5,2,praise_short(hits=1),
393c2fdbd0f3,Became suscriber after watching 1st. Video.,IDS,IDS_migration_old_podcast_Filtered,latin,english,6,0,praise_short(hits=1),
5c93ed4e978e,Make a research video on Michael_kobold pls !,IDS,IDS_migration_old_podcast_Filtered,latin,english,7,0,praise_short(hits=1),
6542a4ac815a,nice content very informative,IDS,IDS_migration_old_podcast_Filtered,latin,english,4,0,praise_short(hits=3),
e8645c6007fd,Content ko kammi vako ho IDS bro?,IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,7,0,praise_short(hits=1),
9e279063db47,"Mailey first time deakhea hoi dai lai ❤️❤️ <br><a href=""http://www.youtube.com/results?search_query=%23realityofournepal"">#realityofournepal</a> 😢",IDS,IDS_migration_old_podcast_Filtered,roman_nepali,nepali,7,3,praise_short(hits=1),
6a4bcbaadd84,Abo tamang controversy barama video yoo chaiyo ???,IDS,IDS_migration_old_podcast_Filtered,latin,english,7,0,praise_short(hits=1),
b76b1e326382,yes bro we want face reveal video.,IDS,IDS_migration_old_podcast_Filtered,latin,english,7,0,praise_short(hits=1),
814efa11384f,hlw sir <br>you are a best sir❤,IDS,IDS_migration_old_podcast_Filtered,latin,english,7,1,praise_short(hits=1),
de3e43393359,Maya le voko pet palidaina,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=1),
8ba386e7ad8f,oh nice,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
1b00fdf4a40b,Motivating 30years old thank you vai❤,IDS,Regular_video_comments_Filtered,latin,english,6,1,praise_short(hits=1),
43a08ce09f67,यो खोजको लागि धन्यवाद ❤,IDS,Regular_video_comments_Filtered,devanagari,nepali,4,1,praise_short(hits=1),
2f45cf8ce524,In depth content see you soon !!!,IDS,Regular_video_comments_Filtered,latin,english,6,0,praise_short(hits=1),
a78cd421b1e2,Quality content❤,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=1),
3a6bd9200c2d,In-Depth Story काे अहिलेसम्मकै best analysis भिडियो।👍️❤️👌,IDS,Regular_video_comments_Filtered,code_mixed,nepali_english,8,3,praise_short(hits=1),
9198c5944327,Thank you dada ❤,IDS,Regular_video_comments_Filtered,latin,english,3,1,praise_short(hits=1),
6e0312e91977,Thank you Team 🙌🌟!<br>You exceeded my expectations ❤️,IDS,Regular_video_comments_Filtered,latin,english,7,3,praise_short(hits=1),
c012defa7146,Wow👌. Content🔥,IDS,Regular_video_comments_Filtered,latin,english,2,2,praise_short(hits=2),
95bbb3341ffb,Best content vai gee keep it up❤❤❤,IDS,Regular_video_comments_Filtered,latin,english,7,3,praise_short(hits=3),
e7da85a46c16,Now this is what I call quality content ❤,IDS,Regular_video_comments_Filtered,latin,english,8,1,praise_short(hits=1),
fb32234b4506,Thank you yrr brother ❤❤❤❤❤,IDS,Regular_video_comments_Filtered,latin,english,4,5,praise_short(hits=1),
4d3c146cab65,beyond expectation.<br>Wonderful ❤❤,IDS,Regular_video_comments_Filtered,latin,english,3,2,praise_short(hits=1),
f34aea06f3e1,The way of making  content is flawless 💖💖,IDS,Regular_video_comments_Filtered,latin,english,7,2,praise_short(hits=1),
ba7774113bde,Quality content as always.,IDS,Regular_video_comments_Filtered,latin,english,4,0,praise_short(hits=1),
7928fc77cd64,Lots of love brother ❤❤ for this video,IDS,Regular_video_comments_Filtered,latin,english,7,2,praise_short(hits=2),
de3d06f0f971,Thank uhh bruh for ur effort ❤,IDS,Regular_video_comments_Filtered,latin,english,6,1,praise_short(hits=1),
0a37b2667c8f,We should support our Nepali content creators. ❤,IDS,Regular_video_comments_Filtered,latin,english,7,1,praise_short(hits=1),
2a68b07cd08f,❤❤❤💐💐i am so motivate  dai lots of love ❤❤,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,8,7,praise_short(hits=1),
1b66db564dfe,This video made my day ❤,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=1),
668e58fd506a,"A perfect video,, you are a real YouTuber ❤🇳🇵",IDS,Regular_video_comments_Filtered,latin,english,8,3,praise_short(hits=2),
d0e72c868a6b,Very informative and touching video ❤,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=2),
92dddad14be3,Great research ❤,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=1),
abb89b783ecf,Best video ever! Loved it!!,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=2),
aaa6e9c9ff13,Wonderful video!,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=2),
34cf56061027,Bro Ending is Beautiful ❤️🇳🇵🙌,IDS,Regular_video_comments_Filtered,latin,english,4,4,praise_short(hits=1),
dc7a89e9e633,Waah what video guys ❤❤ Hats off 👍👍,IDS,Regular_video_comments_Filtered,latin,english,6,4,praise_short(hits=1),
f3e5a7952b03,One of the best video ❤,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=2),
80ffeffa4a50,Des naxadne yeutai kaaran ......maya😢😢,IDS,Regular_video_comments_Filtered,latin,english,5,2,praise_short(hits=1),
96fc508492de,​@dnstar5218 sahi bro 😏,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=1),
516451ce2f60,Kati ramro thinks thankyou ids❤❤❤,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,5,3,praise_short(hits=2),
fe69cf3fbc20,Watching from nepal nice informative video,IDS,Regular_video_comments_Filtered,latin,english,6,0,praise_short(hits=3),
77fd4c8cb4ec,"I love this video mentally, emotionally",IDS,Regular_video_comments_Filtered,latin,english,6,0,praise_short(hits=2),
f1260635cc37,tons of respect to your entire team,IDS,Regular_video_comments_Filtered,latin,english,7,0,praise_short(hits=1),
ca344fe6f0b7,Maya x daju <br>keep us teaching and informing 🥰🥰,IDS,Regular_video_comments_Filtered,latin,english,8,2,praise_short(hits=2),
b1303fd65846,Hjr ko positive massage ko lagi thanks ❤❤❤,IDS,Regular_video_comments_Filtered,latin,english,7,3,praise_short(hits=1),
5682e2c22a9e,Much needed video !,IDS,Regular_video_comments_Filtered,latin,english,3,0,praise_short(hits=1),
6a3bbfde3f00,What a great video!!❤❤,IDS,Regular_video_comments_Filtered,latin,english,4,2,praise_short(hits=2),
37c1bcc38711,U got it bro ....keep motivating youth ....🎉,IDS,Regular_video_comments_Filtered,latin,english,7,1,praise_short(hits=1),
3346792704e0,Hats off bro! Nice content ❤,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=2),
4ed7a3dd430a,wow bhai liked it so much.salute.,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,7,0,praise_short(hits=2),
25d23526af20,So emotional so authentic just like wow❤,IDS,Regular_video_comments_Filtered,latin,english,7,1,praise_short(hits=1),
28624ebe1d3f,Hat's off to your in depth content.,IDS,Regular_video_comments_Filtered,latin,english,8,0,praise_short(hits=1),
e5fc954d9934,This is one of motivation video ❤,IDS,Regular_video_comments_Filtered,latin,english,6,1,praise_short(hits=1),
a5b304b3cd27,sincerely thanks for this video,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=2),
40f26b8c4de2,Excellent analysis 🎉🎉,IDS,Regular_video_comments_Filtered,latin,english,2,2,praise_short(hits=1),
16b297af49bd,Thank you dai for your motivation ❤❤,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,6,2,praise_short(hits=1),
2345d3fb1085,So true bro 😢thanks for your effort,IDS,Regular_video_comments_Filtered,latin,english,7,1,praise_short(hits=1),
fe7f85198ac8,Love it satisfy xu yo video bata 😢❤,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,7,2,praise_short(hits=2),
55919a5797e6,You really raised the hot topic respect ❤️🙏,IDS,Regular_video_comments_Filtered,latin,english,7,2,praise_short(hits=1),
7cb5d3a3bc34,The whole video was a roller-coaster.,IDS,Regular_video_comments_Filtered,latin,english,7,0,praise_short(hits=1),
bc158f536774,Hats off to your content ❤,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=1),
8917531a34fd,Hatsoff to your great information brother.🫡🫡,IDS,Regular_video_comments_Filtered,latin,english,6,2,praise_short(hits=1),
f4da01d4c8fa,Thanks for this types of videos 😊,IDS,Regular_video_comments_Filtered,latin,english,6,1,praise_short(hits=1),
9068abac4668,bitter truth good keep going.,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=3),
7f429ec283e7,Love it ❤️,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=1),
9cc241cdfd03,Thanks 😊 a lot for this helpful suggestions.,IDS,Regular_video_comments_Filtered,latin,english,7,1,praise_short(hits=1),
8214ec90c051,अत्ति सन्तुष्ट लाग्दो video -🙏🙏❤️🫡,IDS,Regular_video_comments_Filtered,code_mixed,nepali_english,4,4,praise_short(hits=1),
b3860df672fe,Lot's of love brother.,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=1),
8d1bab73e9d1,Woow ❤ tqs for video ❤❤,IDS,Regular_video_comments_Filtered,latin,english,4,3,praise_short(hits=1),
d42566cf557d,Wow outstanding analysis ❤❤,IDS,Regular_video_comments_Filtered,latin,english,3,2,praise_short(hits=1),
dd3bbfe44b96,one of the best videos till date,IDS,Regular_video_comments_Filtered,latin,english,7,0,praise_short(hits=1),
7ba0a82f45b0,This video change my mine❤,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=1),
b987a4dd9bbe,Great video with motivation. keep on bro,IDS,Regular_video_comments_Filtered,latin,english,7,0,praise_short(hits=3),
7c0452ccc473,"Thanks for the motivation, hamile nai ho garne😇",IDS,Regular_video_comments_Filtered,roman_nepali,nepali,8,1,praise_short(hits=1),
9cdf5cfd1053,One of best analysis episode,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=1),
8e41a2f94025,Thanks for this video❤,IDS,Regular_video_comments_Filtered,latin,english,4,1,praise_short(hits=2),
37b59301b79f,Such a heart <br> touching video,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=1),
b64c84ec0571,yatti majjale research garera video banayekoma  thank you,IDS,Regular_video_comments_Filtered,latin,english,8,0,praise_short(hits=2),
7bcf7ea9c54a,Best video i had ever seeen farr❤❤,IDS,Regular_video_comments_Filtered,latin,english,7,2,praise_short(hits=2),
17c2a34dcfc7,Love you Nepal ❤❤❤,IDS,Regular_video_comments_Filtered,latin,english,3,3,praise_short(hits=1),
8f32e6e6e1bf,Wow best content ❤,IDS,Regular_video_comments_Filtered,latin,english,3,1,praise_short(hits=3),
8e8bbcd57e1a,Video ekdam ramro xa Bhai 🎉,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,5,1,praise_short(hits=2),
3cd637c550ee,Thank you for this video,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=2),
d14559ed66fe,Great content 🔥❤️,IDS,Regular_video_comments_Filtered,latin,english,2,2,praise_short(hits=2),
89d627a52f8c,Best video ❤️,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=2),
74d0e5e2c0db,Sahi analyze,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
03ef6a37b2bb,Beautiful video❤❤,IDS,Regular_video_comments_Filtered,latin,english,2,2,praise_short(hits=2),
598d12b94065,Amazing content 👏👏👏👏,IDS,Regular_video_comments_Filtered,latin,english,2,4,praise_short(hits=2),
d506e0ca9b94,Yo video chai man paryo hai IDS ko,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,8,0,praise_short(hits=1),
fa7d342bfcf6,Good brother 🎉,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=1),
e315cde551dc,Great video ❤,IDS,Regular_video_comments_Filtered,latin,english,2,1,generic_reaction,
cd9a33ee8033,thankyou for this video,IDS,Regular_video_comments_Filtered,latin,english,4,0,praise_short(hits=2),
2d5d2ffcd940,Amazing bro.,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
6aa31666263a,Wow सकारात्मक भिडियो ।,IDS,Regular_video_comments_Filtered,code_mixed,nepali_english,4,0,praise_short(hits=1),
f0ae28a2d33f,I will respect this video😔😔😔,IDS,Regular_video_comments_Filtered,latin,english,5,3,praise_short(hits=2),
1714d98fcb6c,🥹❤️thank you for the motivation🙏,IDS,Regular_video_comments_Filtered,latin,english,5,3,praise_short(hits=1),
e9337a11eead,Vai ko kura thik ho ramro lagyo video,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,8,0,praise_short(hits=3),
8ee44a7251dd,best ever❤,IDS,Regular_video_comments_Filtered,latin,english,2,1,praise_short(hits=1),
13d0431d28c6,THANK YOU DAI❤,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,3,1,praise_short(hits=1),
953b60cf36c1,U r amazing bro.,IDS,Regular_video_comments_Filtered,latin,english,4,0,praise_short(hits=1),
55017c581906,Very informative bro,IDS,Regular_video_comments_Filtered,latin,english,3,0,praise_short(hits=1),
9cb553e0a979,Thank you dai ❤,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,3,1,praise_short(hits=1),
4c1a089c95fe,Dheraii ramro video,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,3,0,praise_short(hits=2),
a6f59e1a0b4b,Thank you.,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
e65968d7c30c,reality video,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
9a12e8093841,Big fan hai sir😊,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,4,1,praise_short(hits=1),
897a1c598764,Thank you,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
c7f068b0b295,you are brilliant,IDS,Regular_video_comments_Filtered,latin,english,3,0,praise_short(hits=1),
0e79857e534d,Good content,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=2),
fedc674a63b1,Literally crying while watching this video 😭😭,IDS,Regular_video_comments_Filtered,latin,english,6,2,praise_short(hits=1),
568f846d8383,nice video 👍️,IDS,Regular_video_comments_Filtered,latin,english,2,1,generic_reaction,
3d521258aa92,Love it,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
8bbb62f24cb3,Video on bureaucracy in nepal👍,IDS,Regular_video_comments_Filtered,latin,english,5,1,praise_short(hits=1),
4268bed4f449,Very good,IDS,Regular_video_comments_Filtered,latin,english,2,0,praise_short(hits=1),
63283c796b0d,I wasn't expecting MAYA!,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=1),
cb308c9973ce,Pls make video about IT sector,IDS,Regular_video_comments_Filtered,latin,english,6,0,praise_short(hits=1),
b738a693d7bc,Make a video on pokhara about challenges tourism,IDS,Regular_video_comments_Filtered,latin,english,8,0,praise_short(hits=1),
2428e428460e,One video 100 knowledge,IDS,Regular_video_comments_Filtered,latin,english,4,0,praise_short(hits=1),
9829d0ff9913,Totla bro keep going,IDS,Regular_video_comments_Filtered,latin,english,4,0,praise_short(hits=2),
b1bf135684b7,Sir 1 video about Nepal Police,IDS,Regular_video_comments_Filtered,latin,english,6,0,praise_short(hits=1),
6ac145143a87,Ofcourse leaving is best option,IDS,Regular_video_comments_Filtered,latin,english,5,0,praise_short(hits=1),
62fa779b71e7,Khoe kina ho<br>Video herda herdai aasu aayo 😢,IDS,Regular_video_comments_Filtered,roman_nepali,nepali,8,1,praise_short(hits=1),
52b769a3d712,(24 ; 53) is best,IDS,Regular_video_comments_Filtered,latin,english,4,0,praise_short(hits=1),
