"comment","intent","primary_driver","value_orientation","affect"
"People posting thier ILLEGALLY crossing the boarder journey publicly on social media is more frightening and also pathetic. Afno jyan bhanda pyaro tiktok? 🤦🏻‍♀️ bharey tyo video haru ley afulai samsya nalyaos and yesari post garna ley aru pani jhan influence hudai cha jasto lagcha malai chai. Ramro sanga bichar garera matra yesto kadham uthaum hola.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Stay in your own country and Build.","Anti-Migration","Patriotism/Love","Collectivist-Nation","Pragmatic"
"Janta haru afai jagnu parxa rw aware hunu parxa ani matra problem solve hunxa navaya noksaan hamro nai ho🙏😊🙏🫡😊","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"Eu nepali Ho bhanne daju Kaha hola Kasto hola bhanne Janna ko lagi ecchuk chu ma?? Do anybody know??","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"यो सबैभन्दा खराबसोच?","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Portugal pugera video herdai chhu.<br>Kahani relatable chha","Trapped/Regretful","Economic Necessity","Individualist-Self","Pragmatic"
"I want to suggest to everyone work hard and live life simple in our country.","Anti-Migration","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"usa be like need more publicity 😅 come to nepal jai pashupatinath 🙏","Anti-Migration","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"Its from nepal to USA right","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"It is called dunkey process . Hamro neighbourma vayeko yekjana ddko relative + husband pani yei dunki  process bata USma pugeko xa . I ve heard that india ko certain places  ma ta  dunky process duwara US purauna budget anusarko pacakage hunxare","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"We have a WhatsApp group for immigrants and refugees in Americas<a href=""https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz"">https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz</a>","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"Shah Rukh khan made a movie based on this issue called <a href=""http://www.youtube.com/results?search_query=%23dunki"">#Dunki</a> which will release on 21st Dec 2023 (11 days more to release)","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"kasaile banaideyoss jasto lagthyoo yoo video 🙏","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"You are right bro","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
