comment,intent,primary_driver,value_orientation,affect
Touched with : देश छाड्ने  धेरै कारण छन तर देशमै बस्ने एक मात्र कारण माया😢,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
"aafono janamabhumi ko kaslai maya hudaina hola hjr <br>engineer, doctor ra loksewa bahek aaru option nei xaina",Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
maa  affele  engnr padhe ra depressed xu tesaile aafono annubhava vaneko,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
marji le hoina forced le  matra health fit nahunale,Trapped/Regretful,Economic Necessity,Individualist-Self,Pragmatic
Desh ko ki boyfriend ko,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"एउटा पार्टीले १० वर्षमा स्वीजरल्याण्ड बनाउँछु भनेर भाषण गरेको सुनेको थिए सानो हुँदा अहिले ठूलो भएपछि नेपाली लाई संसार को सबै देश जान बाध्य बनाएको देख्दा गर्भ लागेर आउछ । यही हो परिवर्तन भनेको , देश नघुमेको लाई विदेश घुमाउन प्रोत्साहन गर्ने सरकार को जय होस ।",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
उहिले त बिदेश जानु पाए पो जान्थे खालि भारत भुटान र बर्मा गयो उतै हरायो ।,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
a mula j pani maobadi lai dosh lara hunxa?,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
बारम्बार सासन बेबस्था बदलिएपनि नेपाल को सासन भने ब्राह्मण बादि कै हत मा भएको कारण ले हो देश नबनेको ‌।<br>यो देश को सेना पुलिस सरलारि कर्मचारी हरूमा बाहुन बाहेक अरू जतकोले कैलेपनि प्रमोसण पउँदैन ।<br>काङ्रेस एमाले माओवादि जुनसुकै पार्टी मा हेरेपनि सभापति उप सभापति बहुन बाहेक अरू हुन पाउँदैन ।<br>यो देशको प्रधानमन्त्री राष्ट्रपति सेनापति न्यायाधीश बन्न ब्राह्मण बादि धरमा जन्मनु पर्छ ।,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
​@rameshkhadka5681<br>किनकि ब्राह्मण बादि बौ हजुरबुवाको रगत शरिर मा बग्छ । <br>जनयुद्द भन्दा पहिला ब्राम्हण र राना बाहेक अरू दोस्रो दर्जाको नागरिक थिए।,Neutral/Observation,Needs Human Review,Needs Human Review,Pragmatic
@anamak2000 k kera kera jasto kura garira,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
Desh xadne hajar karan hola tara basne aauta kura xa Maya😊❤,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Mayalu nai bideshiye paxi k ko lagi basnu yaha!,Pro-Migration,Patriotism/Love,Individualist-Self,Pragmatic
Sabaii nepali ko yeii Maya dheraii hunu pariyo 🥺🥺Tara xainan<br>Hope Nepal will be better someday,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Visa reject vaye paxi desh ko maya lagiaalxa ni 😂,Trapped/Regretful,Patriotism/Love,Individualist-Self,Pragmatic
Maya le voko pet palidaina,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
एक तर्फी माया ले के गर्नु हजुर भाग्य ले लात हाने पछि अनि समय ले घात गरे पनि kasaiko के ही लाग्दैन रैछ 😢,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
A 23 year old guy giving a hope and optimism  to a 29 year old boy . This is Change and as he said desh ma opportunity  jhan badera auxa sabai  bidesh  gayesi . Change is inevitable .  Thank yo for bringing inner voice  brother.  This is  todays youth  .,Pro-Migration,Needs Human Review,Collectivist-Nation,Hopeful/Motivated
oh nice,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Ma ni 29 nahuda samma estai sochera baseko ho,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
Hahaha never Jati janxa Teti manxe ajai nepal manj bandai janxa nepal ma opportunity xaina baira janu parxa kei thulo garna baye Jani competition xa bro jana janxa ajai nepal student ko padai sitixa ani feri student ni janxa so no chance,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
So it never ended,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
Motivating 30years old thank you vai❤,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
"Yo IDS YouTube channel maa, aja samma upload vayeko video madhya best video lagyo malai xa. Malai feri pani ekpatak sochna badhya banayo. ""Nepal maii basau ki bahira jau?"".<br>.<br>Appreciated 🎉",Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic
I'm also brother 😢,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad
K Halo jotnu basnu Ani paisa Pani hudaina family kasari palxau😂,Neutral/Observation,Economic Necessity,Collectivist-Family,Pragmatic
"halo jotna ta aba jamin pani pahila jasto ka xara sabai concrete le khaisakyo ra pahilako manxe jasto mato ko maya, dukha garna sakne himmat ka xara ajkal@burneyes744",Pro-Migration,Economic Necessity,Individualist-Self,Needs Human Review
Bhai na aau gara deshmai aafnai desh ramro chha yeha paisa chha khusi self respect ani aafno manchhe jo huda timi harna ni tayar chhau koi ni hunna 😌,Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
नेपालमै गएर केही गर्छु भन्दा भन्दै UAE 🇦🇪 मा १४ बर्ष भएको म एउटा गतिलो उदाहरण,Needs Human Review,Economic Necessity,Individualist-Self,Pragmatic
Estai xa đại Nepal,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
Same here,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
नेपाल मा केहि छैन । लुटन र ठग्न सक्नुहुन्छ भनेमात्र एता आउनु ठिक हो ।,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Needs Human Review
khatrrai paisa pathaunu bhayo hola nepal ma tesobhaye?,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
In the era of leaving the nation we are here to rebuild it<br><br>We are not alone let's believe in it and  work for it ✊,Anti-Migration,Needs Human Review,Collectivist-Nation,Hopeful/Motivated
"Everyone want to see nepal in the name of developed country but due to political unstable, corruption unemployment etc. no one want to stay in Nepal. Everyone need to feed stomach . Only national love isn't enough to feed hunger, i am also facing frustrating and anxiety about my future ❤ desh ko maya tw dherai xa ke garnu",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Needs Human Review
@roshanmahato6079 comment chai bahira desh basera ho 😂,Needs Human Review,Patriotism/Love,Collectivist-Nation,Pragmatic
@Elitemotivation-o2w  aaile samma Testo din aako xaina,Neutral/Observation,Needs Human Review,Individualist-Self,Hopeful/Motivated
Bhai u Will also come foreign don't worry,Pro-Migration,Needs Human Review,Individualist-Self,Needs Human Review
"Vanna sajilo xa bro , desh chalai nai veda garu le xan, nepal ko top university tu ko halat testo xa opportunities kei xaina desh ma, unemployment matra , yessari hunxa hola desh developed 300 barsa samma",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
अब नेपालमा परिवर्तन को खाँचो छ<br>हामीलाई यी पुराना नेता मन्त्री हैन देश को लागि केही गर्ने एउटा leader चायको छ,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
One and only Balen can change the situation if we all citizens think and care about our country.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
पहिला त हामी जनता को चेतना स्तर बृद्धि गर्न आवश्यक छ।।,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Jun sarkar le Nepal ma change layaune try garne ho tyo sarkar fix dhalne ho kinaki nepali haru    actual ma change chahadainan. Jo change laune try garxa tesko birudha nepali Janta andolan garxan,Anti-Migration,Systemic/Political Anger,Individualist-Self,Needs Human Review
"khacho xa, chaiyeko xa, garnu parxa. Tara garne kasle. Nepal thau ramro tara manxe alxi ho. Pahila nai british haru le kabja garera taha lagako bhayo kei hunthiyo hola. Aba ta garo xa.",Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
Nepali sab veda haru hun pache aaba chunab ma taha huncha nepali lai k chaicha vaanara,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Needs Human Review
आँखा मा आसुनै आयो तपाईंको भिडियो हेरेर यति राम्रो भिडियो बनाउनु भएकोमा धनयवाद।❤️,Neutral/Observation,Economic Necessity,Individualist-Self,Needs Human Review
my husband is crying in middle of night after watching your 30min video after his 16hrs long shift here in Australia .,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
I’m in canada I feel like I am a modern slave <br>We are here by design,Trapped/Regretful,Economic Necessity,Individualist-Self,Pragmatic
exactly i feel the same from sydney,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
