comment,intent,primary_driver,value_orientation,affect
Ahile eaklo mahasus Vai sako bro 😢😊,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
In Nepali school teacher says padha babu nani haru aba ta 10 padheka ni bidesh jana paudainau 10 ramrari padha baru 12 ma 12 padhdai language padhdai garaula vannxan yo sab kura family ra school bata nai start hunxa na ta school ma vanxan Nepal ma kehi garna sakinxa nata ghar ka le last ma choice bidesh nai hunxa so hamlai sanai dekhi yo bidesh vanni mindset change garna parxa school ra family bata nai,Neutral/Observation,Family Obligation,Collectivist-Nation,Pragmatic
म जान म हि पासपोर्ट नेपाली चाहे अब मलेसिया बाट आको छ बर्स भयो नेपाली नै बनाइन्छ नागरिकता त च्यातिन्न आफ्नो बाध्यता काम गर्न जाने मात्र हो देस त नेपाल नै हो ॐ शिव,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"who will stay when your 4 yr bachelor takes 6 years to complete .also who will stay when u cant even earn to fulfill your physical needs with the salary you earn after spending  lacs of rupees , time and effort just to take that certificate. and to those who are illiterate and unskilled , the work u will get is worst to think of with a penny salary and the inflation rate of our country's  economy is higher than Mt.everest height.  just because of worst politicians and bad governance every little new born and the whole generations has faced the worst of all till now and you still want to stay here? and think that those who went are there for to fulfill materialistic things? thanks to all those dirty mind games of all politicians and those persons who take benefit from these things nepal is getting nowhere from now..",Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
"Google a term ""Hierarchy of needs""",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Hats off to your content ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
beyond expectation.<br>Wonderful ❤❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
जुन काम सरकारले गर्नुपर्ने हो त्यो काम यो च्यानल ले गर्देको छ।,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
You just expressed my feelings ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
U r amazing bro.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
​@chandratamang2487 gharbata bidesh gainas vanera lyang lyang garxan yaar.,Pro-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
नेपाल मा केहि छैन । लुटन र ठग्न सक्नुहुन्छ भनेमात्र एता आउनु ठिक हो ।,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Ani buwa aama le rin liyera padhayeko ko rin kasari tirxn t  sab ko family ek jasto hudaina,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
"Mailey ni paila janxu bhaneko. Paxi dherei ghatana haru dekhey, afno pariwar sanga time bitauna sakina bhaney jindagi jiuna ko maja k xa rw jhai lagyo. Ayiley padhdei xu yetei. Mero lakshya bhaneko kehi ramro garera yetei pariwar sanga time spend garney majaley. But yesto dar ni xa, paxi kehi na bhayera bahira po jana parlaa ki.. rin lera padhdei gareko, paxi tirna na sakera bahirei jana parxa ki?... Nepal maa ramro garxu bhanney ko kaam xaina, sayad mero ni hunxa jasto ni lagdeina✨🖤",Anti-Migration,Family Obligation,Collectivist-Family,Pragmatic
very very thankyou hjr aauta 16 barsa ko manxa lai bato dekhauna ko lagi,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Very sad. Come back home, all my friends.",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Beautifully analysed…and wonderfully presented the burning issue of the country…,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
"Well, we will see you soon💙😢 brother",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
नेपाल तिमी रहौला कहा नेपाली नरहे !,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"I love this video mentally, emotionally",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Sai hooo Daiiii 💗💗,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
manxey jata vayeni yo man ta mero sadhai nepali nai rahanexa🚩,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
Nepal ma sabai mahagi ani kaam haru chhaina 10-12  kaam Garda family palnu sakdaina but Europe Australia tira student padhera Pani ramro kamayeko chha,Anti-Migration,Family Obligation,Collectivist-Family,Pragmatic
"Samay Sandharbik content, great job bro! I like it",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
South Sudan Nepal bhanda garib ho vane ki tya jagir pauxa Nepal ma paudaina 😂😂😂😂😂😂nepis,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Daju,""hajur kw video la saraii naii mann laii choioo",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"युट्युब साथीहरू आउनुहोस्, एक अर्कालाई समर्थन गरौं. 🎉❤❤❤",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Ma euta doctor. MD sakeko doctor. Mero salary JAMMA 50 hajar cha Nepal ma. Sarkar le dine nai teti ho. Kaam hapta KO 90 ghanta bhanda besi garna parcha. Hami doctors haru kina basne ta ? <br>Ma Pani process gardai Chu. Kunai security chaina hamro desh ma nata ramro income nai . <br>Process huna bittikai jadaichu.<br>50 hajar le ma k garnu ? Family lai khuwauna baccha lai padhauna sakincha ta ?,Anti-Migration,Economic Necessity,Collectivist-Family,Pragmatic
अर्काको देशमा दोस्रो श्रेणीको नागरिक भएर हातमा बल हुँदाखेरि मात्र हो पछि फेरि आफ्नो देश फर्किनुपर्छ बुढेसकाल लाग्दाखेरि,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Dai omini scandal ma vedio banaunus na.big fan ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
माया मुजि मोह ले मात्र के गर्नु देश को माया त लाग्छ नि |,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Ma Nepal mai baschu ❤ जय मातृभुमि,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic
Beautifully and thoughtful presented ❤️ it's helping lots ho youths,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Right..i also work remotely and  I'm making good income 😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
आशावादी ।,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Heart touching video bro, Jo jaha gayeni bro ma ta Nepal mai basne xu, ra Nepal mai k garne xu.",Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic
Bichara मेरो देश 🥺,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Boom Boom 💥,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Family la internet bata foran county ko <br>Video hara ra vacha tara aafno dream ra work idea fa rak cha . 🇳🇵 Hajur ko video hare pache nepal ma ke garna sacha vane yog cha❤❤,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
म बाँचे नबाँचे पनि मेरो देश बाची रहोस् 😢🇳🇵,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Your guse 🤔 10 years good change <br><br>I also agree ..,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
11:29 ma qatar ko spelling wrong bhaxa dai,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Man! you are a genius, Your dedication towards quality content regarding situations happening in Nepal is extra ordinary . All of your videos makes us concern about the moment. hats off to you brother, Thank you for visualizing necessary chances of better Nepal. Let's hope for the best.",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Nepal needs two passports : global citizenship identification free to migrate anywhere in the world even the Antartica and Nepali citizenship only eligible to stay in Nepal not even the India border. This should serve the interests of the socalled country Nepal.,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
Ehh bhanale rajawadi haru ko xorq xori usa canada po xan,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
Great video. Reality of Nepal. Aasha xa Hamro desh Ramro hunxa ❤,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Hami ja sukai gaye pani afnu desh lai bhulna chai hunna. Jati nai samaye lagos afnu desh chai farkinu nai parxa jasto lagxa.,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
@vermabhaijaan5607 pyaro dhoti afno desh hera hamro haina,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
"Nepalese society jamider cha ahile,<br>Mero chora ya chori lai bidesh pathaunu parcha. <br>Tei society ko manche haru corrupted politician lai vote dinchan,<br>Doctor or Engineer padnu parcha hai arubpadera kam chaina vaane yaiyat mindset society<br>Aru pani factor haru chaan.",Pro-Migration,Patriotism/Love,Collectivist-Nation,Angry/Frustrated
गर्नु के ?????,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Should have made this video way before 🙃,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
yuwa unite  is necessary lets educate nepal as a youth i have been searching job for my financial situation after 12th but no one is giving me job lets hope for my job and i will donate all my money for my future chareity. jai nepal jai kirat.,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"Migration rokna nepal sarkar ra nepali janata ley even ghatauna sakena vaney, nepal ma basney ani buisness garney lai ekdam garo awasta auney xa . Bcoz business is direct related to population. Outside valley ko lai ta ahiley nai garo awasta aai sakeko xa .",Anti-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
Aba ta tyo IT industry pani AI le kaidina lagi sakyo dai k garne hola ta aba.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Some heros does not wear cape and you guys are one of them. Thanking your team for this positive effort. As a concerned citizen of Nepal, I request your team to create a video addressing the issue of online toxicity among youth. This behavior, prevalent in social media and online gaming, reflects negatively on our society's youth mentality. I urge you to raise awareness about this issue and its detrimental effects on our future. Thank you for considering this request.",Neutral/Observation,Family Obligation,Individualist-Self,Hopeful/Motivated
changing the traditional education system into practical educational  system nepal can somehow change the situations.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated
"Truly, what a master piece. As, a recent plus 2 graduate I am really impressed by this video one of the most worthy video changed my vision",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Nepal ma hotel rw tourism ko ni dhr scope xa yo video ma yo Sabandhi euta ni word aayena 😢,Anti-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
अत्ति सन्तुष्ट लाग्दो video -🙏🙏❤️🫡,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
I am steel on a delema <br>Des mai kehi ramro garnu parxa vanne ho herum,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Yo sabai nepali youths harule bujhnu parx 10,15 barsama des bandaina khi time lagla keep passions hamile noi des banaune ho hami nai desma basenw vane aru ko aayerw banaidinx rw samasya dekhi nwvagau sabai nepali milerw aafno ability rw aafno skills ko sadupayog garau ek aarkalai support garau khi samaye garo hola tara hami hamro rw aagami pusta ko sunaulo bhabisye banaune kosis garau.........🇳🇵❤🤘",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Timi ley taw 100% copy paste gardo raixau taw bro aru ko video 😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
You raised the most problematic topic with full of positivity <br>Keep motivating keep spreading hope brother❤️,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Thankyou so much sir for informative and motivative video.❤ 🇳🇵,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Watching from nepal nice informative video,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Loan ma churlummba dubya xas dhak lauxas 😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Thag thaag nagari ta kamai huna garo hola. Hope and good luck bro,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Yetti herexi ta jhan bidesh nai jane confrom <br>Ma ni 4 barsa aaghi samma ta mareni bidesh janna vanne manxe ma aaile Maldives aako xu 6 mahina vo aaba 19 mahina ma farkiyera poland jane sochma xu ma ni kinaki maileni nepal mai kei garxu janna bidesh vanera pikup kinera chalauthe aafai tara k garnu  lastko chunab paxi artha tantra damadol tax. Matra dherai ani aako xu kehi sammaya lai yaha farkiyera nepal aayera sadhaiko lagi Europe lagxu ma pani ani tapaile pariwarko kura garnu vo maya ko kura garnu vo xoro manxe le taba matra izzat ra maya pauxa jaba usle kamayera sabai lai khusi rakhxa ani matra uh ni khusi hunxa izaat maya pauxa.😊😊😊<br>Kehi galti bolema mafi pau😊😊,Anti-Migration,Family Obligation,Collectivist-Nation,Despairing/Sad
Sahi analyze,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
I want to join in depth story please mention me if there is something that I Can do,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Good content,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Tq ganatantra,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Europ ko sabai vnda grib desh ho Romania 🇷🇴,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
Bhanda dhukha lagla astai huni ho vanay hami le hamro desh ya thyo vandai hamro chora chori lai map maa khojnu parxa😔😔😔😔,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Angry/Frustrated
Very good,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
​@loktiwari561Kehi vision bokney kehi learn garney materialistic kura ko paxi na lagney show off nagarney hardwork garera paisa save garney family ko problem solve garney kei paisa ra ramro plan bokera nepal aune nepal mah 0 bata start garna dharai garo australia gayeko manxey ley testo sochnu hudaina you are lucky that you got the opportunity to be there enjoy your time learn something invest in yourself then return with some future plans then happily live in nepal,Anti-Migration,Family Obligation,Collectivist-Family,Pragmatic
"Who doesn't want to go out and study abroad? It is not Nepalese don't want to go abroad and study, it is just because they can't afford.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
UK dream. Country with permanent citizens ship,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
garne ho nepal mai basera bebasaye dubyo rin le thamana sakiyena vane dubai qatar jane ani tirera ali ali new bebasaye lai pugne kamayera nepal mai basne,Anti-Migration,Family Obligation,Collectivist-Family,Pragmatic
don't worry bro take it easy ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
@anamak2000 k kera kera jasto kura garira,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
१५ वर्ष अगाडी मैले पनि यही सोचेको थिए ! आज सम्म कठै मेरो देश । अब तपाईको video ले अझै पनि म आशा गर्दछु । But again I dont think with this kind of situation we should stay still in Nepal 🤔,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic
Should we stay or leave ko  video ta banyo tara  hajur ley yeuta dedicated video banua nu na nepalmai basera kk garna sakinxa napla ma khulera garna sakine thau ra area haur kk xa kun field xa ra tyo thau ma hamiley aafno time ra effort diye anu sar kati ko income generation garna sakin xa tyo kura lai aajai kasari expand garna sakinxa ra international trade haru gare ra kasari economic growth ra development garna sakin xa aafno desh ko ??????? @IN-Depth Story,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
My family can afford and wants me to go abroad...my sister is already in abroad but I don't want to go.,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
Nepali drubh rathee❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
10 Reasons SOONER or LATER Everyone will Left 🇳🇵Nepal 😢 😪 <br>https://youtu.be/AlcahONiYOc<br>Either It's For Further Studies or Work,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
"ma Aauta Civil engineer ,Nepal Mai Basxu Bhanera Soch rakhya xu .. Mero lagi Khusi Pariwar sanga Samaya Bitaunu Nai ho ❤️",Anti-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated
Heart Touching Video... Thank you IDS...<br>I finally Found my Answer❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Jati bikas uti nai binas ho atti chai bujhau sabai le,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Dai tapai po aus bata paisa kamayara kai business garne soch hola hame jasto nepal mai baserako hora,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
Excellent analysis 🎉🎉,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"31 yr old Nepali - (British national) -  In the UK and other global economies, the rapid advancement of AI and digital systems is transforming the job landscape, leading to significant shifts in employment. Roles traditionally reliant on human input, such as administrative coding, web development, IT administration, social media management, video editing, graphic design, accountancy, and even positions like purchasing managers and administrative staff, are increasingly being automated and AI. This trend has led to notable job reductions across various sectors; for instance, PwC has released 5,000 employees, Citigroup has reduced its workforce by 4,000 to 5,000, and similar actions have been taken by Barclays, HSBC, and numerous other firms within the accounting, technology, and communications industries. In response to these changes, professionals are encouraged to pivot towards careers that are more resistant to AI disruption, focusing on areas where human expertise and creativity remain irreplaceable.",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
मैले पनि 2023 मा देश छोडेको हाल कुवैत को खाडी बाट😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
❤ Bidesh ma basera Yo video herdai Garda jhan badhi emotional ra Ashabadi vaye. can’t wait to return to my Land someday …🇳🇵,Pro-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
Moh ewta artist ho dhunga bata banauchu monthly 50 60 kaile 70 ni hunchh tarw ooni pugeko choina nepal ma last option baira nei dekhira chu rw chitoi jadei poni chu😊😊😊,Anti-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
Ma pani jadai xu aba marna pareni maraula,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
नेपाल को भविष्य निकै कालो छ ।,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Aba A.I. aisakyo bhai Nepal ta kangalai ho,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Great video ❤ . Please make video in problem of open boarder of Nepal with India.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"म रोमानियाबाटै यो video हेरिराछु,<br>र सुरुको सेकेन्डमै म झसङ्ग भएँ!!😅🇦🇩🇦🇩🇦🇩🇦🇩🇦🇩🇦🇩🇦🇩🇦🇩",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
10 Yrs paxi yo comment herna lai xodeko xu..nice content bro,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
3 main things for me :<br>1. Health <br>2. Wealth<br>3. Relationship❤,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Bro ma pani japan aayo 7 yrs bhai sako?Nepal jana sake ko chaina?week month year kati chito janxa ? Bidesh koi   pani na aaunu hola ? YO TRAP HO?,Pro-Migration,Patriotism/Love,Individualist-Self,Pragmatic
"paristiti ko khola le ho hajur manis ko nauu xalaune , bidesh jane bato ma tyag hardwork ani problem dekhiye pani aantya ma samadhan dekhinxa tei bela nepal ko ta aas matrai ta ho, 12 sakne bitikai aaba 1 barsa german vhasa sikhxu ani ausbildung vanne vocational training and work ma janxu paisa kamauxu ani 4 barsa paxi bachleor pugne meri buini lai padne layak ko paisa kamauxu mamu ko lagi sanai vayeni ghar banauxu ani ma pani aafule maya gareko manxe sanga sapana sakar parxu . J jasto jasari vayeni voli ka din ma mamu meri uni meri buini ani mera yedi koi hune xan vane eekai tham vayeko herne xu ani safalta tei hune xa aasa xa teti bela samma ma nepal farkera basda vai goni vanne soch ra tyo soch ko reality strong banos aafno des nai ghumna na pai bidesh janu pareko betha bidesh ko paisa le aafno desh ghumera sakna pam aantya ma tapaile vane jastai feri vetamla na hai kei saal paxi",Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
Aaba 10 barsha ma desh ta change hola tara hajur ko umer pani rokidaina holani daju. What if the country became in more dangerous situation??,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
"yo ta overall ghumne wa aru prayaojan le gaka pani included data ho ni ta. Indian haru ta jamma 25 lakh emigrate vako chaina 2023 ma, india jhan nepal vanda kayaun guna emigrate hune desh. esto vramak data nadiun.",Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
Bro I am also an MBA graduate but there's lack of good opportunities for us here.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"But Dai , बढदै गएको AI replacement KO Ni ?  <br>IT sector ta AI le takeover Garna sakxa within next 15 years ,then what ?",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Comment  section is more 😢sad than the video it’s so saddening to see a reality of our country nobody like to leave their home country I bet everyone but we have the financial responsibilities after all. Money matter to survive in this expensive world and marring is realising love is not enough to survive but money is,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
You are right bro...emotional kura garera zindagi chaldaina...voli parents birami huda old agema medical treatment garauda ni hospital bills tirna ko lagi paisa chahinxa philosophical kurale zindagi chaldaina sadhai,Neutral/Observation,Family Obligation,Collectivist-Family,Despairing/Sad
14;00 minute ko line bro. 💯,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
One Day I Will Leave This Country Ever and Ever Permanently settling in Another country Gaiko Masu Khane kasam♥️🇺🇸,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
why is there no policy for having multiple passports in nepal?,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"Inspiring video to them who are here, we will do here no matter what",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
baru Nepal mai garna sakne business ke ho bhanera bhannu na,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
Bro I believe that one day we will be Nepal 🇳🇵 day <br>One day all will Happy and proud for our country <br>One day we will make our country better than other's <br>We will do it together One day,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
bro timi le po youtube bata dollor chapiraxau <br>Ta hami jasto middle class le garne vanekai<br>Bidesh ma kam ho,Pro-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
अाँखा बाट अासु अायाे😥<br>के भयाे यस्तो देश😭,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Yo video chai man paryo hai IDS ko,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
I am crying with this .. sold my nationality for happiness. After a decade..i think I left that happiness behind in my own country ❤,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
अब नेपालमा परिवर्तन को खाँचो छ<br>हामीलाई यी पुराना नेता मन्त्री हैन देश को लागि केही गर्ने एउटा leader चायको छ,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Same here,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Malai ni desh farkinchu vavisya ma vanera asabadhi chu tettin jyal natrito ma pariwwartan huncha vanera,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
देश त छोडियो तर छोरा छोरीलाई नेपालमै बस्ने वातावरण होस नेपाल सरकार 🙏,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
Teita not fair with low salary,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"What a presentation teams, remarkable. 💯",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Kati kamayo ta 16 Barssa ma 🤔,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Yo IDS YouTube channel maa, aja samma upload vayeko video madhya best video lagyo malai xa. Malai feri pani ekpatak sochna badhya banayo. ""Nepal maii basau ki bahira jau?"".<br>.<br>Appreciated 🎉",Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic
"A perfect video,, you are a real YouTuber ❤🇳🇵",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
First part of the video was quite good but it diverts from its content from there and fades little bit. Good try. God luck,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
अब छिट्टै म पनि देशको ठूलै youtuber बन्ने कुरामा आशाबादी छु!❤🎉,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"maro dash maa brain drain vako xa meaning hamro dash ko skilled rw educated population dash xori gako xan this is a big problem for our economy, hamro dash maa bidashi company ko investment haru tanna sakhako xina jun ki only safe way ho aouta dash ko economy badaunu lai tara yaha ta business start garni jo garo xa, IT Sector ramro ho tara aouta pipe dream ni ho sabai youtuber banna sakdina so aba harnu hamro yaha dash xori jana culture vako xa aba kuni batdata vayana thanks to our country poor governments management, our  situation is sad but i hope for the better days, take care guys.",Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
K study visa ma Russia janw sakinxha?,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
marji le hoina forced le  matra health fit nahunale,Trapped/Regretful,Economic Necessity,Individualist-Self,Pragmatic
so heart touching dai,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"तपाईं अाफ्नाे स्थान बाट सुरु गर्नुहाेस्, म अाफ्नाे स्थानबाट गर्छु । उठाै र जागाै अनि बनाअाै नेपाल देशलाई ❤ 🇳🇵",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
This is one of motivation video ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Ma pani aafni desh xodna ko laghi tayari gardai xu din rat na vani🙂,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Love it satisfy xu yo video bata 😢❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Despairing/Sad
I like  that conclusion part of this video giving hope to the people who chose to stay in Nepal . ♥️,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated
@vermabhaijaan5607why indians are here💀,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"समस्या सङ्ग भाग्ने हैन , डटेर लड्ने हाे । जय नेपाल 🇳🇵🎯<br> भबिस्य देशमै छ , एशियामा नै छ",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"Nice, content and analysis. God bless Nepal. May we see our nation prosper with full of opportunities, developments and happiness soon in upcoming days..",Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
Why I am so emotional yar 😢😢😢 ?<br>Too much reality in this video,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
"Same here, just graduated in civil engineering, and looking for assistantship of USA. Moreover, I couldn't get something worthy on freelancing for us.😭",Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
Woow ❤ tqs for video ❤❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Everyone: Nepal mai basau ki bidesh jau..<br>Me: ek choti bidesh gayera paisa kamayera Nepal mai chill garxu 😅❤,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
Malai neh basam basam lagna thalyo. K garnu visa aaisakyo 😂,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Hamro future k huney ho thaha xaina😢😢😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
