comment,intent,primary_driver,value_orientation,affect,verdict
Sorry guys next month mah ne janxu abo . I won&#39;t return ✌🏻,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,correct
Yeha ramro sarkar nai xaina neti neyam ta banxa tara prabhavakari tarikali lagu hudaina ramro garne lai khutta tanne prabirti le garda pani desh kei garam vanda dherai aru society herene nagajar pani farak hunxa nata sthir rajniti xa nata ramro kam garne manxelai support nai,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Nepal Sarkar le kai ramro garla vanera aas garera basni manche yo duniyakai sabvanda thulo murkha ho,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,correct
Jewish diaspora haina zionism vanu,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,wrong
"Nepal is a hell hole, maile jagir gareko talab diyenan sau le, vyapar gareko compitition ma margin hudaina tyes paxi sarkhari karmachari le guskhayera vyapar agadi lagna diyenan. Ani ma desh chorera hine india kaam garna.",Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,correct
"This video has given me inspiration to do something for my country in the future as I am abroad for five years.<br>Without Knowing about what I am doing here is worthy or not, it has provided me with some insights internally that I can do it in the coming future. Thank you for this video. Its so encouraging and motivating. ❤❤❤❤",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,correct
How many times you use to change thumbnail for video<br>Oh my god from the date of post you changed thumbnail almost<br>3 times,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
We have lots of benefit if they go out like country ko resources ni sab ma pugxa aani remote area haru ni develop hunxa so sab Jana USA jau,Pro-Migration,Economic Necessity,Collectivist-Nation,Pragmatic,correct
Binod Kunwar Sir ❤🇳🇵,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
"nefool is a third world hellhole. no need to get emotional. the earlier you leave , the more developed and rational you become . no need to live like an animal in this low iq country .",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
Mero school ko savaivanda talent sathi .... Maile aile samma dekhya varimai extraordinary aile nepalma xaina america ko tesla companyma engineer ma kaam lagyo rey <br><br>Aauxa ta testo talent manxe nepal ko sewa garna .... K garnu yar testo manxeharulai hamile gumairakheko xam toit ...Hospitalma kaam garxu maile thavako best doctor uk gayo thuikka muji nepal ko haalat ...Hamro best best manxeharu vagira xa ani nepalma gojyangrwko toli thulothulo postma,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad,correct
nepal maa k hi garchhu bhaneko baluwa maa pani haale jatikai ho rahechha ki party ko jhole hunu paryo ..ma nepal maai k hi garchhu bhanera tytro lagani gare last maa bidesinu paryo,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
"<a href=""https://www.youtube.com/watch?v=bO53rJ-r9yM&amp;t=701"">11:41</a> point to be noted. Afnai desh farkau ra kehi naya garau vanne ta sabai lai maan hunxa. Aru desh le garna sake kina vane tya ko government supportive xa. Hamro Nepal farkera kehi garxu vane government ra corruption le ka garna dinxa ra. Gareko example holan but 3 crore population ma 10-12 jana ko example diyera furkilauxan neta haru. Tini haru le ghus khulauna sake tei vayera gare. Hami sakdainau",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Khulkiyo Tero video 🤣,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Everyone talking about remittance but am not agree with that for example   they sent 10k but they spend 20k like they sent 1 lakh but they brought 1.5lakh phone and other luxury expenses so remittance cause import unnecessary luxury thing income less spending double which show on paper remittance contributions to our gdb but remittance is a Foreign merchant losses one of main reasons of our country,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,correct
"The young generation constantly faces significant challenges. Although they have many innovative ideas to contribute to the country, the lack of proper policies makes it difficult to kickstart these ideas. As they grow older, societal expectations to support their families arise, making it challenging to continue pursuing these ideas. Consequently, many are compelled to go abroad for better income, education, or training. The allure of a better world often blinds Nepalese individuals, and the high rates of corruption further discourage them from investing in Nepal.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,correct
"Government officials particularly target mongolian features ethnicities, none of my brahmin and chetri friends have had to pay bribes for simple Government work",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
"The same money looted by politicians and indian business houses, are coming in as foreign investments just to pay less taxes.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
"<a href=""https://www.youtube.com/watch?v=bO53rJ-r9yM&amp;t=300"">5:00</a> Mr beast video of the hospital.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Nepal is a country where we exports young people and imports the money...,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,correct
K k bolecha yo Bipchan Pagal lee Media hoo Vani Tero Baau ra Kaka Haru ko bare News vaan Khate Oli ra Sher Bahadur ko Nati K Pai tei bolcha Khate Ta poo Nepal mai xaas.. Bidesh k Rahar le hideko sabai Janta Vaan taa aafai. Desh Bechyo Tero Baje Sher Bahadur le.. Aaavaa Tero Bau oli le sell hannu Baki chhha... Janta ko poisa khacha J Pai tei bolcha Yoo Pagal YouTuber leeee,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,correct
Bro is paid actor. Period.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,wrong
Why would any Nepali with conscious invest in Nepal. Everyone is corrupt to the core.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,correct
"Optimistic video, but the reality of our country is same as Haiti. **Until and unless we get rid of corruption nothing will change**. It is not about the changing &quot;system&quot;. Don&#39;t get mistaken, it doesn&#39;t matter which person or group or clan is ruling the country, it is about if those persons, groups or clans are serving the Nepalese people or not.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,correct
Ramro video ❤😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Informative video for all nepalese 😊❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
"if your country betrays you , you don&#39;t turn back.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
Yo smseya ko sabhadan bhastrachari neta ko sampati bedesy bank bata firta layuna sake sabai sabadan huxa yo kura ko suruwat garna garure xa.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
I want to study ca but since its too difficult so i want to involve in IT sector in Nepal. What should I study ? What skill to learn ?<br><br>Please anyone give full authentic advise,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,correct
"I won&#39;t stay in Nepal, earn and pay tax here so that the kids of the Politicians and Corrupt leaders will enjoy their life abroad!!",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,correct
history ko video,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
जसरि हुन्छ लाइक भिउज बटाउने हुटहुटिमा लाइक भिउज लाई  मत्लप नगरि जुन कुराहरु उठाइराख्नु भको छ  मनै देखि उच्च सम्मान छ❤❤❤🙏🏿🙏🏿🙏🏿,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,correct
It’s all about economics. Until you don’t give economic freedom to rise there is no point talk about democracy. Nepal is for 1% clevers who can cheat and do anything but for those 99% people who want make genuine money it’s hard. See NRN diaspora around world who went out of country with 1 luggage are now millionaires. Why? Who is controlling economics of Nepal? Forget about creating wealth now it’s becoming difficult to save your small earning or ancestral wealth.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,correct
पंछी फर्केर आउ....,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,correct
"<a href=""https://www.youtube.com/watch?v=bO53rJ-r9yM&amp;t=792"">13:12</a> aru ko example dinai pardaina, hijo ko hamro katha here hunxa",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,wrong
