comment,intent,primary_driver,value_orientation,affect
You cannot contain youths but you can certainly take advantages of brain drain by coming up with new policies that can utilize the youths and their skills/knowledge,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
Maile 12 paxi Padna xode Malai paila dakhi nai business garnu Theo MA sanga dherai ramro ramro idea haru Thea maile 4/5 year hard try gare sambandid nikaye samma kura ta pugyo ra Uha haru le help garnu miltheo Uha haru ko sano help matra melako vaye aaja Ma as a entrepreneur dherai Mathi pugi sakthea Tara aaja Ma totally birojgar xu mind ma idea xa action ligna lai Aafu eklai sakidaina katai bata help mildaina aaile Ma US  Ko lagi try gardai xu ra main point ma 12 paxi kina abroad gaina vanni kura le dherai regret hunxa so Jati ni 11/12 paddhai gareko bhai baine le mero comment paddhai hunuhunuhunxa Uha haru lai mero experience le k vanna chanxu vani tapai haru jati nai talent vaye ni tapai haru ma Kati nai potiental vaye ni tapai le Nepal ma chance paunu hunna yaha Sano kam garna ni hami youth lai dherai garo hunxa so time Mai aboard janu Uha opputunity xa Uha kai garna Sakinxa baki desh hamrai Ho paxi Aafu kei banera Aayaera desh ko lagi garna Sakinxa first aafno Banna ko lagi desh xodnai parxa .,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
Yo tapai ko ho jasto lagyo malai,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Your interview taste like bitter sirup but i have my uk flight on  August 22,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Aajhai hal vote surya, rukh,hasiya hatouda ma🤣<br>Thukka veda hruuu",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
They are going bahira 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
This is sad 😔😔😔😔.<br>Garne k ta ?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
"Dukha payam mangaley, afnai dhangaley!! Jai Gadatantra",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"3 Million is not 3 crore, I don&#39;t know how you&#39;ll correct this lol.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
This podcast is good but it can be better if you included the overcoming points of brain drain . How can we overcome this major problem ? Which plans to be taken to overcome this.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
"Everything has it’s time and cycle everyone is going aboard ok who have pr and green card they will remain in aboard and rest of others are mostly going as worker in gulf, malaysia, etc type country most of the country are facing economic issue now days and mostly after some years 50-100 years gulf will be out of oil and they aslo face some economic issue as vast now and our nepali brother will have to back in homeland and then the situation will be more wrost and everyone is not rich to affoard big country mostly today our country is stable in remittances and after some 50-100 years this will be became a disaster even many brother are facings low wages and job issues in gulf countries now days. How many of us will get chance to go usa Canada Australian some lakhs peoples only and mostly students didn’t send that much money like others which create more remittances. Already they took too much loans and stuff some years they will need to settle themselves and after they invest money in foreign for living there. We are so relabing in foreign one day that’s immigration will be stopped or low  and It’s will make a disasters. I am not saying not go to foreign am just saying our government create such a situation for us to go aboard and we also want make a good healthy and wealthy life but we are making a virus inself slowly which will surely create a huge economic revolution in future. If hope new leadears and youths will come in power take nation to another way so we can independence on toursim, electricity and local production.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated
Vai suni sakeko kura feri pani repost nagarana hau mujieee  chai vannu.. wait for reply of it 🤣,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
"British should ruled Nepal, For development.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
And I’m too listening from Maldives 🇲🇻,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Nepal has no future at all nepal is only for politicians, super rich ppl and gundas. Hardworking intelligent all are gone.  Nepal is hopeless",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
दाई डर लाग्छ ।,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
As a +2 students who wants to study in my own country and contribute for the nation this makes me feel sad and worried about my own future as well as the nations future 😢,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Despairing/Sad
option k xa k nepal mah ?<br>supposed ma nepal mah xu rey ?<br>ma k garam aaba ?<br>i want a environment where i can study and work in same time <br>part-time work available huna paro. If mero class 9-12 hunxa bhaney 12 bajey paxi i should have lots of option to involve in works. If 9-5 clz hunxa bhaney should be only for 2 days or 3 days and i should have option of works where i can work only 4 days in weeks.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"3 million bhaneko 3 crore how <a href=""UCkszU2WH9gy1mb0dV-11UJg/Z8MfY8mzLbnovwK5roC4Bg""></a>",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Learn trading , after no need to go anywhere , just learn trading all you need is internet and a computer or mobile",Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
