gen_id,model,congruence,persona_id,intent_consensus,intent_target,intent_match,primary_driver_consensus,primary_driver_target,primary_driver_match,value_orientation_consensus,value_orientation_target,value_orientation_match,affect_consensus,affect_target,affect_match,all_axes_match
g0078,Claude,congruent,C1,Pro-Migration,Pro-Migration,1,Economic Necessity,Economic Necessity,1,Collectivist-Family,Individualist-Self,0,Pragmatic,Pragmatic,1,0
g0011,Gemini,congruent,C2,Pro-Migration,Neutral/Observation,0,,Economic Necessity,0,Collectivist-Family,Individualist-Self,0,Pragmatic,Pragmatic,1,0
g0005,Gemini,congruent,C1,Pro-Migration,Pro-Migration,1,Economic Necessity,Economic Necessity,1,Collectivist-Family,Individualist-Self,0,Pragmatic,Pragmatic,1,0
g0084,Claude,congruent,C2,Pro-Migration,Neutral/Observation,0,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,0
g0063,GPT,incongruent,I2,Pro-Migration,Trapped/Regretful,0,Economic Necessity,Family Obligation,0,Collectivist-Family,Collectivist-Family,1,Despairing/Sad,Despairing/Sad,1,0
g0068,GPT,incongruent,I3,Neutral/Observation,Anti-Migration,0,Systemic/Political Anger,Systemic/Political Anger,1,Collectivist-Nation,Collectivist-Nation,1,Angry/Frustrated,Angry/Frustrated,1,0
g0031,Gemini,incongruent,I3,Anti-Migration,Anti-Migration,1,Systemic/Political Anger,Systemic/Political Anger,1,Individualist-Self,Collectivist-Nation,0,Angry/Frustrated,Angry/Frustrated,1,0
g0046,GPT,congruent,C2,Pro-Migration,Neutral/Observation,0,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,0
g0096,Claude,incongruent,I1,Anti-Migration,Anti-Migration,1,Patriotism/Love,Patriotism/Love,1,Collectivist-Nation,Collectivist-Nation,1,Hopeful/Motivated,Hopeful/Motivated,1,1
g0012,Gemini,congruent,C2,Pro-Migration,Neutral/Observation,0,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,0
g0082,Claude,congruent,C2,Pro-Migration,Neutral/Observation,0,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,0
g0080,Claude,congruent,C2,Neutral/Observation,Neutral/Observation,1,Economic Necessity,Economic Necessity,1,Collectivist-Nation,Individualist-Self,0,Pragmatic,Pragmatic,1,0
g0001,Gemini,congruent,C1,Pro-Migration,Pro-Migration,1,Economic Necessity,Economic Necessity,1,Collectivist-Family,Individualist-Self,0,Pragmatic,Pragmatic,1,0
g0081,Claude,congruent,C2,Pro-Migration,Neutral/Observation,0,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,,Pragmatic,0,0
g0019,Gemini,incongruent,I1,Anti-Migration,Anti-Migration,1,Patriotism/Love,Patriotism/Love,1,Collectivist-Nation,Collectivist-Nation,1,Hopeful/Motivated,Hopeful/Motivated,1,1
g0070,GPT,incongruent,I3,Pro-Migration,Anti-Migration,0,Systemic/Political Anger,Systemic/Political Anger,1,Individualist-Self,Collectivist-Nation,0,Angry/Frustrated,Angry/Frustrated,1,0
g0057,GPT,incongruent,I1,Anti-Migration,Anti-Migration,1,Patriotism/Love,Patriotism/Love,1,Collectivist-Nation,Collectivist-Nation,1,,Hopeful/Motivated,0,0
g0077,Claude,congruent,C1,Pro-Migration,Pro-Migration,1,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,1
g0107,Claude,incongruent,I3,Pro-Migration,Anti-Migration,0,Systemic/Political Anger,Systemic/Political Anger,1,Collectivist-Family,Collectivist-Nation,0,Angry/Frustrated,Angry/Frustrated,1,0
g0043,GPT,congruent,C2,Neutral/Observation,Neutral/Observation,1,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,1
g0013,Gemini,congruent,C3,Pro-Migration,Pro-Migration,1,Systemic/Political Anger,Economic Necessity,0,Individualist-Self,Individualist-Self,1,Angry/Frustrated,Pragmatic,0,0
g0037,GPT,congruent,C1,Pro-Migration,Pro-Migration,1,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,1
g0065,GPT,incongruent,I2,Pro-Migration,Trapped/Regretful,0,Family Obligation,Family Obligation,1,Collectivist-Family,Collectivist-Family,1,Despairing/Sad,Despairing/Sad,1,0
g0027,Gemini,incongruent,I2,,Trapped/Regretful,0,Family Obligation,Family Obligation,1,Collectivist-Family,Collectivist-Family,1,Despairing/Sad,Despairing/Sad,1,0
g0023,Gemini,incongruent,I1,Anti-Migration,Anti-Migration,1,Family Obligation,Patriotism/Love,0,Collectivist-Family,Collectivist-Nation,0,Despairing/Sad,Hopeful/Motivated,0,0
g0032,Gemini,incongruent,I3,Anti-Migration,Anti-Migration,1,Systemic/Political Anger,Systemic/Political Anger,1,Collectivist-Nation,Collectivist-Nation,1,Angry/Frustrated,Angry/Frustrated,1,1
g0048,GPT,congruent,C2,Neutral/Observation,Neutral/Observation,1,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,1
g0101,Claude,incongruent,I2,Trapped/Regretful,Trapped/Regretful,1,Systemic/Political Anger,Family Obligation,0,Individualist-Self,Collectivist-Family,0,Angry/Frustrated,Despairing/Sad,0,0
g0016,Gemini,congruent,C3,Pro-Migration,Pro-Migration,1,Systemic/Political Anger,Economic Necessity,0,Individualist-Self,Individualist-Self,1,Despairing/Sad,Pragmatic,0,0
g0045,GPT,congruent,C2,Pro-Migration,Neutral/Observation,0,Economic Necessity,Economic Necessity,1,Individualist-Self,Individualist-Self,1,Pragmatic,Pragmatic,1,0
