comment,intent,primary_driver,value_orientation,affect
Touched with : देश छाड्ने  धेरै कारण छन तर देशमै बस्ने एक मात्र कारण माया😢,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad
"aafono janamabhumi ko kaslai maya hudaina hola hjr <br>engineer, doctor ra loksewa bahek aaru option nei xaina",Anti-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad
maa  affele  engnr padhe ra depressed xu tesaile aafono annubhava vaneko,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
marji le hoina forced le  matra health fit nahunale,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
Desh ko ki boyfriend ko,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"एउटा पार्टीले १० वर्षमा स्वीजरल्याण्ड बनाउँछु भनेर भाषण गरेको सुनेको थिए सानो हुँदा अहिले ठूलो भएपछि नेपाली लाई संसार को सबै देश जान बाध्य बनाएको देख्दा गर्भ लागेर आउछ । यही हो परिवर्तन भनेको , देश नघुमेको लाई विदेश घुमाउन प्रोत्साहन गर्ने सरकार को जय होस ।",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
उहिले त बिदेश जानु पाए पो जान्थे खालि भारत भुटान र बर्मा गयो उतै हरायो ।,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
a mula j pani maobadi lai dosh lara hunxa?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
बारम्बार सासन बेबस्था बदलिएपनि नेपाल को सासन भने ब्राह्मण बादि कै हत मा भएको कारण ले हो देश नबनेको ‌।<br>यो देश को सेना पुलिस सरलारि कर्मचारी हरूमा बाहुन बाहेक अरू जतकोले कैलेपनि प्रमोसण पउँदैन ।<br>काङ्रेस एमाले माओवादि जुनसुकै पार्टी मा हेरेपनि सभापति उप सभापति बहुन बाहेक अरू हुन पाउँदैन ।<br>यो देशको प्रधानमन्त्री राष्ट्रपति सेनापति न्यायाधीश बन्न ब्राह्मण बादि धरमा जन्मनु पर्छ ।,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
​@rameshkhadka5681<br>किनकि ब्राह्मण बादि बौ हजुरबुवाको रगत शरिर मा बग्छ । <br>जनयुद्द भन्दा पहिला ब्राम्हण र राना बाहेक अरू दोस्रो दर्जाको नागरिक थिए।,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
