gen_id,comment,intent,primary_driver,value_orientation,affect,is_no_persona,notes
g0078,"Selfish haina, practical ho. Parents lai ramro life dina lai pani paisa chahincha ni. Nepal basera 20-25k kamayera k garni? Abroad gayera financially stable bhaye pachi parents lai pani support garna sakincha. Long run ma sochnu parcha.",Pro-Migration,Economic Necessity,Collectivist-Family,Pragmatic,0,
g0011,"Selfish ra selfless bhandai basera life bittaina. Aafno life ra peace of mind safe rakhna freedom chainchha, ani matra gharparivarko ramro sanga care garna sakinchha. Jaha aafno future thik dekhinchha tyaha jane ho, yesma kasailai spastikaran dinu pardaina.",Neutral/Observation,Systemic/Political Anger,Collectivist-Family,Angry/Frustrated,0,
g0005,"Selfish bhandai bhandina ma ta, practical kura ho. Desh nai basera financially struggle garnu bhanda bidesh gayera ramro earn garepachhi parents lai pani utikai support garna sakinchha. Ultimately, aafno life secure nabhai parents lai kasari bhanda ramro future dina sakinchha ra?",Pro-Migration,Economic Necessity,Collectivist-Family,Pragmatic,0,
g0084,"Nepal ko future Nepal ma basne le banaucha ki nabanauch tyo mero headache haina 😅 Ma chai aafno future secure garchu, desh ko bare ma sochera stress linu pointless lagcha malai. Joslai jaha peace milcha tyaha basun.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,0,
g0063,"Visa पाएकोमा खुशी हुनुपर्छ, तर मन भारी हुन्छ। राम्रोसँग कमाऊ, आफूलाई सम्हाल, अनि घरमा बाबुआमालाई सकेसम्म खुसी राख है।",Pro-Migration,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
g0068,"Remittance ले देश धानिएको छ भनेर गर्व गर्ने कि आफ्नै युवालाई रोजगारी दिन नसकेकोमा लाज मान्ने? विदेशबाट पैसा पठाउने युवा चाहिँ चाहिने, तर उनीहरूको भविष्य बनाउने नीति चाहिँ नचाहिने—वाह नेताज्यू।",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0031,"यी चोर नेताहरूले देश रित्याएर युवा जति खाडी पठाए, अनि सोझै remittance को पैसामा मोज हानेका छन्! सबै विदेश भागे भने यो भ्रष्ट system कसले सफा गर्छ? म त यतै बसेर यी बूढा नेताहरूको सातो लिन्छु, आफ्नो देश छोडेर भाग्दिन!",Anti-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0046,"राम्रो income, career growth र personal freedom खोजेर धेरै जना बाहिरिएका हुन्, simple।",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0096,"Yesari youth drain hudo raicha bhane Nepal ma buda budi ra neta matra bachcha. 😔 Tara ma positive chu — aba ko generation lai desh ko maya cha, hami bascha, hami banaucha. नयाँ नेपाल हामीले नै बनाउने हो! 🇳🇵🔥",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0012,"Desh ko future k hunchha bhanda pani, sabai le aafno personal freedom ra peace samjhine ho. Sarkar le thik vatavaran banauna sakdainan bhane manche haru aafno life ramro banauna bidesh ta janchhan nai. Kasailai aafno khusi khojda aru sanga answerable hunu pardaina.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
