comment,intent,primary_driver,value_orientation,affect
"so amazingly said , well said , well truth !",Appreciation,Content Quality,Positive,Positive
KEEP MAKING VIDEOS !!!!!! ⚽️⚽️⚽️🎮🎮,Appreciation,Content Quality,Positive,Positive
"Main problem vaneko naie ecomony ho mitra ....hamro paisa kamjor vayo tei vayera manxae bahera janxan Jaba samma hamro paisa baliyo hudaina taba samma bidesh jana naie parxa",Analysis,Economic Hardship,Neutral,Negative
What is the use of staying in Nepal unless you are politician or their relatives?,Criticism,Political Frustration,Negative,Negative
Patrakar haru lagi parnu paryo... virws lagi hoina desh ko lagi,Criticism,Civic Responsibility,Negative,Negative
Jholey haru cha ta ... kamauna... sikill bhale ta samjhane hoe ba namarunjel,Criticism,Political Frustration,Negative,Negative
Nepali life is much for fulfilling than life abroad!,Opinion/Counterpoint,Homeland Pride,Positive,Positive
A very pressing problem of Nepal that must be addressed asap!,Concern/Awareness,Systemic Issues,Neutral,Negative
A b pant right version and right report,Opinion,Content Quality,Neutral,Neutral
"Is Nepal on the Verge of Losing Its Youth? के नेपाल आफ्नो युवापुस्तालाई गुमाउने संघारमा छ?",Awareness,Brain Drain,Neutral,Negative
"To all those who are drowning in self pity in the comments: Yea the corruption and politicians are bullshit but the youths are no better. Opportunities xaina bhane banau natw, learn skills through internet instead of watching reels, and do something that actually matters.",Self-Reflection/Criticism,Youth Agency,Negative,Mixed
So valuable content dai thanks ❤,Appreciation,Content Quality,Positive,Positive
"Desh bigareko neta lai dosh hoina...guu khane jhole abujh Gen Z youth haru le garda ho...ek number jhole prasad ta Gen Z hudo raixa...yo kura maile sarkari college ma padda realize vako ho",Criticism,Youth Behavior,Negative,Negative
"सबै देश को सिस्टम दुरुपयोग को कारण हो हाम्रो देशमा ठुलो रोग छ त्यो हो २/४ जना बुढा काम नलाग्ने नालायक उल्टो बुद्धि बोकेका नेताहरू मलाई अति धेरै गुनासो छ बुढा नेताहरु प्रति केहि छैन मैले पनि अमेरिका जाने सपना बुन्दै छु😢",Frustration/Personal Sharing,Political Failure,Negative,Negative
bhai DV varis ??? time chhaina hai garihal video ta US basera ni banaauna sakincha,Sarcasm/Humor,Migration Intent,Neutral,Neutral
Amazing content brother 🔥🔥🔥🔥,Appreciation,Content Quality,Positive,Positive
"Nepali people's young and children are future citizens of forigen country like United kingdom, USA, Japan,India, Australia, exc,",Observation,Brain Drain,Neutral,Negative
"Nepal is just a waste of money… as an entrepreneur. 1st business : Restaurants ( loss) 2nd business: online jewellery shop (loss) 3rd business ( groceries) a huge loss 4th business: clothing ( loss) Well the reason I figured out is Nepal is very expensive to do anything for middle class business men.",Personal Experience,Economic Hardship,Negative,Negative
Sad reality.,Empathy,General Situation,Neutral,Negative
sabai thok huncha tara 2085 ma hunxa naya leader auxa usle sabai thok garxa wait for the right time... hunxa,Hope/Skepticism,Political Change,Neutral,Mixed
